Block,Time,KGSU1AND2,NJPC,NTPL,RIHAND2,SIMHST2,TANDA2,VALLURNTECL,ANTA_LF,AURY_GF,CHAMERA3,DADRT2,DHAULIGNGA,DULHASTI,NAPP,NLCIIST2,NNTPP,AURY_LF,DADRI_CRF,DADRI_GF,CHAMERA2,KKNPPU2,PARBATI3,RSTPSU1TO6,RSTPSU7,URI,ANTA_CRF,ANTA_GF,MAPS,RIHAND1,SIMHST1,UNCHAHAR1,UNCHAHAR3,URI2,DADRI_LF,BSIUL,JHAJJAR,KISHANGANGA,NLCEXP,RAPPB,RAPPC,SEWA2,TALST2,UNCHAHAR4,ANTA_RF,AURY_CRF,AURY_RF,DADRI_RF,BRBCL,FSTPP I & II,KOTESHWR,NLCIIST1,SASAN,UNCHAHAR2,CHAMERA1,KHSTPP-II,KUDGI,SALAL,TALA,TEHRI,TelanganaSTPP,KGSU3AND4,KHSTPP-I,KKNP,KOLDAM,NLCTS2EXP,RAMPUR,RIHAND3,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR
1,00:00-00:15,0,167.1,0,121.71,0,0.19,0,0,0,32.08,682.82,40.4,53.79,44.62,0,0,0,0,0,44.22,0,53.4,0,0,48.02,0,0,0,43.21,0,20.56,26.4,36.05,0,19.56,406.41,4.32,0,0,60.23,17.37,0,0.02,48.13,0,78.06,97.42,20.01,20.8,38.64,0,418.77,42.4,42.15,98.87,0,73.21,10.09,76.9,0,0,33.69,0,5.35,0,3.54,127.6,140.21,0,12.94

2,00:15-00:30,0,167.1,0,121.71,0,0.19,0,0,0,32.08,682.82,40.4,53.79,44.62,0,0,0,0,0,44.22,0,53.4,0,0,48.02,0,0,0,43.21,0,20.56,26.4,36.05,0,19.56,406.41,4.32,0,0,60.23,17.37,0,0.02,48.13,0,78.06,97.42,20.01,20.8,38.64,0,418.77,42.4,42.15,98.87,0,73.21,10.09,76.9,0,0,33.69,0,5.35,0,3.54,127.6,140.21,0,12.94

3,00:30-00:45,0,167.1,0,121.71,0,0.19,0,0,0,32.08,682.82,40.4,53.79,44.62,0,0,0,0,0,44.22,0,53.4,0,0,44.16,0,0,0,43.21,0,20.56,26.4,36.05,0,19.56,406.41,4.32,0,0,60.23,17.37,0,0.02,48.13,0,78.06,97.42,20.01,20.8,38.64,0,418.77,42.4,42.15,98.87,0,73.21,10.09,76.9,0,0,33.69,0,5.35,0,3.54,127.6,140.21,0,12.94

4,00:45-01:00,0,167.1,0,121.71,0,0.19,0,0,0,32.08,682.82,40.4,53.79,44.62,0,0,0,0,0,44.22,0,53.4,0,0,44.16,0,0,0,43.21,0,20.56,26.4,36.05,0,19.56,413.81,4.32,0,0,60.23,17.37,0,0.02,48.13,0,78.06,97.42,20.01,20.8,38.64,0,418.77,42.4,42.15,98.87,0,73.21,10.09,76.9,0,0,33.69,0,5.35,0,3.54,127.6,140.21,0,12.94

5,01:00-01:15,0,167.1,0,121.71,0,0.12,0,0,0,32.08,686.07,40.4,53.79,44.62,0,0,0,0,0,44.22,0,53.4,0,0,44.16,0,0,0,43.21,0,20.96,27.05,36.05,0,19.56,413.81,4.32,0,0,60.23,17.37,0,0.02,48.13,0,78.06,97.42,20.01,20.8,38.64,0,418.77,42.4,42.15,98.87,0,73.21,10.09,76.9,0,0,33.69,0,5.35,0,3.54,127.6,140.21,0,12.94

6,01:15-01:30,0,167.1,0,121.71,0,0.12,0,0,0,32.08,686.07,40.4,53.79,44.62,0,0,0,0,0,44.22,0,53.4,0,0,44.16,0,0,0,43.21,0,20.96,27.05,36.05,0,19.56,413.81,4.32,0,0,60.23,17.37,0,1.62,48.13,0,78.06,97.42,20.01,20.8,38.64,0,418.77,43.71,42.15,98.87,0,73.21,10.09,76.9,0,0,33.69,0,5.35,0,3.54,127.6,140.21,0,12.94

7,01:30-01:45,0,167.1,0,121.71,0,0.12,0,0,0,32.08,686.07,40.4,53.79,44.62,0,0,0,0,0,44.22,0,53.4,0,0,48.02,0,0,0,43.21,0,20.96,27.05,36.05,0,13.04,413.81,4.32,0,0,60.23,17.37,0,1.62,48.13,0,78.06,97.42,20.01,20.8,38.64,0,418.77,43.71,42.15,98.87,0,70.88,10.09,76.9,0,0,33.69,0,5.35,0,3.54,127.6,140.21,0,12.94

