Block,Time,NR/01102023/30042040/GNA_LT_36,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/01042024/31072024/LT_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/30092023/31122025/SH-07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/30042024/PTC/OA/32001,NR/01102023/31102037/L_NR_2019_11,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/30092023/26122029/SH-06,WR/01102023/16072048/L_NR_2022_08,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,0.000000,55.68,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,19.430000,0.000000,0.000000,40.900000,2.300000,0,0,28.870000,18.56,0,100.260000,39,261.290000,1.900000,0.000000,86.810000,6.01,0,19.430000,14.51,57.720000,18.55,0,39

2,00:15-00:30,0.000000,55.62,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,19.430000,0.000000,0.000000,40.900000,2.300000,0,0,28.870000,18.54,0,100.260000,38.33,261.290000,1.900000,0.000000,86.810000,6.01,0,19.430000,14.43,57.720000,18.55,0,38.33

3,00:30-00:45,0.000000,55.6,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,30.800000,0.000000,0.000000,40.900000,2.300000,0,0,28.870000,18.53,0,100.260000,38,261.290000,1.900000,0.000000,86.810000,6.01,0,8.070000,14.36,57.720000,18.54,0,38

4,00:45-01:00,0.000000,55.27,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,30.800000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,18.42,0,100.260000,44,261.290000,1.900000,0.000000,86.810000,6.01,0,8.070000,13.78,57.720000,18.43,0,44

5,01:00-01:15,0.000000,54.79,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,30.800000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,18.26,0,100.260000,43.33,261.290000,1.900000,0.000000,86.810000,6.01,0,8.070000,13.69,57.720000,18.28,0,43.33

6,01:15-01:30,0.000000,53.87,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,30.800000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,17.95,0,100.260000,42.67,261.290000,1.900000,0.000000,86.810000,6.01,0,8.070000,13.69,57.720000,17.96,0,42.67

7,01:30-01:45,0.000000,53.37,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,30.800000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,17.79,0,100.260000,41.67,261.290000,1.900000,0.000000,67.930000,6.01,0,23.650000,13.66,57.720000,17.79,0,41.67

8,01:45-02:00,0.000000,53.32,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.460000,0,0,25.360000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,17.77,0,100.260000,41.67,261.290000,1.900000,0.000000,67.930000,6.01,0,25.360000,13.45,57.720000,17.78,0,41.67

9,02:00-02:15,0.000000,56,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.370000,0,0,25.360000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,18.67,0,100.260000,41.67,261.290000,1.900000,0.000000,67.930000,6.01,0,25.360000,14.75,33.010000,18.66,0,41.67

10,02:15-02:30,0.000000,56,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.370000,0,0,25.360000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,18.67,0,100.260000,41.67,261.290000,1.900000,0.000000,67.930000,6.01,0,25.360000,14.66,33.010000,18.66,0,41.67

11,02:30-02:45,0.000000,55.5,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.370000,0,0,25.360000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,18.5,0,100.260000,41.67,213.170000,1.900000,0.000000,67.930000,6.01,0,25.360000,14.64,33.010000,18.5,0,41.67

12,02:45-03:00,0.000000,55,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.370000,0,0,25.360000,0.000000,0.000000,40.900000,2.300000,0,0,27.910000,18.33,0,100.260000,41.67,201.010000,1.900000,0.000000,67.930000,6.01,0,25.360000,14.21,33.010000,18.34,0,41.67

13,03:00-03:15,0.000000,54.5,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,27.910000,18.17,0,100.260000,42.33,201.010000,1.850000,0.000000,67.930000,6.01,0,25.360000,13.38,33.010000,18.16,0,42.33

14,03:15-03:30,0.000000,54.5,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,27.910000,18.17,0,100.260000,42.33,201.010000,1.850000,0.000000,67.930000,6.01,0,25.360000,13.47,33.010000,18.16,0,42.33

15,03:30-03:45,0.000000,54.24,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,27.910000,18.08,0,100.260000,39.4,201.010000,1.850000,0.000000,67.930000,6.01,0,25.360000,13.2,33.010000,18.08,0,39.4

16,03:45-04:00,0.000000,53.58,0,272.120000,0.000000,2.470000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,27.910000,17.86,0,100.260000,38.87,201.010000,1.850000,0.000000,67.930000,6.01,0,25.360000,12.6,33.010000,17.85,0,38.87

17,04:00-04:15,0.000000,51.97,0,272.120000,0.000000,2.320000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,27.910000,17.32,0,100.260000,38.17,201.010000,1.850000,0.000000,67.930000,6.01,0,25.360000,11.86,33.010000,17.34,0,38.17

18,04:15-04:30,0.000000,51.03,0,272.120000,0.000000,2.320000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,26.950000,17.01,0,100.260000,37.43,201.010000,1.850000,0.000000,57.430000,6.01,0,25.360000,11.06,33.010000,17.01,0,37.43

19,04:30-04:45,0.000000,50.07,0,272.120000,0.000000,2.320000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,26.950000,16.69,0,100.260000,36.8,201.010000,1.850000,0.000000,57.430000,6.01,0,25.360000,10.44,33.010000,16.69,0,36.8

20,04:45-05:00,0.000000,49.49,0,272.120000,0.000000,2.320000,0,0,16.050000,0,0,9.280000,0,0,25.360000,0.000000,0.000000,40.900000,2.220000,0,0,26.950000,16.5,0,100.260000,36.7,201.010000,1.850000,0.000000,67.930000,6.01,0,25.360000,9.94,33.010000,16.5,0,36.7

