Column1,Time,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/3469,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/SR/2025/03/01/7500,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/9606,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,GNA/NR/2025/03/01/2563,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/9482,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/8625,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/5143,GNARE/NR/2024/12/20/3668
1,00:00-00:15,55.49,6.71,26.74,23.02,5.76,23.02,200,1.08,86.52,0,0,6,0,0,0,0,0,0,0,17,51,53,0,0,0,53,14,0,17,23.02,99.93,69.95,17.27,1.15,26.99,4.68,42,0,0,26.99,0,0,1.3,224.38,271.21,166.48,0

2,00:15-00:30,55.49,6.71,26.74,23.02,5.76,23.02,200,1.08,86.52,0,0,6,0,0,0,0,0,0,0,16.83,50.51,53,0,0,0,53,14,0,16.83,23.02,99.93,69.95,17.27,1.15,26.99,4.68,42,0,0,26.99,0,0,1.3,224.38,271.21,166.48,0

3,00:30-00:45,55.49,6.71,26.74,23.02,5.76,23.02,200,1.08,86.52,0,0,6,0,0,0,0,0,0,0,13,39,39.33,0,0,0,39.34,10.34,0,13,23.02,99.93,69.95,17.27,1.15,26.99,4.68,42,0,0,26.99,0,0,1.3,224.38,271.21,166.48,0

4,00:45-01:00,55.49,6.71,27.25,23.02,5.76,23.02,200,1.08,86.52,0,0,6,0,0,0,0,0,0,0,13,39,39.33,0,0,0,39.34,10.34,0,13,23.02,99.93,69.95,17.27,1.15,26.99,4.68,42,0,0,26.99,0,0,1.3,201.79,271.21,166.48,0

5,01:00-01:15,55.49,6.71,27.25,23.02,5.76,23.02,200,1.08,86.52,0,0,6,0,0,0,0,0,0,0,13,39,38.67,0,0,0,38.66,10.34,0,13,23.02,99.93,69.95,17.27,1.15,26.99,4.68,42,0,0,26.99,0,0,1.3,166.6,271.21,166.48,0

6,01:15-01:30,55.49,6.71,27.25,23.02,5.76,23.02,200,1.08,86.52,0,0,6,0,0,0,0,0,0,0,13,39,37.67,0,0,0,37.66,10,0,13,23.02,99.93,69.95,17.27,1.15,26.99,4.68,42,0,0,26.99,0,0,1.3,166.6,271.21,166.48,0

7,01:30-01:45,55.49,6.71,27.25,23.02,5.76,23.02,200,1.08,67.7,0,0,6,0,0,0,0,0,0,0,13,39,37,0,0,0,37,10,0,13,23.02,99.93,69.95,17.27,1.15,26.99,4.68,42,0,0,26.99,0,0,1.3,166.6,271.21,166.48,0

