Column1,Time,NR/26072023/31072042/L_NR_2023_07,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/8090,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2024/09/01/7196,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/3451,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/05/5848,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/6020,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,0,25.41,0,0,0,0,0,0,0,5.77,12.75,57.78,249.64,12.47,30.29,0,0,48.4,0,100.84,32,70.55,6.41,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,273.67,96.79,0,0,41.67,0,0,0,18.33,18.34,0,55,41.67

2,00:15-00:30,0,26.01,0,0,0,0,0,0,0,5.77,12.75,57.78,241.9,12.47,30.29,0,0,48.4,0,100.84,32,70.55,0,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,273.67,96.79,0,0,42.33,0,0,0,18.67,18.66,0,56,42.33

3,00:30-00:45,0,26.41,0,0,0,0,0,0,0,5.77,12.75,57.78,171.94,12.47,30.29,25.9614,0,48.4,0,67.75,32,70.55,0,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,273.67,96.79,0,0,43,0,0,0,19,19,0,57,43

4,00:45-01:00,0,27.01,0,0,0,0,0,0,0,5.77,12.75,57.78,171.94,12.47,30.29,25.9614,0,48.4,0,53.23,32,70.55,0,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,273.67,96.79,0,0,43.67,0,0,0,19.33,19.34,0,58,43.67

5,01:00-01:15,0,27.61,0,0,0,0,0,0,0,5.58,12.75,57.78,171.94,12.47,30.29,25.9614,0,48.4,0,53.23,26.8708,70.55,0,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,232.3,96.79,0,0,44.67,0,0,0,19.5,19.5,0,58.5,44.67

6,01:15-01:30,0,28.41,0,0,0,0,0,0,0,5.58,12.75,57.78,171.94,12.47,30.29,25.9614,0,48.4,0,53.23,26.8708,70.55,0,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,193.58,96.79,0,0,45.67,0,0,0,19.67,19.66,0,59,45.67

7,01:30-01:45,0,29.21,0,0,0,0,0,0,0,5.58,12.75,57.78,171.94,12.47,30.29,26.8708,0,48.4,0,53.23,26.8708,70.55,4.38,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,150.52,96.79,0,0,46.33,0,0,0,20,20,0,60,46.33

8,01:45-02:00,0,29.21,0,0,0,0,0,0,0,5.58,12.75,57.78,171.94,12.47,30.29,26.8708,0,48.4,0,53.23,26.8708,70.55,4.38,48.4,0,62.08,32.91,2.42,21.78,24.2,24.74,0,0,150.52,96.79,0,0,46.67,0,0,0,20.33,20.34,0,61,46.67

