Column1,Time,NR/01102023/31052040/LT-31,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/01082024/30092024/LT_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01082024/15082024/APL-Raigarh,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01082024/31082024/APPCPL/180/F25/GNA/12763
1,00:00-00:15,0,12.4,11.94,26.9,0,0,76.35,0,0,15.91,272.26,0,60,29.17,87.5,60,29.34,0,7.01,0,29.16,0,0,0,0,0,0,0,0,26.9,192.58,0,0,0,48.14,48.14,28.26,246.1,115.4408,77.03,0,38.52

2,00:15-00:30,0,12.4,11.94,26.9,0,0,76.35,0,0,15.91,272.26,0,60,29.17,87.5,60,29.66,0,7.01,0,29.16,0,0,0,0,0,0,0,0,26.9,192.58,0,0,0,48.14,48.14,28.26,226.84,115.4408,77.03,0,38.52

3,00:30-00:45,0,12.4,11.94,26.9071,0,0,76.35,0,0,15.91,272.26,0,60,29.17,87.5,60,30,0,7.01,0,29.16,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,28.26,226.84,70.17,77.03,0,38.52

4,00:45-01:00,0,12.4,11.94,26.9071,0,0,76.35,0,0,15.91,272.26,0,60,29.17,87.5,60,29.66,0,7.01,0,29.16,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,28.26,226.84,70.17,77.03,0,38.52

5,01:00-01:15,0,12.4,11.94,26.9071,0,0,76.35,0,0,15.91,272.26,0,60,29.17,87.5,60,30.34,0,7.01,0,29.16,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,28.26,226.84,70.17,52.96,0,38.52

6,01:15-01:30,0,12.4,11.94,26.9071,0,0,76.35,0,0,15.91,272.26,0,60,29.17,87.5,60,30.34,0,7.01,0,29.16,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,28.26,226.84,70.17,52.96,0,38.52

7,01:30-01:45,0,12.4,11.94,26.9071,0,0,57.49,0,0,15.91,272.26,0,60,29.17,87.5,60,30.66,0,7.01,0,29.16,0,0,0,0,0,0,0,4.36,26.9071,192.58,0,0,0,48.14,48.14,27.76,199.94,70.17,52.96,0,38.52

8,01:45-02:00,0,12.4,11.94,26.9071,0,0,57.49,0,0,15.91,272.26,0,60,29.17,87.5,60,31,0,7.01,0,29.16,0,0,0,0,0,0,0,4.36,26.9071,192.58,0,0,0,48.14,48.14,27.76,171.05,70.17,52.96,0,38.52

9,02:00-02:15,0,12.4,11.94,26.9071,0,0,57.49,0,0,18.66,272.26,0,60,29.17,87.5,60,31.34,0,7.01,0,29.16,0,0,0,0,0,0,0,3.76,26.9071,192.58,0,0,0,48.14,48.14,28.26,171.05,70.17,52.96,0,38.52

10,02:15-02:30,0,12.4,11.94,26.9071,0,0,57.49,0,0,18.66,272.26,0,60,29.17,87.5,60,31,0,7.01,0,29.16,0,0,0,0,0,0,0,3.76,26.9071,192.58,0,0,0,48.14,48.14,28.26,171.05,70.17,52.96,0,38.52

11,02:30-02:45,0,12.4,11.94,26.9071,0,0,57.49,0,0,18.66,231.1,0,68.33,29.17,87.5,68.33,24.66,0,7.01,0,29.16,0,0,0,0,0,0,0,3.76,26.9071,192.58,0,0,0,48.14,48.14,28.26,171.05,70.17,52.96,0,38.52

12,02:45-03:00,0,12.4,11.94,26.9071,0,0,57.49,0,0,18.66,192.58,0,68.67,29.17,87.5,68.67,25,0,7.01,0,29.16,0,0,0,0,0,0,0,3.76,26.9071,192.58,0,0,0,48.14,48.14,28.26,171.05,70.17,52.96,0,38.52

13,03:00-03:15,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,149.74,0,69,27.5,82.5,69,20,0,7.01,0,27.5,0,0,0,0,0,0,0,3.76,26.9071,192.58,0,0,0,48.14,48.14,29.27,171.05,65.93,52.96,0,0

14,03:15-03:30,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,149.74,0,69,27.67,83,69,20.66,0,7.01,0,27.66,0,0,0,0,0,0,0,3.76,26.9071,192.58,0,0,0,48.14,48.14,29.27,171.05,61.68,52.96,0,0

15,03:30-03:45,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,149.74,0,61,22.5,67.5,61,16.66,0,7.01,0,22.5,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,29.27,139.62,35.09,52.96,0,0

16,03:45-04:00,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,149.74,0,61.33,22.67,68,61.33,16.34,0,7.01,0,22.66,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,29.27,110.73,35.09,52.96,0,0

17,04:00-04:15,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,192.58,0,61,20.83,62.5,61,16,0,7.01,0,20.84,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,29.27,110.73,35.09,52.96,0,0

18,04:15-04:30,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,192.58,0,60.33,20.83,62.5,60.33,15.66,0,7.01,0,20.84,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,29.27,110.73,35.09,52.96,0,0

19,04:30-04:45,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,192.58,0,60,23.33,70,60,16,0,7.01,0,23.34,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,30.27,110.73,35.09,52.96,0,0

20,04:45-05:00,0,12.4,11.94,26.9071,0,0,38.52,0,0,18.2,192.58,0,59.33,23.33,70,59.33,15.66,0,7.01,0,23.34,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,30.27,110.73,35.09,52.96,0,0

21,05:00-05:15,0,12.4,11.94,26.9071,0,0,38.52,0,0,17.74,149.74,0,63.33,23.33,70,63.33,22,0,7.01,0,23.34,0,0,0,0,0,0,0,0,26.9071,192.58,0,0,0,48.14,48.14,29.77,110.73,35.09,52.96,0,0

22,05:15-05:30,0,12.4,11.94,26.9071,0,0,38.52,0,0,17.74,192.58,0,63.33,23.33,70,63.33,22.34,0,7.01,0,23.34,0,0,0,0,0,0,0,4.36,26.9071,192.58,0,0,0,48.14,48.14,29.77,110.73,35.09,52.96,0,0

23,05:30-05:45,0,12.4,11.94,26.9071,0,0,38.52,0,0,17.74,231.1,0,63.69,23.33,70,63.69,22,0,7.01,0,23.34,0,0,0,0,0,0,0,4.36,26.9071,192.58,0,0,0,48.14,48.14,29.77,110.73,35.09,52.96,0,0

24,05:45-06:00,0,12.4,11.94,26.9071,0,0,57.4634,0,0,17.74,272.26,0,64.04,23.33,70,64.04,21.66,0,7.01,0,23.34,0,0,0,0,0,0,0,3.76,26.9071,192.58,0,0,0,48.14,48.14,29.26,166.53,35.09,52.96,0,0

25,06:00-06:15,0,12.4,11.94,26.9071,1,0,57.4634,0,0,17.74,272.26,10.43,64.29,23.33,70,64.29,22.34,0,7.01,10.54,23.34,1,2.05,1,0.82,1,1.73,0.41,3.76,26.9071,192.58,0,0,0,48.14,48.14,29.26,166.53,35.09,52.96,0,0

26,06:15-06:30,0.33,12.4,11.94,26.9071,2,1,57.4634,0.34,0.33,17.74,272.26,16.42,64.46,23.33,70,64.46,22.66,1,7.01,16.58,23.34,4,4.63,1,2.92,2,3.54,0.92,3.76,26.9071,192.58,0,0,0,48.14,48.14,28.76,166.53,35.09,84.74,0,0

27,06:30-06:45,0.7,12.4,11.94,26.9071,5,3,57.4634,0.71,0.7,17.74,272.26,26.93,64.56,23.33,70,64.56,23,5,7.01,27.19,23.34,7,8.31,3,4.94,3,5.34,1.66,3.76,26.9071,192.58,0,0,0,48.14,48.14,27.76,166.53,35.09,84.74,0,0

28,06:45-07:00,1.03,12.4,11.94,26.9071,8,4,57.4634,1.06,1.03,17.74,272.26,33,64.61,23.33,70,64.61,22.66,12,7.01,33,23.34,14,13.83,6,7.94,5,7.38,2.77,3.76,26.9071,192.58,0,0,0,48.14,48.14,27.76,166.53,35.09,84.74,0,0

29,07:00-07:15,1.51,12.4,11.94,26.9071,10,5,57.49,1.54,1.51,17.74,272.26,33,64.14,23.33,70,64.14,22.34,20,7.01,33,23.34,21,18.99,9,11,7,9.93,3.8,3.76,26.9071,192.58,0,0,0,48.14,48.14,28.26,166.53,35.09,52.96,0,0

30,07:15-07:30,1.93,12.4,11.94,26.9071,12,6,57.49,1.96,1.93,17.74,272.26,33,63.64,23.33,70,63.64,23,30,7.01,33,23.34,28,28.23,12,14,7.5,13.18,5.65,3.76,26.9071,192.58,0,0,0,48.14,48.14,29.27,166.53,35.09,52.96,0,0

31,07:30-07:45,2.44,12.4,11.94,26.9071,15,7,57.49,2.5,2.44,17.74,272.26,32.67,63.15,23.33,70,63.15,24,32.66,7.01,32.67,23.34,39,30.75,16,17,8.5,17.52,6.15,3.76,26.9071,192.58,0,0,0,48.14,48.14,29.27,166.53,35.09,52.96,0,0

32,07:45-08:00,2.84,12.4,11.94,26.9071,18,8,57.49,2.92,2.84,17.74,272.26,33,63.06,23.33,70,63.06,25,33,7.01,33,23.34,49,33.93,21,20,9.5,21.96,6.78,3.76,26.9071,192.58,0,0,0,48.14,48.14,29.27,166.53,35.09,52.96,0,0

33,08:00-08:15,3,12.4,11.94,26.9071,26,12,57.49,3.08,3,17.74,231.1,33,62.57,20.83,62.5,62.57,17.66,33,7.01,33,20.84,53,45.81,22,23,11,25.57,9.16,3.76,26.9071,192.58,0,5.09,0,48.14,48.14,29.27,110.73,35.09,52.96,0,0

34,08:15-08:30,3.04,12.4,11.94,26.9071,31,15,57.49,3.12,3.04,17.74,192.58,33,62.08,20.5,61.5,62.08,18,33,7.01,33,20.5,67,58.4,28,30,12,27.89,11.68,3.76,26.9071,192.58,0,5.09,0,48.14,48.14,29.27,110.73,35.09,52.96,0,0

35,08:30-08:45,3.28,12.4,11.94,26.9071,30,15,57.49,3.37,3.28,17.74,149.74,33,61.71,20.67,62,61.71,18.34,33,7.01,33,20.66,81,92.98,34,33,17,29.81,18.6,3.76,26.9071,192.58,0,5.09,0,48.14,48.14,30.28,110.73,35.09,52.96,0,0

36,08:45-09:00,3.46,12.4,11.94,26.9071,34,16,57.49,3.54,3.46,17.74,149.74,33,61.35,20.33,61,61.35,19,33,7.01,33,20.34,95,109.37,40,38,20,31.63,21.87,3.76,26.9071,192.58,0,5.09,0,48.14,48.14,31.29,110.73,35.09,52.96,0,0

37,09:00-09:15,3.79,12.4,11.94,26.9071,37,18,57.49,3.89,3.79,17.74,149.74,33,55,23.33,70,55,19.66,33,7.01,33,23.34,88,131.88,37,42,21,34.17,26.38,3.76,26.9071,0,0,5.32,0,0,0,31.29,110.73,35.09,52.96,0,0

38,09:15-09:30,4.54,12.4,11.94,26.9071,42,20,57.49,4.65,4.54,17.74,149.74,33,55.33,23.33,70,55.33,19.34,33,7.01,33,23.34,91,146.94,39,45,23,37.44,29.39,3.76,26.9071,0,0,5.32,0,0,0,31.29,110.73,35.09,52.96,0,0

39,09:30-09:45,5.14,12.4,11.94,26.9071,32,15,57.49,5.27,5.14,17.74,149.74,33,56,23.33,70,56,19,33,7.01,33,23.34,84,160.78,36,47,25,40.55,32.15,3.76,26.9071,0,0,5.32,0,0,0,30.27,110.73,35.09,52.96,0,0

40,09:45-10:00,6.16,12.4,11.94,26.9071,35,17,57.49,6.32,6.16,17.74,192.58,33,56.67,23.33,70,56.67,19.34,33,7.01,33,23.34,88,173.92,37,48,26,43.29,34.78,3.76,26.9071,0,0,5.32,0,0,0,30.27,110.73,35.09,52.96,0,0

41,10:00-10:15,6.57,12.4,11.94,26.9071,37,18,57.49,6.73,6.57,17.55,231.1,33,57,23.33,70,57,24.66,33,7.01,33,23.34,91,162.93,39,50,29,45.32,32.58,3.76,26.9071,0,0,5.46,0,0,0,30.27,110.73,35.09,52.96,0,0

42,10:15-10:30,7.17,12.4,11.94,26.9071,41,19,57.49,7.36,7.17,17.55,272.26,33,57,23.33,70,57,25.34,33,7.01,33,23.34,98,171.71,42,53,30,46.57,34.34,3.76,26.9071,0,0,5.46,0,0,0,30.27,110.73,35.09,52.96,0,0

43,10:30-10:45,7.58,12.4,11.94,26.9071,37,18,57.49,7.77,7.58,17.55,272.26,33,68.67,23.33,70,68.67,24.66,33,7.01,33,23.34,77,133.33,33,67,35,47.23,26.67,0,26.9071,0,0,5.46,0,0,0,29.26,110.73,35.09,52.96,0,0

44,10:45-11:00,8.18,12.4,11.94,26.9071,37,18,57.49,8.4,8.18,17.55,272.26,33,69,23.33,70,69,25,33,7.01,33,23.34,77,133.33,33,70,36,47.59,26.67,0,26.9071,0,0,5.46,0,0,0,28.76,110.73,35.09,52.96,0,0

45,11:00-11:15,9.8,12.4,11.94,26.9071,34,16,57.49,10.04,9.8,17.55,272.26,33,69.33,28.33,85,69.33,29.34,33,7.01,33,28.34,77,145.11,33,77,38,48.86,29.02,0,26.9071,0,0,5.46,0,0,0,28.26,110.73,35.09,52.96,0,0

46,11:15-11:30,10.12,12.4,11.94,26.9071,34,16,57.49,10.38,10.12,17.55,272.26,33,70,28.17,84.5,70,29.34,33,7.01,33,28.16,77,146.73,33,78,40,50.97,29.35,0,26.9071,0,0,5.46,0,0,0,28.26,110.73,35.09,52.96,0,0

47,11:30-11:45,10.12,12.4,11.94,26.9071,34,16,57.49,10.37,10.12,16.36,272.26,33,70,28,84,70,29.34,33,7.01,33,28,109,148.58,46,80,40,52.61,29.71,0,26.9071,0,0,5.46,0,0,0,27.75,110.73,35.09,52.96,0,0

48,11:45-12:00,10.12,12.4,11.94,26.9071,34,16,57.49,10.37,10.12,16.36,272.26,33,70,27.5,82.5,70,29.34,33,7.01,33,27.5,112,151.22,48,80,41,54.18,30.24,0,26.9071,0,0,5.46,0,0,0,27.75,166.53,35.09,52.96,0,0

49,12:00-12:15,10.12,12.4,11.94,26.9071,27,13,76.35,10.37,10.12,16.36,272.26,33,70,27.5,82.5,70,29.34,33,7.01,33,27.5,116,155.12,49,78,40,46.24,31.02,0,26.9071,0,0,5.6,0,0,0,27.25,226.84,35.09,52.96,0,0

