Column1,Time,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9061,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/5474,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/WR/2024/10/15/7089,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/9042,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/4503,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,65.19,261.61,29.77,1.78,70.29,0,231.38,1.95,17.35,0,26.87,8.68,0,26.87,2.3,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

2,00:15-00:30,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,65.19,261.61,29.77,1.78,70.29,0,192.82,1.95,17.35,0,26.87,8.68,0,26.87,2.3,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

3,00:30-00:45,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,65.19,261.61,30.28,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.3,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

4,00:45-01:00,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,30.78,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.3,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

5,01:00-01:15,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,31.29,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

6,01:15-01:30,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,31.29,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

7,01:30-01:45,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,31.29,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

8,01:45-02:00,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,30.28,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

9,02:00-02:15,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

10,02:15-02:30,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

11,02:30-02:45,7.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

12,02:45-03:00,7.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.78,70.29,0,149.93,1.95,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

13,03:00-03:15,7.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

14,03:15-03:30,7.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,6.67,0,20,6.66,0,13.33,0,6.66,13.33

15,03:30-03:45,7.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,9.17,0,27.5,9.16,0,13.33,0,6.66,13.33

16,03:45-04:00,7.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.23,0,0,0,0,9,0,27,9,0,13.33,0,6.66,13.33

17,04:00-04:15,7.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,29.27,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,8.83,0,26.5,8.84,0,13.33,0,6.66,13.33

18,04:15-04:30,7.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,28.77,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,8.67,0,26,8.66,0,13.33,0,6.66,13.33

19,04:30-04:45,11,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,28.77,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,8.33,0,25,8.34,0,13.33,0,6.66,13.33

20,04:45-05:00,10.8,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,28.77,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,8.17,0,24.5,8.16,0,13.33,0,6.66,13.33

21,05:00-05:15,10.6,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,0,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,8,0,24,8,0,13.33,0,6.66,13.33

22,05:15-05:30,10.4,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,0,1.71,70.29,0,149.93,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,7.83,0,23.5,7.84,0,13.33,0,6.66,13.33

23,05:30-05:45,10.2,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,0,1.71,70.29,0,192.82,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,7.67,0,23,7.66,0,13.33,0,6.66,13.33

24,05:45-06:00,10,0,0,0,0,0,0,170.3,26.03,87.2,26.03,26.03,3.13,8.68,0,53.03,57.56,261.61,0,1.71,70.29,0,231.38,1.9,17.35,0,26.87,8.68,0,26.87,2.15,0,0,0,0,7.5,0,22.5,7.5,0,13.33,0,6.66,13.33

25,06:00-06:15,12.41,0,0,0,0,0,0,170.3,26.03,0,26.03,26.03,3.13,8.68,0,53.03,57.56,0,0,1.63,70.29,0,272.6,1.9,17.35,0,26.87,8.68,0,26.87,2.07,0,0,0,0,7.33,0.82,22,7.34,0.8,13.33,2,6.66,13.33

26,06:15-06:30,12.21,0,0,0,0,0,0,170.3,26.03,0,26.03,26.03,3.13,8.68,0,53.03,57.56,0,0,1.63,70.29,0,272.6,1.9,17.35,0,26.87,8.68,0,26.87,2.07,0,0,0,0,7.17,5.28,21.5,7.16,2.4,13.33,4,6.66,13.33

27,06:30-06:45,12.01,0.58,0.01,0,0,0,0,170.3,26.03,0,26.03,26.03,3.13,8.68,0,53.03,57.56,0,0,1.63,70.29,0,272.6,1.9,17.35,0.29,26.87,8.68,0.29,26.87,2.07,0.3,0,0,0,7,10.98,21,7,9.93,13.33,8,6.66,13.33
