Block,Time,JHAJJAR,CHAMERA3,SINGRAULI,AURY_RF,TEHRI,UNCHAHAR1,SALAL,NAPP,PARBATI3,SEWA2,KOTESHWR,ANTA_GF,UNCHAHAR2,AURY_CRF,AURY_GF,ANTA_RF,KISHANGANGA,UNCHAHAR4,ANTA_CRF,RIHAND1,DULHASTI,CHAMERA1,URI2,UNCHAHAR3,DADRT2,SINGRAULI_HYDRO,DHAULIGNGA,DADRI_RF,RAMPUR,URI,TANDA2,CHAMERA2,DADRI_GF,BSIUL,RIHAND2,DADRI_LF,RAPPC,AURY_LF,DADRI_CRF,RAPPB,KOLDAM,NJPC,TANAKPUR,ANTA_LF,RIHAND3,FSTPP I & II,KHSTPP-I,SASAN,BRBCL,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,377.924755,33.573845,143.601918,0.000000,0.000000,20.260956,69.443212,48.098859,16.177343,0.000000,0.000000,0.000000,21.137727,0.000000,0.000000,0.000000,8.039553,2.978451,0.000000,71.181039,57.039171,40.626534,36.522672,26.641213,528.328962,1.106409,41.964482,0.000000,6.502002,34.052659,5.164674,46.748985,0.000000,18.856197,119.889882,0.000000,65.536411,0.000000,0.000000,0.000000,9.865587,173.465809,11.730181,0.000000,125.866158,13.783770,25.743841,336.377002,14.458451,4.109106,142.946370,0,0,0,0,0

2,00:15-00:30,377.924755,33.573845,143.601918,0.000000,0.000000,20.260956,69.443212,48.098859,16.177343,0.000000,0.000000,0.000000,21.137727,0.000000,0.000000,0.000000,8.039553,2.978451,0.000000,71.181039,57.039171,40.626534,36.522672,26.641213,528.328962,1.106409,41.964482,0.000000,6.502002,34.052659,5.164674,46.748985,0.000000,18.856197,119.889882,0.000000,65.536411,0.000000,0.000000,0.000000,9.865587,173.465809,11.730181,0.000000,125.866158,13.783770,25.743841,336.377002,14.458451,4.109106,142.946370,0,0,0,0,0

3,00:30-00:45,377.924755,33.573845,143.601918,0.000000,0.000000,18.190914,69.443212,48.098859,16.177343,0.000000,0.000000,0.000000,18.960973,0.000000,0.000000,0.000000,8.039553,2.978451,0.000000,71.181039,57.039171,40.626534,36.522672,24.034461,482.953735,1.106409,41.964482,0.000000,6.502002,34.052659,5.164674,46.748985,0.000000,18.856197,119.889882,0.000000,65.536411,0.000000,0.000000,0.000000,9.865587,173.465809,11.730181,0.000000,125.866158,13.783770,25.743841,336.377002,14.458451,4.534186,142.946370,0,0,0,0,0

4,00:45-01:00,377.924755,33.573845,143.601918,0.000000,0.000000,18.190914,69.443212,48.098859,16.177343,0.000000,0.000000,0.000000,18.960973,0.000000,0.000000,0.000000,8.039553,2.978451,0.000000,71.181039,57.039171,40.626534,36.522672,24.034461,456.958194,1.106409,41.964482,0.000000,6.502002,34.052659,5.164674,46.748985,0.000000,18.856197,119.889882,0.000000,65.536411,0.000000,0.000000,0.000000,9.865587,173.465809,11.730181,0.000000,125.866158,13.783770,25.743841,336.377002,14.458451,4.534186,142.946370,0,0,0,0,0

5,01:00-01:15,301.286223,33.573845,143.601918,0.000000,0.000000,18.190914,69.443212,48.098859,16.177343,0.000000,0.000000,0.000000,18.960973,0.000000,0.000000,0.000000,8.039553,2.978451,0.000000,71.181039,57.039171,40.626534,36.522672,24.034461,456.958194,1.106409,41.964482,0.000000,6.502002,34.052659,5.164674,46.748985,0.000000,18.856197,119.889882,0.000000,65.536411,0.000000,0.000000,0.000000,9.865587,173.465809,10.495425,0.000000,125.866158,13.783770,25.743841,336.377002,14.458451,4.534186,142.946370,0,0,0,0,0

