Column1,Block,NR/2025/31137/A/88760,NR/2025/31137/A/88761,NR/2025/31138/A/88763,NR/2025/31138/A/88764,NR/2025/29985/A/88396,NR/2025/31200/A/88495,GNA/NR/2025/07/01/8139,NR/2025/29353/A/88414,NR/2025/31493/C,NR/2025/31448/C,GNA/NR/2025/07/01/8154,NR/2025/31447/C,GNA/NR/2025/07/01/8230,NR/2025/27964/A/88783,GNA/NR/2025/07/01/2997,NR/2025/27963/A/88782,GNA/NR/2025/07/01/2786,GNA/SR/2025/07/15/7716,NR/2025/31436/C,NR/2025/31556/C,NR/2025/30217/A/88794,NR/2025/31536/C,NR/2025/30822/A/88395,NR/2025/30105/A/88796,NR/2025/27978/A/88837,NR/2025/31558/C,NR/2025/27962/A/88781,NR/2025/31513/C,NR/2025/31538/C,NR/2025/30121/A/88273,NR/2025/29167/A/88628,NR/2025/30082/A/88820,NR/2025/28725/A/89085,NR/2025/29439/A/88690,NR/2025/30083/A/88801,NR/2025/31551/C,NR/2025/30191/A/88271,NR/2025/31546/C,NR/2025/27970/A/88785,NR/2025/31509/C,NR/2025/31560/C,NR/2025/27968/A/88784,NR/2025/31553/C,NR/2025/29440/A/88256,NR/2025/29352/A/88417,NR/2025/31504/C,NR/2025/31561/C,NR/2025/31553/C/Alternate/1,NR/2025/30101/A/88836,NR/2025/29628/A/88808,NR/2025/31562/C,NR/2025/29910/A/88806,NR/2025/29915/A/88626,NR/2025/30067/A/88900,NR/2025/29992/A/88434,NR/2025/30086/A/88799,NR/2025/31559/C,NR/2025/30084/A/88800,NR/2025/26975/A/88813,NR/2025/31126/A/88382,NR/2025/31535/C,NR/2025/31132/A/88499,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/88758,NR/2025/30334/A/88270,NR/2025/31136/A/88759,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2236,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,Total
,,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BRPL,GMRETL,PowerPulse,PTC,HPXL,IEXL,MANIKARAN,IEXL,PowerPulse,PowerPulse,APPCPL,PowerPulse,NDMC,HPXL,BYPL,MES_Delhi,APPCPL,APPCPL,BRPL,APPCPL,NVVNL,APPCPL,PowerPulse,ITCLH,APPCPL,IEXL,TPTCL,HPXL,PowerPulse,IVPL_Trader,APPCPL,NVVNL,IEXL,NVVNL,PowerPulse,PowerPulse,APPCPL,PowerPulse,NVVNL,ITCLH,PTC,PowerPulse,APPCPL,NVVNL,NVVNL,APPCPL,APPCPL,APPCPL,TPTCL,MANIKARAN,BYPL,APPCPL,APPCPL,APPCPL,APPCPL,DIAPL,PowerPulse,GMRETL,SECI_Trader,ABLWM1_AEROCITY,IEXL,ABLWM1_AEROCITY,PTC,DELHI,APPCPL,PowerPulse,PUNJAB,BAWANA_GAS,
,,NA,NA,NA,NA,NA,NA,NA,GoHP_NJPC_STATE,NA,TAMILNADU_State,MSEB_State,NA,NA,NA,GOA_State,NA,NA,DELHI_UT,KERALA_State,NA,NA,MSEB_State,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,KERALA_State,TAMILNADU_State,MSEB_State,NA,NA,MSEB_State,NA,NA,NA,MP_State,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,GoHP_Chamera1_STATE,NA,NA,NA,MP_State,MSEB_State,NA,KERALA_State,UTTARPRADESH_STATE,NA,KERALA_State,NA,NA,NA,Manipur_State,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,GOA_State,NA,DELHI_UT,DELHI_UT,
,,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TS1PL_BKN,JNEPL_BKN2,APL_Raipur_TPP,GoHP_NJPC,SKS_Raigarh,PCBLTNLTD_UNIT2,AEML,IND_BHARAT,APL_Raipur_TPP,MAHAN_ENERGEN,GOA_Beneficiary,MAHAN_ENERGEN,JPL2,BYPL,KSEB,NTPCREL_PSS2_KPS2_S,TRN_ENERGY,AEML,DADRT2,JIPL,JPNIGRIE_JNSTPP,SKS_Raigarh,APL_Raipur_TPP,ITCWIND,KSEB,PCBLTNLTD_UNIT2,TPC_MSEB,SKS_Raigarh,MAHAN_ENERGEN,TPC_MSEB,SKS_Raigarh,SORANG_HEP,IND_BHARAT,JP_BINA,APL_Raigarh_TPP,APL_Raigarh_TPP,JIPL,APL_Raigarh_TPP,Kameng,ITCWIND,GoHP_Chamera1,MAHAN_ENERGEN,TRN_ENERGY,Kameng,JP_BINA,AEML,RKM_POWER,KSEB,PPGCL,MBMP,KSEB,RKM_POWER,RKM_POWER,RKM_POWER,Manipur_Ben,GBHHPL,APL_Raipur_TPP,JNEPL_BKN2,APSEPL_FTG,TESPL_BKN2,TPSL_BKN2,TCSPL_BKN2,MEENAKSHI,CHANJUII,GOA_Beneficiary,MAHAN_ENERGEN,BAWANA_GAS,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,
,,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BRPL,BLKMH,BRPL,BRPL,BRPL,MES_Delhi,BRPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,NDMC,APCPDCL,BYPL,MES_Delhi,NDMC,BYPL,BRPL,NDMC,TPDDL,NDMC,TPDDL,ITCLH,BYPL,MES_Delhi,BYPL,BRPL,BRPL,BYPL,NDMC,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,NDMC,TPDDL,TPDDL,ITCLH,BRPL,BRPL,NDMC,TPDDL,TPDDL,BYPL,NDMC,BYPL,BRPL,BRPL,BYPL,NDMC,NDMC,NDMC,BYPL,DIAPL,TPDDL,DTCP,TPDDL,ABLWM1_AEROCITY,MES_Delhi,ABLWM1_AEROCITY,BRPL,TPDDL,BRPL,BRPL,PUNJAB,HARYANA,
,,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,South-West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,North-West-South,South-West-North,West-North,West-North,West-North,North-North,East-North,West-North,West-North,West-North,South-West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,East-North,West-North,West-North,West-North,East-North,West-North,North East-East-North,South-West-North,North-North,West-North,West-North,North East-East-West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,South-East-North,North-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.91,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,16.83,19.23,81.72,32,26.17,2358.5899999999997

2,00:15-00:30,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.91,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,16.83,19.23,81.72,32,26.17,2358.5899999999997

