Block,Time,KHSTPP-I,MAPS,NJPC,NLCIIST1,UNCHAHAR4,DADRI_CRF,DADRI_GF,FSTPP I & II,KISHANGANGA,KUDGI,NAPP,RAMPUR,RIHAND3,TALST2,CHAMERA1,DULHASTI,NLCEXP,NNTPP,RIHAND1,SIMHST1,SINGRAULI_HYDRO,TEHRI,AURY_LF,BRBCL,CHAMERA3,KHSTPP-II,KKNP,KOLDAM,NLCTS2EXP,RAPPC,AURY_RF,DADRI_LF,DADRT2,NLCIIST2,RSTPSU1TO6,SALAL,UNCHAHAR1,ANTA_CRF,ANTA_GF,DADRI_RF,BSIUL,KGSU3AND4,RAPPB,RIHAND2,SIMHST2,TelanganaSTPP,URI,URI2,CHAMERA2,DHAULIGNGA,JHAJJAR,KGSU1AND2,KOTESHWR,PARBATI3,RSTPSU7,SEWA2,SINGRAULI,TALA,KKNPPU2,NTPL,SASAN,TANAKPUR,TANDA2,UNCHAHAR2,UNCHAHAR3,VALLURNTECL,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF
1,00:00-00:15,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,2.33,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

2,00:15-00:30,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,12.78,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

3,00:30-00:45,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,55.77,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

4,00:45-01:00,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,55.77,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

5,01:00-01:15,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,55.77,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

6,01:15-01:30,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,55.77,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

7,01:30-01:45,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,41.83,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

8,01:45-02:00,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,41.83,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,5.76,0,20.14,26.39,0,0,0,71.46,0

9,02:00-02:15,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,9.29,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,0,0,20.14,26.39,0,0,0,71.46,0

10,02:15-02:30,45.22,0,0,0,0,41.1,0,18.2,0,0,43.46,0,124.32,0,0,16.48,0,0,92,0,0,0,0,20,0,148.3,0,0,0,53.43,0,23.57,341.57,0,0,2.33,20.56,44.83,0,5.48,0,0,0,118.75,0,0,1.11,4.31,0,0,654.3,0,8.88,0,0,0,125.96,0,0,0,418.77,0,0,20.14,26.39,0,0,0,71.46,0

