Column1,Block,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/28774/A/81181,NR/2025/27356/A/81332,GNARE/NR/2024/12/20/3668,NR/2025/27499/A/81706,NR/2025/27088/A/81804,NR/2025/27167/A/81698,NR/2025/26562/A/81727,NR/2025/27782/A/81671,NR/2025/27726/A/81674,NR/2025/27725/A/81675,NR/2025/27168/A/81699,NR/2025/28851/A/81331,NR/2025/26952/A/81216,NR/2025/26777/A/81287,NR/2025/26785/A/81197,NR/2025/26860/A/81636,NR/2025/27727/A/81672,NR/2025/26975/A/81681,NR/2025/27242/A/81404,NR/2025/27506/A/81191,NR/2025/27500/A/81195,NR/2025/28719/A/81280,NR/2025/26565/A/81726,NR/2025/29162/A/81670,NR/2025/27100/A/81293,NR/2025/26566/A/81725,NR/2025/27162/A/81680,NR/2025/26889/A/81707,NR/2025/27281/A/81802,NR/2025/26445/A/81820,NR/2025/26861/A/81722,NR/2025/28849/A/81330,NR/2025/27187/A/81678,NR/2025/26572/A/81723,NR/2025/27157/A/81302,NR/2025/26571/A/81724,NR/2025/26085/A/81148,NR/2025/27185/A/81679,NR/2025/29338/C,NR/2025/29339/C,SR/2025/17633/C,NR/2025/29347/C,NR/2025/29215/C,NR/2025/27728/A/81673,NR/2025/29348/C,NR/2025/29185/C,NR/2025/29349/C,NR/2025/29350/C,NR/2025/29351/C,NR/2025/29198/C,NR/2025/29300/C,NR/2025/29336/C,NR/2025/29324/C,NR/2025/29317/C,NR/2025/29267/C,GNA/NR/2025/06/16/6051,NR/2025/29315/C,GNA/NR/2025/06/01/9719,NR/2025/29311/C,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,NR/30092023/26122029/SH-06,Total
,,NDMC,DELHI,BAWANA_GAS,IEXL,BRPL,SECI_Trader,HPXL,NVVNL,PTC,PowerPulse,APPCPL,APPCPL,APPCPL,PTC,BRPL,PXIL,INSTINCT,IEXL,BRPL,APPCPL,APPCPL,GMRETL,IEXL,IEXL,DIAPL,PowerPulse,DIAPL,IVPL_Trader,PowerPulse,APPCPL,HPXL,MANIKARAN,NVVNL,PowerPulse,BRPL,APPCPL,PowerPulse,KEIPL,PowerPulse,ITCLH,APPCPL,NVVNL,NVVNL,HPXL,APPCPL,PXIL,APPCPL,APPCPL,MANIKARAN,APPCPL,APPCPL,APPCPL,IEXL,TPDDL,NVVNL,APPCPL,APPCPL,BRPL,APPCPL,APPCPL,NVVNL,INSTINCT,APPCPL,PTC,INSTINCT,MANIKARAN,PowerPulse,PTC,SIMHAPURI,KEIPL,APPCPL,APPCPL,PUNJAB,
,,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,JK_and_LADAKH_UT,NA,GoHP_Chamera1_STATE,NA,NA,NA,NA,GoHP_Rampur_STATE,NA,NA,NA,NA,NA,NA,Manipur_State,HIMACHAL_STATE,HIMACHAL_STATE,MSEB_State,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,NA,CSEB_State,MSEB_State,CSEB_State,NA,NA,NA,KERALA_State,NA,CSEB_State,NA,ANDHRA_PRADESH_STATE,KERALA_State,NA,NA,DELHI_UT,NA,NA,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,KERALA_State,CSEB_State,NA,GOA_State,Manipur_State,NA,NA,CSEB_State,ODISHA_STATE,NA,MP_State,NA,TELANGANA_State,NA,CSEB_State,GOA_State,NA,DELHI_UT,
,,JIPL,CHANJUII,BAWANA_GAS,TPSL_BKN2,TS1PL_BKN,APSEPL_FTG,O2Z,ILFS,GoHP_Chamera1,APL_Raipur_TPP,TRN_ENERGY,RKM_POWER,SKS_Raigarh,GoHP_Rampur,RIHAND3,MBMP,JPL2,MBMP,JPL2,JPL2,Manipur_Ben,GBHHPL,NHCPL_HP,A_A_Energy_MH_Bio,GBHHPL,MAHAN_ENERGEN,GBHHPL,TPC_MSEB,MAHAN_ENERGEN,CSEB_Beneficiary,GRETAENERGY,CSEB_Beneficiary,JPNIGRIE_JNSTPP,COASTGEN,DADRT2,KSEB,APL_Raigarh_TPP,CSEB_Beneficiary,APL_Raigarh_TPP,ITCWIND,KSEB,SORANG_HEP,Kameng,BYPL,SKS_Raigarh,MBMP,RKM_POWER,RKM_POWER,CSEB_Beneficiary,JPL2,TRN_ENERGY,RKM_POWER,MBMP,JHAJJAR,ILFS,KSEB,CSEB_Beneficiary,JPL2,GOA_Beneficiary,Manipur_Ben,JHABUA_IPP,JPL2,CSPDCL,NBVL_OTCL,SIMHAPURI,BLAPOWER_MP,COASTGEN,NAVABHARAT,SIMHAPURI,CSPDCL,GOA_Beneficiary,DBPL,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,NDMC,TPDDL,HARYANA,MES_Delhi,BRPL,TPDDL,BYPL,BRPL,BRPL,TPDDL,NDMC,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,BYPL,BRPL,MES_Delhi,MES_Delhi,DIAPL,TPDDL,DIAPL,BYPL,TPDDL,BYPL,BYPL,BYPL,TPDDL,BRPL,BRPL,BYPL,TPDDL,BYPL,TPDDL,ITCLH,BYPL,TPDDL,TPDDL,TANGEDCO,NDMC,BRPL,NDMC,NDMC,BYPL,NDMC,NDMC,NDMC,NDMC,TPDDL,BRPL,BYPL,BYPL,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,
,,East-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,South-West-North,South-West-North,North-North,North East-East-North,North-West-South,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,South-West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,East-West-North,South-West-North,West-North,South-West-North,South-West-North,South-East-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,17.41,16.48,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.9099999999994

2,00:15-00:30,17.41,16.48,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.9099999999994

