Time,Block,NR/2024/18388/A/4416,NER/2024/1922/A/4603,NR/2024/18445/A/4635,NER/2024/1934/A/4598,NR/2024/18436/A/4544,WR/2024/21351/A/4620,NR/2024/18581/C,WR/2024/21355/A/4633,Total
,,ITCLH,APPCPL,MANIKARAN,APPCPL,IEXL,APPCPL,NVVNL,MANIKARAN,Total

,,ANDHRA PRADESH,DELHI,DELHI,DELHI,MAHARASHTRA,DELHI,NA,DELHI,
,,ITCWIND,BRPL,BRPL,BYPL,A_A_Energy_MH_Bio,BRPL,SOLAPUR_SOLAR,BRPL,
,,DELHI,MANIPUR,HIMACHAL PRADESH,NAGALAND,DELHI,GOA,DELHI,GOA,
,,ITCLH,Manipur_Ben,HP,Nagaland_Ben,MES (Delhi),GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,
,,South-West-North,North-East-North East,North-North,North-East-North East,West-East-North,North-West,West-North,North-West,
1,00:00-00:15,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

2,00:15-00:30,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

3,00:30-00:45,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

4,00:45-01:00,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

5,01:00-01:15,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

6,01:15-01:30,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

7,01:30-01:45,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

8,01:45-02:00,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

9,02:00-02:15,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

10,02:15-02:30,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

11,02:30-02:45,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

12,02:45-03:00,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

13,03:00-03:15,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

14,03:15-03:30,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

15,03:30-03:45,0.390000,25.000000,0.000000,20.000000,7.700000,0.000000,0,0.000000,53.09

