Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/21012024/21012024/HPX-TAMCTG-200124-05841,NR/01102023/30042040/GNA_LT_36,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/21012024/21012024/IEX_240120_06139,WR/01102023/24112044/L_NR_2020_07,NR/06012024/31012024/NVVN/OA/16855,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/30042040/GNA_LT_35,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/01102023/14082046/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/06022042/L_NR_2012_02,NR/01012024/31032024/ ChanjuII,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31012024/HP-26,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/01102023/L_NR_2022_09,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25072045/L_NR_2021_15,NR/01012024/31012024/HP-28,NR/21012024/21012024/IEX_240120_06140,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01012024/31012024/52,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,NR/01012024/31012024/HP-27,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/02122045/L_NR_2021_13,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341
1,00:00-00:15,56.270000,0.000000,0.000000,6.41,12,0.000000,230.380000,0.000000,4,48.000000,8.160000,18.240000,11.520000,0.000000,6.66,0,0,0,169.160000,1.370000,52.790000,6.720000,0,0,24.240000,0.000000,12.67,0,0,1.380000,152.120000,48.000000,12.67,0.690000,0.000000,5.760000,24.000000,0,24.470000,0.000000,4,0,0,0.000000,0,0,0,57.160000,65.840000,24.240000,0,0,0

2,00:15-00:30,56.270000,0.000000,0.000000,6.41,12,0.000000,191.980000,0.000000,4,48.000000,8.160000,18.240000,11.520000,0.000000,6.66,0,0,0,169.160000,1.370000,52.790000,6.720000,0,0,24.240000,0.000000,12.67,0,0,1.380000,152.120000,48.000000,12.67,0.690000,0.000000,5.760000,24.000000,0,24.470000,0.000000,4,0,0,0.000000,0,0,0,57.160000,65.840000,24.240000,0,0,0

3,00:30-00:45,56.270000,0.000000,0.000000,6.41,12,0.950000,148.480000,0.000000,4,48.000000,8.160000,18.240000,11.520000,0.000000,6.66,0,0,0,169.160000,1.370000,52.790000,6.720000,0,0,24.240000,0.000000,12.67,0,0,1.380000,152.120000,48.000000,12.67,0.690000,0.000000,5.760000,24.000000,0,24.470000,0.000000,4,0,0,0.000000,0,0,0,57.160000,65.840000,24.240000,0,0,0

4,00:45-01:00,56.270000,0.000000,0.000000,6.41,12,0.950000,148.480000,0.000000,4,48.000000,8.160000,18.240000,11.520000,0.000000,6.66,0,0,0,169.160000,1.370000,52.790000,6.720000,0,0,24.240000,0.000000,12.67,0,0,1.380000,152.120000,48.000000,12.67,0.690000,0.000000,5.760000,24.000000,0,24.470000,0.000000,4,0,0,0.000000,0,0,0,57.160000,65.840000,24.240000,0,0,0

5,01:00-01:15,56.270000,0.000000,0.000000,6.41,12,0.950000,148.480000,0.000000,4,48.000000,8.160000,18.240000,11.520000,0.000000,6.66,0,0,0,169.160000,1.370000,52.790000,6.720000,0,0,24.240000,0.000000,14.33,0,0,1.380000,152.120000,48.000000,14.33,0.690000,0.000000,5.760000,24.000000,0,24.470000,0.000000,4,0,0,0.000000,0,0,0,57.160000,69.980000,24.240000,0,0,0

