Column1,Block,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,NR/30092023/31122025/SH-07,NR/2024/22832/A/35220,NR/2024/22833/A/35219,NR/2024/22888/A/35238,NR/2024/22874/A/35222,NR/2024/22734/A/35210,NR/2024/22872/A/35081,NR/2024/22837/A/35218,NR/2024/22835/A/35278,NR/2024/21658/A/35080,NR/2024/22820/A/34946,NR/2024/22816/A/35184,NR/2024/22860/A/35246,NR/2024/22802/A/35221,NR/2024/22928/C,NR/2024/22848/A/35248,NR/2024/22935/C,NR/2024/22933/C,NR/2024/22839/A/35217,NR/2024/22753/A/35208,NR/2024/22754/A/35207,NR/2024/22934/C,NR/2024/22898/A/35159,NR/2024/22899/A/35161,Total
,,NVVNL,TPTCL,MANIKARAN,INSTINCT,AEL,MANIKARAN,APPCPL,DELHI,DELHI,JITPL,PUNJAB,TPTCL,BAWANA_GAS,NVVNL,NVVNL,APPCPL,NVVNL,TPDDL,DIAPL,NVVNL,MANIKARAN,ITCLH,IEXL,TPTCL,APPCPL,NVVNL,TPDDL,APPCPL,NVVNL,NVVNL,NVVNL,PTC,PTC,NVVNL,SJVNL,SJVNL,
,,NA,NA,MP_State,NA,NA,ODISHA_STATE,Arunachal_State,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,NA,KERALA_State,MP_State,NA,HIMACHAL_STATE,NA,MSEB_State,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,Nagaland_State,NA,NA,UTTARAKHAND_STATE,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,NA,
,,JPNIGRIE_JNSTPP,JITPL,BLAPOWER_MP,JPL2,APL_Raigarh_TPP,MAADURGA_THERMAL,Arunachal_Ben,SKS_Raigarh,CHANJUII,JITPL,BAWANA_GAS,SIMHAPURI,BAWANA_GAS,RKM_POWER,RKM_POWER,KSEB,JP_BINA,JPL2,GBHHPL,JPL2,AEML,ITCWIND,NSLSUGAR,SIMHAPURI,Nagaland_Ben,JPNIGRIE_JNSTPP,JHAJJAR,UTTARAKHAND,SORANG_HEP,Kameng,TRN_ENERGY,HP,HP,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,NDMC,PUNJAB,BRPL,HARYANA,NDMC,NDMC,BYPL,TPDDL,TPDDL,DIAPL,NDMC,BYPL,ITCLH,MES_Delhi,BRPL,BYPL,BRPL,TPDDL,BYPL,TPDDL,TPDDL,NDMC,BRPL,BYPL,MES_Delhi,NDMC,NDMC,
,,West-North,East-North,West-North,West-North,West-North,East-North,North East-East-North,West-North,North-North,East-North,North-North,South-East-North,North-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,South-West-North,North East-East-North,West-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,9.99,17.482,24.0835,41.18,32,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.87,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1544.9955

2,00:15-00:30,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,9.99,17.482,24.0835,41.18,32,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.87,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1544.9955

3,00:30-00:45,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,9.99,17.482,24.0835,41.18,32,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.87,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1544.9955

