Time,Block,NR/2024/20130/A/21747,NR/2024/19779/A/21691,NR/2024/20701/C,NR/2024/19757/A/22102,NR/2024/20598/A/21758,NR/2024/20212/A/21741,NR/2024/19760/A/21934,NR/2024/19475/A/21988,NR/2024/19432/A/22106,NR/2024/20516/A/21745,NR/2024/19355/A/22155,NR/2024/20572/A/22095,NR/2024/19966/A/21732,NR/2024/20048/A/22041,NR/2024/20109/A/22153,NR/2024/19988/A/21933,NR/2024/20515/A/21746,NR/2024/20211/A/21740,NR/2024/20553/A/21597,NR/2024/20552/A/21598,NR/2024/20597/A/22032,NR/2024/20513/A/21748,NR/2024/19791/A/22037,NR/2024/20672/C,NR/2024/20537/A/22147,NR/2024/20142/A/21743,NR/2024/20560/A/22096,NR/2024/20037/A/21767,NR/2024/20141/A/21744,NR/2024/20694/C,NR/2024/19637/A/21726,NR/2024/19918/A/22035,NR/2024/20557/A/22098,NR/2024/20524/A/21996,NR/2024/20090/A/21602,NR/2024/20599/A/21756,NR/2024/20041/A/22042,NR/2024/20540/A/21527,NR/2024/19919/A/22033,NR/2024/19699/A/22104,NR/2024/20554/A/21583,NR/2024/20684/C,NR/2024/20144/A/21742,NR/2024/19588/A/21708,NR/2024/20050/A/22040,NR/2024/20671/C,NR/2024/19683/A/21632,NR/2024/20558/A/22097,Total
,,DTCP,ITCLH,HPXL,NVVNL,TPTCL,UHL,TPTCL,AEL,NVVNL,BMDRC,TPDDL,NVVNL,BRPL,PTC,TPDDL,TPTCL,MHIL,JHPL-DL,IEXL,IEXL,PTC,MSSH,APPCPL,NVVNL,TPDDL,BAL224,NVVNL,TPTCL,BAL184,IEXL,INSTINCT,APPCPL,NVVNL,HPXL,IEXL,TPTCL,PTC,DIAPL,APPCPL,NVVNL,PXIL,HPXL,BAL234,GMRETL,PTC,NVVNL,IEXL,NVVNL,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,NA,TAMIL NADU,UTTAR PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,KARNATAKA,NA,HIMACHAL PRADESH,TAMIL NADU,NA,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NAGALAND,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,MAHARASHTRA,HIMACHAL PRADESH,KERALA,MP,NA,NA,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,
,,SHPPBPL,ITCWIND,JPL,TANGEDCO,PPGCL,SHPPBPL,SIMHAPURI,APL_Raipur TPP,SEIL,SHPPBPL,JPL-2,JPL-2,IEPLBELA2022,HP,JHAJJAR,HP-GOVT,SHPPBPL,SHPPBPL,JSWEL MSEB,JSWEL,SEILP2,SHPPBPL,TANGEDCO,KAMENG,JHAJJAR,SHPPBPL,RKM_POWER,JPL_DHULE,SHPPBPL,JPL-2,JPL-2,Nagaland_Ben,SKS Raigarh,GBHHPL,A_A_Energy_MH_Bio,ACBIL,JPL_DHULE,GBHHPL,KSEB,JP BINA,IND_BHARAT,JITPL,SHPPBPL,RUVNL,HP,SOLAPUR_SOLAR,NHCPL_HP,RKM_POWER,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DTCP,ITCLH,BRPL,BRPL,BRPL,UHL,BRPL,BRPL,TPDDL,BMDRC,TPDDL,NDMC,BRPL,BYPL,TPDDL,BRPL,MHIL,JHPL-DL,BRPL,BRPL,BRPL,MSSH,BYPL,TPDDL,TPDDL,BAL224,NDMC,TPDDL,BAL184,TPDDL,BRPL,BYPL,NDMC,BRPL,MES (Delhi),BRPL,BRPL,DIAPL,BYPL,TPDDL,BRPL,BRPL,BAL234,BYPL,BRPL,MES (Delhi),MES (Delhi),NDMC,
,,North-North,South-West-North,West-North,South-West-North,North-North,North-North,South-West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,South-East-West-North,South-West-North,North-North,South-West-North,North East-East-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,North-North,South-West-North,West-North,East-West-North,East-North,North-North,North-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,0.480000,0.630000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2175.57

2,00:15-00:30,0.480000,0.630000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2175.57

3,00:30-00:45,0.480000,0.630000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2175.57

4,00:45-01:00,0.480000,0.630000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2175.57

5,01:00-01:15,0.480000,0.580000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,0.000000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2142.59

6,01:15-01:30,0.480000,0.580000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,0.000000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2142.59

7,01:30-01:45,0.480000,0.580000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,0.000000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2142.59

8,01:45-02:00,0.480000,0.580000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,0.000000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2142.59

9,02:00-02:15,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2078.87

10,02:15-02:30,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2078.87

11,02:30-02:45,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2078.87

12,02:45-03:00,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,7.730000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2078.87

13,03:00-03:15,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

14,03:15-03:30,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

15,03:30-03:45,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

16,03:45-04:00,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

17,04:00-04:15,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

18,04:15-04:30,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

19,04:30-04:45,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

20,04:45-05:00,0.480000,0.480000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2077.85

