Column1,Block,NR/2024/24225/A/45911,NR/2024/24071/A/45677,NR/2024/24318/C,NR/2024/24224/A/45890,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/SR/2024/12/01/6968,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1766,NER/2024/2770/A/45885,NR/2024/24146/A/45668,NR/2024/24097/A/45672,NR/30092023/26122029/SH-06,WR/2024/25054/A/45889,NR/2024/24088/A/45674,NR/2024/23952/A/45681,NR/2024/24319/C,NR/2024/24052/A/45678,NR/2024/24320/C,NR/2024/24051/A/45679,NR/2024/24060/A/45923,NR/2024/24227/A/45913,GNA/NR/2024/12/18/4434,Total
,,OIDLWM2_AEROCITY,IEXL,SJVNL,ABLWM1_AEROCITY,NDMC,BAWANA_GAS,KSEB,DELHI,NDMC,PTC,NDMC,PTC,APPCPL,MANIKARAN,NDMC,NDMC,APPCPL,IEXL,IEXL,PUNJAB,APPCPL,IEXL,ITCLH,SJVNL,IEXL,SJVNL,IEXL,NVVNL,OIDLWM3_AEROCITY,IEXL,
,,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,MP_State,KARNATAKA_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,TELANGANA_State,KARNATAKA_STATE,TELANGANA_State,NA,NA,NA,
,,TESPL_BKN2,TESPL_BKN2,TPSL_BKN2,TESPL_BKN2,TRN_ENERGY,BAWANA_GAS,BYPL,CHANJUII,RKM_POWER,BYPL,JPL2,BRPL,BYPL,BRPL,SKS_Raigarh,RKM_POWER,BYPL,NSPLN_MP,NSLSUGARALAND,BAWANA_GAS,BRPL,NSLSTUNGBHDRA,ITCWIND,RENUKASUGARSATHANI,NSLKSLWPRTY,RENUKASUGARSHAVALGA,NSLKSLWPRTY,JITPL,TESPL_BKN2,SIMHAPURI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,KERALA_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,OIDLWM2_AEROCITY,MES_Delhi,NDMC,ABLWM1_AEROCITY,NDMC,HARYANA,KSEB,TPDDL,NDMC,HP,NDMC,HP,AEML,AEML,NDMC,NDMC,Manipur_Ben,MES_Delhi,MES_Delhi,PUNJAB,GOA_Beneficiary,MES_Delhi,ITCLH,NDMC,MES_Delhi,NDMC,MES_Delhi,NDMC,OIDLWM3_AEROCITY,TPDDL,
,,North-North,North-North,North-North,North-North,West-North,North-North,North-West-South,North-North,West-North,North-North,West-North,North-North,North-West,North-West,West-North,West-North,North-East-North East,West-North,South-West-North,North-North,North-West,South-West-North,South-West-North,South-West-North,South-West-North,South-West-North,South-West-North,East-North,North-North,South-East-North,
1,00:00-00:15,0,0,0,0,8.66,0,150,1.92,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,409.03999999999996

2,00:15-00:30,0,0,0,0,8.66,0,150,1.92,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,409.03999999999996

