Block,Time,RIHAND3,JHAJJAR,AURY_CRF,TEHRI,DADRT2,RIHAND1,PARBATI3,UNCHAHAR3,CHAMERA3,CHAMERA2,SINGRAULI,DADRI_RF,ANTA_GF,RIHAND2,RAMPUR,SALAL,URI,DHAULIGNGA,AURY_LF,KOLDAM,DULHASTI,TANAKPUR,BSIUL,UNCHAHAR4,RAPPB,DADRI_CRF,UNCHAHAR1,TANDA2,URI2,NJPC,AURY_RF,DADRI_LF,KISHANGANGA,CHAMERA1,ANTA_CRF,DADRI_GF,SINGRAULI_HYDRO,UNCHAHAR2,AURY_GF,RAPPC,ANTA_LF,SEWA2,KOTESHWR,NAPP,ANTA_RF,BRBCL,SASAN,TALA,KHSTPP-I,FSTPP I & II,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,122.692416,399.766624,0.000000,67.846149,660.288961,90.979964,32.331189,26.043946,33.549463,46.715035,122.295724,0.000000,0.000000,117.009536,6.497280,80.585165,37.218048,41.934007,0.000000,9.835863,56.210797,12.461978,6.280835,1.435168,0.000000,0.000000,19.946910,5.160923,21.547996,173.339836,0.000000,0.000000,8.033715,40.597031,0.000000,0.000000,1.126465,41.410183,0.000000,65.488818,0.000000,0.000000,39.974024,46.925573,0.000000,14.447987,266.240520,6.598113,30.986240,13.773760,140.751391,0,0,0,0,0

2,00:15-00:30,122.692416,399.766624,0.000000,67.846149,660.288961,90.979964,32.331189,26.043946,33.549463,46.715035,122.295724,0.000000,0.000000,117.009536,6.497280,80.585165,37.218048,41.934007,0.000000,9.835863,56.210797,12.461978,6.280835,1.435168,0.000000,0.000000,20.716413,5.160923,37.555078,173.339836,0.000000,0.000000,8.033715,40.597031,0.000000,0.000000,1.126465,41.410183,0.000000,65.488818,0.000000,0.000000,39.974024,46.925573,0.000000,14.447987,266.565600,6.768021,30.986240,13.773760,142.842560,0,0,0,0,0

3,00:30-00:45,122.692416,399.766624,0.000000,67.846149,660.288961,90.979964,32.331189,26.043946,33.549463,46.715035,122.295724,0.000000,0.000000,117.009536,6.497280,80.585165,30.837811,41.934007,0.000000,9.835863,56.210797,12.461978,6.280835,1.435168,0.000000,0.000000,20.716438,5.160923,37.555078,173.339836,0.000000,0.000000,8.033715,40.597031,0.000000,0.000000,1.126465,41.410183,0.000000,65.488818,0.000000,0.000000,39.974024,46.925573,0.000000,14.447987,266.565600,6.711385,30.986240,13.773760,135.393171,0,0,0,0,0

4,00:45-01:00,122.692416,399.766624,0.000000,67.846149,660.288961,90.979964,32.331189,26.043946,33.549463,46.715035,122.295724,0.000000,0.000000,117.009536,6.497280,80.585165,30.837811,41.934007,0.000000,9.835863,56.210797,12.461978,6.280835,1.435168,0.000000,0.000000,20.716438,5.160923,37.555078,173.339836,0.000000,0.000000,8.033715,40.597031,0.000000,0.000000,1.126465,41.410183,0.000000,65.488818,0.000000,0.000000,39.974024,46.925573,0.000000,14.447987,266.565600,6.739703,30.986240,13.773760,135.393171,0,0,0,0,0

5,01:00-01:15,122.692416,399.766624,0.000000,67.846149,660.288961,90.979964,32.331189,26.043946,33.549463,46.715035,122.295724,0.000000,0.000000,117.009536,6.497280,80.585165,30.837811,41.934007,0.000000,9.835863,56.210797,12.461978,6.280835,1.435168,0.000000,0.000000,19.005488,5.160923,37.555078,173.339836,0.000000,0.000000,8.033715,40.597031,0.000000,0.000000,1.126465,41.410183,0.000000,65.488818,0.000000,0.000000,39.974024,46.925573,0.000000,14.447987,266.565600,6.739703,30.986240,13.773760,135.393171,0,0,0,0,0

6,01:15-01:30,122.692416,399.766624,0.000000,67.846149,660.288961,90.979964,32.331189,26.043946,33.549463,46.715035,122.295724,0.000000,0.000000,117.009536,6.497280,80.585165,37.218048,41.934007,0.000000,9.835863,56.210797,12.461978,6.280835,1.435168,0.000000,0.000000,19.005488,5.160923,16.930568,173.339836,0.000000,0.000000,8.033715,40.597031,0.000000,0.000000,1.126465,41.410183,0.000000,65.488818,0.000000,0.000000,39.974024,46.925573,0.000000,14.447987,266.565600,6.796339,30.986240,13.773760,135.393171,0,0,0,0,0

7,01:30-01:45,122.692416,399.766624,0.000000,67.846149,660.288961,90.979964,32.331189,26.043946,33.549463,46.715035,122.295724,0.000000,0.000000,117.009536,6.497280,80.585165,37.218048,41.934007,0.000000,9.835863,56.210797,11.228119,6.280835,1.435168,0.000000,0.000000,19.005488,5.160923,16.930568,173.339836,0.000000,0.000000,8.033715,40.597031,0.000000,0.000000,1.126465,41.410183,0.000000,65.488818,0.000000,0.000000,39.974024,46.925573,0.000000,14.447987,266.565600,3.369852,30.986240,13.773760,135.393171,0,0,0,0,0

