Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,L_NR_2019_19,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/4444,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/13/7863,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/7782,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/4973,GNA/NR/2025/04/01/8456,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2868,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,0,0,0,0,0,0,0,0,34.41,0,0,24.16,62.81,0,31.29,-0,0,57.96,100.67,9.84,15.35,96.63,273.22,11.9,0,0,48.32,10.34,130.74,32,24.16,87.16,0,16.92,48.32,24.16,11.91,48.32,32,29.16,0,0,0,18.33,0,0,24.17,24.17,72.49,10.6,10.78

2,00:15-00:30,0,0,0,0,0,0,0,0,34.21,0,0,24.16,62.81,0,31.29,-0,0,57.96,100.67,9.84,15.35,96.63,273.22,11.9,0,0,48.32,10.34,130.74,32,24.16,87.16,0,16.92,48.32,24.16,11.91,48.32,32,29.16,0,0,0,18.33,0,0,24.17,24.17,72.49,10.6,10.78

3,00:30-00:45,0,0,0,0,0,0,0,0,34.21,0,0,24.16,62.81,0,31.29,-0,0,57.96,100.67,9.84,15.35,96.63,273.22,11.9,0,0,48.32,10.34,130.74,32,24.16,87.16,0,16.92,48.32,24.16,11.91,48.32,32,29.16,0,0,0,18.33,0,0,24.17,24.17,72.49,10.6,10.78

4,00:45-01:00,0,0,0,0,0,0,0,0,34.01,0,0,24.16,62.81,0,31.29,-0,0,57.96,100.67,9.84,15.35,96.63,273.22,11.9,0,0,48.32,10.34,130.74,32,24.16,87.16,0,16.92,48.32,24.16,11.91,48.32,32,29.16,0,0,0,18.33,0,0,24.17,24.17,72.49,10.6,10.78

5,01:00-01:15,0,0,0,0,0,0,0,0,37.02,0,0,24.16,62.81,0,31.29,-0,0,57.96,100.67,9.65,15.35,96.63,273.22,11.9,0,0,48.32,10.34,130.74,32,24.16,87.16,0,16.74,48.32,24.16,11.91,48.32,32,29.16,0,0,0,18.33,0,0,24.17,24.17,72.49,10.6,10.78

