Column1,Time,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1333,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/1389,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/16/2139,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/5285,NR/01102023/22052037/LT-59,GNA/NR/2025/04/16/4327,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/7960,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/9334,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.48,1.92,100.17,96.15,32,2.88,3.11,72.11,4.37,48.08,10.41,72.11,14.57,19.23,52.5,30.78,7.73,22.11,0,1.09,260.18,2.88,114.97,32,14.01,24.66,11.67,14.17,14.17,42.49,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.48,1.92,100.17,96.15,32,2.88,3.95,72.11,4.37,48.08,10.41,72.11,14.57,19.23,52.5,30.78,7.73,22.11,0,1.73,260.18,2.88,114.97,32,14.01,25.34,12.67,13.67,13.67,40.99,25.33,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.48,1.92,100.17,96.15,32,2.88,3.95,72.11,4.37,48.08,10.41,72.11,14.57,19.23,52.5,31.29,7.73,22.11,0,2.71,260.18,2.88,114.97,27,13.6,26.34,13.67,13.17,13.17,39.49,26.33,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.48,1.92,100.17,96.15,32,2.88,3.95,72.11,4.37,48.08,10.41,72.11,14.57,19.23,52.5,31.29,7.73,22.11,0,3.46,260.18,2.88,114.97,27,13,28.34,14,12.83,12.83,38.51,28.33,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.38,1.92,100.17,96.15,32,2.88,3.95,72.11,4.3,48.08,10.41,72.11,14.57,19.23,52.5,31.29,7.73,22.11,0,4.04,260.18,2.88,114.97,32,13.4,28.66,14.33,13,13,39,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0

