Column1,Block,NR/2024/23918/A/43087,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9042,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/2024/23909/A/43138,WR/2024/24788/A/43210,NR/2024/23420/A/43093,GNA/NR/2024/11/01/1868,NR/2024/23769/A/43089,NR/2024/23809/A/43088,NR/2024/23958/C,NR/2024/23959/C,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/9061,GNA/WR/2024/11/01/4200,Total
,,IEXL,PTC,NDMC,NDMC,PUNJAB,BAWANA_GAS,NDMC,DIAPL,APPCPL,ITCLH,NDMC,IEXL,IEXL,SJVNL,SJVNL,APPCPL,PTC,DELHI,NDMC,NDMC,MANIKARAN,
,,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,DELHI_UT,
,,TESPL_BKN2,BYPL,RKM_POWER,JITPL,BAWANA_GAS,BAWANA_GAS,RKM_POWER,GBHHPL,BRPL,ITCWIND,SKS_Raigarh,NSLSUGAR,NSLSTUNGBHDRA,TPSL_BKN2,RSRPL_BKN,BYPL,BRPL,CHANJUII,TRN_ENERGY,JPL2,BRPL,
,,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,
,,MES_Delhi,HP,NDMC,NDMC,PUNJAB,HARYANA,NDMC,DIAPL,GOA_Beneficiary,ITCLH,NDMC,MES_Delhi,MES_Delhi,NDMC,NDMC,AEML,HP,TPDDL,NDMC,NDMC,AEML,
,,North-North,North-North,West-North,East-North,North-North,North-North,West-North,North-North,North-West,South-West-North,West-North,South-West-North,South-West-North,North-North,North-North,North-West,North-North,North-North,West-North,West-North,North-West,
1,00:00-00:15,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

2,00:15-00:30,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

