Block,Time,BSIUL,CHAMERA1,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SEWA2,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,RIHAND2,RIHAND3,DULHASTI,KOLDAM,SALAL,NJPC,RAPPC,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TAPS-II,VSTPS V,VSTPS I,KSTPS7,SIPAT I,VSTPS IV,VSTPS III,MOUDA,VSTPS II,LARA-I,KAPS,KAWAS-zLIQ,GANDHAR-RLNG,GADARWARA-I,SIPAT II,KHARGONE-I,KAWAS-ComGas,KSTPS I&II,MOUDA_II,SOLAPUR,KAWAS-APM,KAWAS-NAPM,GANDHAR-ComGas,SASAN,GANDHAR-APM,KAWAS-RLNG,GANDHAR-NAPM
12,02:45-03:00,6.49,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,0.716513,0,31.561589,27.350811,18.108732,30.855472,22.310403,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.378985,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,2.928248,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

13,03:00-03:15,6.49,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,0.716513,0,36.642235,27.350811,18.108732,30.855472,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,2.928248,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

14,03:15-03:30,6.49,42.14808,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,0.716513,0,36.642235,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,61.586,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.97,0.93,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.97,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,3.070397,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

15,03:30-03:45,6.49,28.045,147.214156,1.4091,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,31.561589,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.9,0.93,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.96,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,3.070397,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

16,03:45-04:00,6.49,13.983,147.214156,1.4091,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,31.561589,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.9,0.93,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.96,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,3.070397,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

17,04:00-04:15,6.49,0,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,52.992,1.074768,0,31.561589,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.9,0.93,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.91,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,3.070397,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

18,04:15-04:30,6.49,0,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,52.992,1.074768,0,31.561589,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.9,0.93,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.91,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,3.397337,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

19,04:30-04:45,6.49,0,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,31.561589,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,61.586,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.9,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.91,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,3.724278,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

20,04:45-05:00,6.49,0,147.214156,1.281,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,31.561589,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,49.966,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.9,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.91,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,4.051218,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

21,05:00-05:15,6.49,0,147.214156,0,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,36.642235,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0,0,95.888555,122.432091,128.451291,37.821176,0,49.966,0,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,0.9,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.91,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,4.26444,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

22,05:15-05:30,6.49,0,147.214156,0,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,36.642235,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,0.663309,0,95.888555,122.432091,128.451291,37.821176,0,49.966,21.51372,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,6.486938,96.00669,0,3.03,3.57,3.78,0.9,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.91,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,4.26444,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

23,05:30-05:45,10.23,0,147.214156,0,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,32.331384,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,1.326619,0,95.888555,122.432091,128.451291,37.821176,0,49.966,43.02744,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,6.486938,96.00669,0,3.03,3.57,3.78,0.9,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.91,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,4.26444,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

24,05:45-06:00,13.09,0,147.214156,0,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,32.331384,27.350811,18.108732,15.349422,11.155202,691.093984,0,667.076637,4.225255,9.137237,47.497893,0,2.155756,0,95.888555,122.432091,128.451291,37.821176,0,49.966,69.91959,65.267821,0,12.449081,26.14307,0,0,74.209985,0,0,0,6.486938,96.00669,0,3.03,3.57,3.78,0.93,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.73,0.94,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0,4.26444,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.015133,348.975,0,0,0

25,06:00-06:15,13.09,0,147.214156,0,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,32.331384,27.350811,18.108732,15.349422,11.155202,691.093984,10.456189,667.076637,4.225255,9.137237,47.497893,0,2.80722,0,95.888555,122.432091,128.451291,37.821176,0,49.966,91.43331,65.267821,0,3.734724,26.14307,8.714357,0,72.930502,0,0,0,6.486938,88.222364,0,3.03,3.57,3.78,0.93,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.8,0.94,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0.001107,4.26444,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.014026,348.975,0,0,0

26,06:15-06:30,13.09,0,147.214156,0,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,32.331384,27.350811,18.108732,15.349422,11.155202,691.093984,20.912378,667.076637,4.225255,9.137237,47.497893,0,3.138875,0,95.888555,122.432091,128.451291,37.821176,0,49.966,102.19017,65.267821,0,3.734724,26.14307,8.714357,0,72.930502,0,0,0,6.486938,88.222364,0,3.03,3.57,3.78,0.93,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.8,0.94,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0.001107,4.26444,1.857394,1.938899,0.02032,2.674033,3.487597,1.759081,0,0,0.014026,348.975,0,0,0

27,06:30-06:45,13.09,0,147.214156,0,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,32.331384,27.350811,18.108732,15.349422,11.155202,691.093984,31.368567,667.076637,4.225255,9.137237,47.497893,0,3.138875,0,95.888555,122.432091,128.451291,37.821176,0,49.966,102.19017,65.267821,0,3.734724,26.14307,8.714357,0,72.930502,0,0,0,6.486938,88.222364,0,3.03,3.57,3.78,0.93,0,0.1,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.8,0.94,0,147.515625,41.5795,20.73185,20.0018,1.361689,1.318423,2.389702,1.332638,3.518163,2.665275,1.946241,1.9248,1.929632,4.228905,1.140171,0,0.001107,4.26444,1.857394,1.938899,0.020161,2.674033,3.487597,1.759081,0,0,0.014026,348.975,0,0,0

