Block,Time,BSIUL,JHAJJAR,KKNP,NTPL,PARBATI3,RIHAND1,RSTPSU7,SEWA2,SIMHST1,ANTA_GF,AURY_RF,KHSTPP-I,KUDGI,NLCTS2EXP,RAMPUR,RAPPB,RAPPC,RSTPSU1TO6,SASAN,SIMHST2,SINGRAULI_HYDRO,ANTA_LF,KOLDAM,NLCIIST2,RIHAND2,SINGRAULI,TANAKPUR,TANDA2,TelanganaSTPP,URI2,DADRI_LF,CHAMERA1,CHAMERA2,DHAULIGNGA,UNCHAHAR1,ANTA_RF,AURY_GF,DADRI_RF,KGSU3AND4,NAPP,UNCHAHAR3,URI,ANTA_CRF,AURY_CRF,BRBCL,CHAMERA3,KISHANGANGA,KOTESHWR,NLCIIST1,RIHAND3,TEHRI,UNCHAHAR2,DADRI_GF,DULHASTI,FSTPP I & II,SALAL,TALST2,VALLURNTECL,DADRI_CRF,DADRT2,KGSU1AND2,KHSTPP-II,KKNPPU2,MAPS,NJPC,NLCEXP,NNTPP,TALA,UNCHAHAR4,AURY_LF
1,00:00-00:15,6.52,342.53,0,0,15.46,47.33,0,17.37,0,0,78.06,44.92,0,0,3.04,0,60.23,0,416.25,0,0,0,4.01,0,121.71,141.78,13,0.12,0,36.35,0,42.15,29.48,40.4,20.86,48.13,0,97.42,0,45.1,18.46,49.13,0,0,20.01,16.87,1.44,28.98,0,127.6,70.87,42.4,0,53.79,18.21,76.69,0,0,0,686.07,0,98.87,0,0,139.68,0,0,10.44,0,0

2,00:15-00:30,6.52,342.53,0,0,15.46,47.33,0,17.37,0,0,78.06,44.92,0,0,3.04,0,60.23,0,416.25,0,0,0,4.01,0,121.71,141.78,13,0.12,0,36.35,0,42.15,22.38,40.4,20.96,48.13,0,97.42,0,45.1,19.11,49.13,0,0,20.01,16.87,1.44,28.98,0,127.6,70.87,43.71,0,53.79,18.21,76.69,0,0,0,686.07,0,98.87,0,0,139.68,0,0,10.44,1.62,0

3,00:30-00:45,6.52,342.53,0,0,3.51,47.33,0,17.37,0,0,78.06,44.92,0,0,3.04,0,60.23,0,416.25,0,0,0,4.01,0,121.71,141.78,13,0,0,36.35,0,42.15,22.38,40.4,20.96,48.13,0,97.42,0,45.1,16.28,44.71,0,0,20.01,16.87,1.44,28.98,0,127.6,70.87,43.71,0,53.79,18.21,76.69,0,0,0,686.07,0,98.87,0,0,139.68,0,0,10.44,1.62,0

4,00:45-01:00,6.52,342.53,0,0,3.51,47.33,0,17.37,0,0,78.06,44.92,0,0,3.04,0,60.23,0,416.25,0,0,0,4.01,0,121.71,141.78,13,0,0,36.35,0,42.15,22.38,40.4,20.96,48.13,0,97.42,0,45.1,12.73,44.71,0,0,20.01,16.87,1.44,28.98,0,127.6,70.87,43.71,0,53.79,18.21,76.69,0,0,0,686.07,0,98.87,0,0,139.68,0,0,10.47,1.62,0

5,01:00-01:15,6.52,342.53,0,0,3.51,47.33,0,11.58,0,0,78.06,44.92,0,0,3.04,0,60.23,0,416.25,0,0,0,4.01,0,121.71,141.78,13,0,0,36.35,0,42.15,22.38,40.4,20.96,48.13,0,97.42,0,45.1,0,44.71,0,0,20.01,16.87,1.44,28.98,0,127.6,70.87,43.71,0,53.79,18.21,76.69,0,0,0,686.07,0,98.87,0,0,139.68,0,0,10.49,1.62,0

