Block,Time,KGSU1AND2,KHSTPP-I,KOLDAM,RAPPB,RAPPC,RIHAND3,TANDA2,TEHRI,UNCHAHAR4,ANTA_GF,KKNP,NLCEXP,NLCIIST2,URI,URI2,CHAMERA3,DHAULIGNGA,JHAJJAR,MAPS,NLCTS2EXP,NTPL,PARBATI3,SALAL,SASAN,SINGRAULI,TelanganaSTPP,CHAMERA1,CHAMERA2,KGSU3AND4,KHSTPP-II,NAPP,NJPC,NNTPP,RIHAND2,RSTPSU7,ANTA_CRF,ANTA_LF,ANTA_RF,DADRI_CRF,KISHANGANGA,NLCIIST1,PARBATI2,RIHAND1,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR2,VALLURNTECL,DADRT2,FSTPP I & II,KKNPPU2,KOTESHWR,KUDGI,RAMPUR,SEWA2,SIMHST2,TANAKPUR,AURY_CRF,AURY_RF,BRBCL,RSTPSU1TO6,TALA,AURY_GF,AURY_LF,DADRI_GF,DADRI_LF,BSIUL,DULHASTI,TALST2,UNCHAHAR1,UNCHAHAR3,DADRI_RF
1,00:00-00:15,0,45.53,0,0,35.14,130.75,2.68,12.98,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,82.89,0,124.53,0,0,0,53.44,0,8.56,0,0,97.18,0,1,20.27,0,688.87,15.29,0,10.41,0,3.27,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

2,00:15-00:30,0,45.53,0,0,35.14,130.75,2.68,12.98,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,44.74,0,124.53,0,0,0,53.44,0,8.56,0,0,97.18,0,1,20.27,0,688.87,15.29,0,10.41,0,1.76,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

3,00:30-00:45,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,44.74,0,124.53,0,0,0,53.44,0,8.56,0,0,97.18,0,1,20.27,0,688.87,15.29,0,10.41,0,1.76,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

4,00:45-01:00,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,44.74,0,124.53,0,0,0,53.44,0,8.56,0,0,97.18,0,1,20.27,0,688.87,15.29,0,10.41,0,1.76,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

5,01:00-01:15,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,16.86,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,44.74,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,1.76,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

6,01:15-01:30,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,16.86,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,44.74,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,1.76,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

7,01:30-01:45,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,16.86,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,44.74,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,1.76,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

8,01:45-02:00,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,0,458.51,0,0,0,16.86,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,44.74,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,1.76,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

9,02:00-02:15,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,10.93,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0,0,85.35,20,0,0,0,0,0,0,19.56,39.62,0,21.63,27.67,74.38

10,02:15-02:30,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,10.93,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,48.74,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

11,02:30-02:45,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,10.93,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

12,02:45-03:00,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,39.63,23.3,10.93,458.51,0,0,0,4.29,70.88,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

13,03:00-03:15,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,38.05,23.3,10.93,458.51,0,0,0,4.29,53.45,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

14,03:15-03:30,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,38.05,23.3,10.93,458.51,0,0,0,4.29,53.45,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

15,03:30-03:45,0,45.53,0,0,35.14,130.75,2.68,0,2.28,0,0,0,0,48.02,38.05,23.3,10.93,458.51,0,0,0,16.86,53.45,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

16,03:45-04:00,0,45.53,0,0,35.14,130.75,2.68,12.74,2.28,0,0,0,0,48.02,38.05,23.3,10.93,458.51,0,0,0,16.86,53.45,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

17,04:00-04:15,0,45.53,0,0,35.14,130.75,2.68,12.98,2.28,0,0,0,0,48.02,38.05,23.3,10.93,458.51,0,0,0,4.29,53.45,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

18,04:15-04:30,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,23.3,10.93,458.51,0,0,0,4.29,53.45,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

19,04:30-04:45,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

20,04:45-05:00,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,32.49,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

21,05:00-05:15,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,458.51,0,0,0,16.86,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.18,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

22,05:15-05:30,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,458.51,0,0,0,16.86,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

23,05:30-05:45,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

24,05:45-06:00,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

25,06:00-06:15,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,49.68,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

26,06:15-06:30,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,49.68,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.44,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,6.27,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

27,06:30-06:45,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,49.68,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.18,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,3.07,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

28,06:45-07:00,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,49.68,38.05,11.65,10.93,458.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.18,0,8.56,0,0,43.28,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,3.07,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

29,07:00-07:15,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,428.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.18,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

30,07:15-07:30,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,408.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.18,0,8.56,0,0,46.48,0,1,20.27,0,688.87,15.29,0,10.41,0,2.18,18.88,0,0.51,0,85.35,20,0,0,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

31,07:30-07:45,0,45.53,0,0,35.14,130.75,2.68,25.47,2.28,0,0,0,0,48.02,38.05,11.65,10.93,408.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.18,0,8.56,0,0,46.48,0,1,20.77,0,688.87,15.29,0,10.41,0,2.18,18.88,0,1.79,0,85.35,20,0,5,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

32,07:45-08:00,0,45.53,0,0,35.14,130.75,2.68,12.81,3.18,0,0,0,0,48.02,38.05,11.65,10.93,600.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,53.18,0,8.56,0,0,46.48,0,1,20.77,0,688.87,15.29,0,10.41,0,2.18,18.88,0,1.79,0,85.35,20,0,5,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

33,08:00-08:15,0,45.53,0,0,35.14,130.75,2.68,0,3.18,0,0,0,0,48.02,38.05,0,10.93,600.51,0,0,0,4.29,39.51,418.77,150.25,0,42.15,16.25,0,148.3,50.94,55.26,0,124.53,0,0,0,52.92,0,8.56,0,0,46.48,0,1,20.77,0,688.87,15.99,0,10.41,0,2.18,18.88,0,1.79,0,85.35,20,0,3.82,0,0,0,0,13.04,39.62,0,21.63,27.67,74.38

