Block,Time,KGSU3AND4,KKNP,KOLDAM,NLCEXP,NLCTS2EXP,RSTPSU1TO6,RSTPSU7,SIMHST1,UNCHAHAR1,AURY_CRF,DADRI_GF,BRBCL,KHSTPP-I,KOTESHWR,NAPP,NJPC,RAMPUR,SALAL,TALST2,UNCHAHAR2,UNCHAHAR4,NLCIIST1,NTPL,SIMHST2,SINGRAULI_HYDRO,TALA,AURY_GF,DADRI_CRF,CHAMERA1,CHAMERA3,KISHANGANGA,NNTPP,SASAN,SEWA2,TEHRI,ANTA_GF,DHAULIGNGA,RIHAND1,URI2,VALLURNTECL,DADRI_LF,BSIUL,KGSU1AND2,NLCIIST2,RIHAND2,SINGRAULI,TANAKPUR,TelanganaSTPP,DADRI_RF,CHAMERA2,DULHASTI,FSTPP I & II,JHAJJAR,KUDGI,MAPS,RAPPB,RAPPC,RIHAND3,UNCHAHAR3,URI,ANTA_LF,ANTA_RF,AURY_LF,AURY_RF,DADRT2,KHSTPP-II,KKNPPU2,PARBATI3,TANDA2,ANTA_CRF
1,00:00-00:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,139.68,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,35.33,0,42.84,0,70.37,683.14,144.77,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,139.68,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,35.33,0,42.84,0,70.37,683.14,144.77,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,10.25,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,10.25,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,10.25,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,10.25,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,10.25,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,13.95,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,69.72,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,69.72,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,69.72,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,69.72,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

20,04:45-05:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,23.39,0,13.36,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

21,05:00-05:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,46.78,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,14.93,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,35.33,0,42.84,0,70.37,683.14,144.77,0,0,0,0

22,05:15-05:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,70.17,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,30.87,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,35.33,0,42.84,0,70.37,683.14,144.77,0,0,0,0

23,05:30-05:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,93.56,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,30.87,0,9.13,92,4.57,0,22.47,0,0,0,118.76,133.5,5.13,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

24,05:45-06:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,116.95,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,9.68,0,0,418.77,0,46.31,0,18.27,92,4.57,0,22.47,1.1,0,0,118.76,133.5,5.13,0,66.85,3.73,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,0,0,0

25,06:00-06:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,116.95,0,2.33,0,21.19,0,0,0,0,0,0,0,0,11.85,19.36,0,0,418.77,0,62.24,0,27.4,92,4.57,0,22.47,3.3,0,0,118.76,133.5,5.13,0,66.85,8,32.96,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,3.82,0,0

26,06:15-06:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,19.72,41.65,140.34,0,2.33,0,21.19,0,0,0,0,0,0,0,0,28.05,29.06,0,0,418.77,5.27,62.24,0,36.55,92,4.57,0,22.47,19.56,0,0,118.76,133.5,5.13,0,66.85,39.51,49.43,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,16.55,0,0

27,06:30-06:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,19.72,41.65,140.34,0,2.33,0,21.19,0,0,0,0,0,0,0,0,42.1,29.06,0,0,418.77,10.54,62.24,0,36.55,92,4.57,0,22.47,19.56,0,0,118.76,133.5,5.13,0,66.85,39.51,49.43,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,16.55,0,0

28,06:45-07:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,19.72,41.65,140.34,0,2.33,0,21.19,0,0,0,0,0,0,0,0,42.1,29.06,0,0,418.77,10.54,62.24,0,36.55,92,4.57,0,22.47,19.56,0,0,118.76,133.5,5.13,0,66.85,39.51,49.43,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,16.55,0,0

29,07:00-07:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,19.72,41.65,140.34,0,2.33,0,21.19,0,0,0,0,0,0,0,0,39.5,29.06,0,0,418.77,10.54,62.24,0,36.55,92,4.57,0,22.47,19.56,0,0,118.76,133.5,5.13,0,66.85,39.51,49.43,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,16.55,0,0

30,07:15-07:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,19.72,41.65,140.34,0,2.33,0,21.19,0,0,0,0,0,0,0,0,28.05,29.06,0,0,418.77,5.27,62.24,0,36.55,92,4.57,0,22.47,19.56,0,0,118.76,133.5,5.13,0,66.85,39.51,49.43,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.84,0,70.37,683.14,144.77,0,16.55,0,0

31,07:30-07:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,116.95,0,2.33,0,21.19,0,0,0,0,0,0,0,0,11.85,19.36,0,0,418.77,0,46.31,0,27.4,92,4.57,0,22.47,2.2,0,0,118.76,133.5,4.48,0,66.85,4,32.96,20.8,436.2,0,0,0,52.41,124.32,26.39,35.33,0,42.84,0,70.37,683.14,144.77,0,16.55,0,0

32,07:45-08:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,93.56,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,9.68,0,0,418.77,0,30.87,0,18.27,92,4.57,0,22.47,0,0,0,118.76,133.5,4.48,0,66.85,1.6,32.96,20.8,436.2,0,0,0,52.41,124.32,26.39,35.33,0,42.84,0,70.37,683.14,144.77,0,3.56,0,0

33,08:00-08:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,70.17,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,9.68,0,0,418.77,0,14.93,0,9.13,92,4.57,0,22.47,0,0,0,118.76,133.5,4.48,0,66.85,1.6,32.96,20.8,436.2,0,0,0,52.41,124.32,26.39,1.33,0,42.63,0,70.37,683.14,144.77,0,0,0,0

34,08:15-08:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,40.25,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,9.68,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,4.48,0,66.85,1.6,16.48,20.8,436.2,0,0,0,52.41,124.32,26.39,0.66,0,42.63,0,70.37,683.14,144.77,0,0,0,0

35,08:30-08:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,23.39,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,9.68,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,4.48,0,66.85,1.6,16.48,20.8,462,0,0,0,52.41,124.32,26.39,0.66,0,42.63,0,70.37,683.14,144.77,0,0,0,0

36,08:45-09:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,9.68,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,133.5,4.48,0,66.85,1.6,16.48,20.8,462,0,0,0,52.41,124.32,26.39,0.66,0,42.63,0,70.37,683.14,144.77,0,0,0,0

37,09:00-09:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,125.97,4.48,0,66.85,1.6,16.48,20.8,473.55,0,0,0,52.41,124.32,26.39,0.66,0,42.42,0,70.37,683.14,144.77,0,0,0,0

38,09:15-09:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,125.97,4.48,0,66.85,1.6,16.48,20.8,473.55,0,0,0,52.41,124.32,26.39,0.66,0,42.42,0,70.37,683.14,144.77,0,0,0,0

39,09:30-09:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,125.97,10.25,0,66.85,1.6,16.48,20.8,429.66,0,0,0,52.41,124.32,26.39,35.33,0,42.42,0,70.37,683.14,144.77,0,0,0,0

40,09:45-10:00,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,4.57,0,22.47,0,0,0,118.76,125.97,10.25,0,66.85,1.6,16.48,20.8,429.66,0,0,0,52.41,124.32,26.39,35.33,0,42.42,0,70.37,683.14,144.77,0,0,0,0

41,10:00-10:15,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,10.76,0,22.47,0,0,0,118.76,125.97,4.48,0,66.85,1.6,16.48,20.8,429.66,0,0,0,52.41,124.32,26.39,3.86,0,42,0,70.37,683.14,144.77,0,0,0,0

42,10:15-10:30,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,10.76,0,22.47,0,0,0,118.76,125.97,4.48,0,66.85,1.6,16.48,20.8,429.66,0,0,0,52.41,124.32,26.39,0.88,0,42,0,70.37,683.14,144.77,0,0,0,0

43,10:30-10:45,0,0,0,0,0,0,0,0,20.56,0,0,20,41.89,8.87,41.65,0,0,2.33,0,21.19,0,0,0,0,0,0,0,0,0,0,0,0,418.77,0,0,0,0,92,10.76,0,22.47,0,0,0,118.76,125.97,4.48,0,66.85,1.6,16.48,20.8,429.66,0,0,0,52.41,124.32,26.39,0.88,0,42,0,70.37,683.14,144.77,0,0,0,0

