Block,Time,DHAULIGNGA,DADRI_RF,ANTA_RF,ANTA_LF,NAPP,RAMPUR,KOLDAM,TANAKPUR,CHAMERA1,RIHAND3,CHAMERA3,AURY_GF,AURY_LF,SEWA2,PARBATI3,DADRI_GF,KISHANGANGA,SINGRAULI_HYDRO,NJPC,DADRT2,AURY_RF,ANTA_CRF,URI2,UNCHAHAR3,RAPPC,RIHAND2,DADRI_LF,RIHAND1,SALAL,JHAJJAR,URI,CHAMERA2,UNCHAHAR4,ANTA_GF,AURY_CRF,SINGRAULI,DULHASTI,UNCHAHAR1,TANDA2,KOTESHWR,BSIUL,RAPPB,TEHRI,DADRI_CRF,UNCHAHAR2,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,50.090865,0.907221,0.000000,0.618531,13.503383,60.876730,22.401763,0.000000,0.000000,18.155756,0.000000,0.000000,5.305275,0.752926,23.674144,665.092990,0.000000,0.000000,33.949023,26.690964,32.748337,120.113766,0.000000,93.726924,74.061464,251.668663,34.116250,46.836284,2.984013,0.000000,0.000000,144.844329,19.048563,4.002578,5.174307,10.019445,0.000000,0.000000,23.546162,0.000000,43.366328,20.086560,44.807592,0.000000,19.314039,404.406189,142.603181,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,50.090865,0.907221,0.000000,0.618531,13.503383,60.876730,22.401763,0.000000,0.000000,18.155756,0.000000,0.000000,5.305275,0.752926,23.674144,665.092990,0.000000,0.000000,33.949023,26.690964,32.748337,120.113766,0.000000,93.726924,74.061464,399.582310,34.116250,46.836284,2.984013,0.000000,0.000000,144.844329,19.048563,5.129733,5.174307,10.019445,0.000000,0.000000,23.546162,0.000000,43.366328,20.086560,44.807592,0.000000,19.314039,404.406189,142.603181,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,50.090865,0.907221,0.000000,0.618531,13.503383,60.876730,22.401763,0.000000,0.000000,18.155756,0.000000,0.000000,5.305275,0.752926,23.674144,665.092990,0.000000,0.000000,33.949023,26.690964,32.748337,120.113766,0.000000,93.726924,76.653616,560.975723,34.116250,46.836284,2.984013,0.000000,0.000000,144.844329,19.048563,5.146172,5.174307,10.019445,0.000000,0.000000,23.546162,0.000000,43.366328,20.086560,44.807592,0.000000,16.623639,404.406189,142.603181,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,50.090865,0.907221,0.000000,0.618531,13.503383,60.876730,22.401763,0.000000,0.000000,18.155756,0.000000,0.000000,5.305275,0.752926,23.674144,665.092990,0.000000,0.000000,33.949023,26.690964,32.748337,120.113766,0.000000,93.726924,76.653616,451.437926,34.116250,46.836284,2.984013,0.000000,0.000000,144.844329,19.048563,5.779437,5.174307,10.019445,0.000000,0.000000,23.546162,0.000000,43.366328,20.086560,44.807592,0.000000,13.223780,404.406189,142.603181,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,50.090865,0.907221,0.000000,0.618531,13.503383,60.876730,22.401763,0.000000,0.000000,18.155756,0.000000,0.000000,5.305275,0.752926,23.674144,665.092990,0.000000,0.000000,33.949023,26.690964,32.748337,120.113766,0.000000,93.726924,76.653616,444.866798,12.793594,46.836284,2.984013,0.000000,0.000000,144.844329,19.048563,6.273363,5.174307,20.038889,0.000000,0.000000,23.546162,0.000000,43.366328,20.086560,44.807592,0.000000,13.620009,404.406189,142.603181,0,0,0,0,0

