Time,Block,NR/2023/15635/C,NR/2023/12053/A,NR/2023/14745/A,NR/2023/15309/F,NR/2023/15402/F,NR/2023/15627/C,NR/2023/15057/F,NR/2023/12052/A,NR/2023/12592/A,NR/2023/12347/A,NR/2023/14737/A,NR/2023/12167/A,NR/2023/13862/A,NR/2023/15306/F,NR/2023/14895/A,NR/2023/12591/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/14746/A,NR/2023/15303/F,NR/2023/14898/A,NR/2023/12422/A,NR/2023/15637/C,NR/2023/13635/A,NR/2023/15623/D,ER/2023/9633/C,NR/2023/15640/C,NR/2023/15296/F,NR/2023/15304/F,NR/2023/15624/D,NR/2023/12168/A,NR/2023/15412/F,NR/2023/15619/D,Total
,,SJVNL,KEIPL,APPCPL,IEXL,SJVNL,GBHHPL,ITCLH,KEIPL,NVVNL,STATKRAFT,NVVNL,APPCPL,MANIKARAN,BSHP,MANIKARAN,NVVNL,TPTCL,GMRETL,APPCPL,BSHP,MANIKARAN,APPCPL,HPXL,NVVNL,KEIPL,HPXL,TPDDL,BSHP,BSHP,KEIPL,APPCPL,NVVNL,NVVNL,Total

,,NA,MEGHALAYA,GOA,JAMMU AND KASHMIR,UTTAR PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,MEGHALAYA,NA,TAMIL NADU,NA,MEGHALAYA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,UTTARAKHAND,NA,NA,
,,DIKCHU,Meghalaya_Ben,GOA_Beneficiary,SAPU1234,BCMLB001,GBHHPL,ITCWIND,Meghalaya_Ben,JPNIGRIE_JNSTPP,TANGEDCO,SKS Raigarh,Meghalaya_Ben,TANGEDCO,BSHP,HP,JPNIGRIE_JNSTPP,JPL-2,Meghalaya_Ben,HP,BSHP,HP,HP,Teesta_III,KAMENG,LMEL MSEB,BYPL,CHANJUII,BSHP,BSHP,LAPL-UP,UTTARAKHAND,KAMENG,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BYPL,BRPL,MES (Delhi),NDMC,DIAPL,ITCLH,BYPL,BRPL,BYPL,NDMC,BYPL,BRPL,BMDRC,BRPL,BRPL,BRPL,BYPL,BRPL,MAX-HPTL,BRPL,BYPL,BRPL,BRPL,BYPL,VLSEZ,TPDDL,JHPL-DL,MHIL,BYPL,BYPL,TPDDL,MES (Delhi),
,,East-North,North East-East-North,West-North,North-North,North-North,North-North,South-West-North,North East-East-North,West-North,South-West-North,West-North,North East-East-North,South-East-North,North-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,East-North,North East-East-North,West-North,North-East,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,
1,00:00-00:15,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.870000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,218.430000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1365.94

2,00:15-00:30,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.870000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,189.430000,21.260000,13.530000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1350.47

3,00:30-00:45,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.870000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,157.540000,21.260000,18.360000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1323.41

4,00:45-01:00,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.870000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,124.680000,21.260000,18.360000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1290.55

5,01:00-01:15,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.680000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,55.090000,21.260000,18.360000,0.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1259.43

6,01:15-01:30,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.680000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,18.360000,21.260000,18.360000,0.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1222.7

7,01:30-01:45,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.680000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,0.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1204.34

8,01:45-02:00,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.680000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,0.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1204.34

9,02:00-02:15,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.580000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1254.24

