Block,Time Block,DADRI_LF,DADRI_RF,DADRI_CRF,AURY_CRF,AURY_RF,AURY_LF,DADRI_GF,AURY_GF,SINGRAULI_HYDRO,TALA,URI2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,ANTA_GF,ANTA_CRF,ANTA_RF,ANTA_LF,PARBATI2,RSTPSU1TO6,RAPPC,RSTPSU7,SALAL,RIHAND3,RAPPB,SEWA2,RAMPUR,RIHAND2,SASAN,PARBATI3,RIHAND1,SINGRAULI,SIMHST1,SIMHST2,NLCTS2EXP,NNTPP,NTPL,DULHASTI,FSTPP I & II,KGSU1AND2,JHAJJAR,KOLDAM,NLCIIST1,NJPC,MAPS,NLCIIST2,NAPP,NLCEXP,DADRT2,DHAULIGNGA,KOTESHWR,KUDGI,CHAMERA3,CHAMERA1,CHAMERA2,BRBCL,BSIUL,KHSTPP-I,KGSU3AND4,KISHANGANGA,KKNPPU2,KHSTPP-II,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,0,0,41.16,34.51,25.12,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,68.18,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,649.3,0,10.01,0,11.21,0,15.63,18.21,6.27,44.03,0,5.42,0,141.21,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,0,0,41.16,34.51,12.56,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,68.18,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,649.3,0,10.01,0,11.21,0,15.63,15.69,6.27,44.03,0,5.42,0,141.21,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,0,0,41.16,34.51,0,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,68.18,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,649.59,0,10.01,0,11.21,0,15.63,13.77,6.27,44.03,0,5.42,0,141.21,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,0,0,41.16,34.51,0,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,68.18,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,594,0,10.01,0,11.21,0,15.63,13.51,6.27,44.03,0,5.42,0,141.21,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,0,0,41.16,34.51,0,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,68.18,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,545.91,0,10.01,0,11.21,0,15.63,13.35,6.27,44.03,0,8.13,0,141.21,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,0,0,41.16,34.51,0,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,68.18,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,497.81,0,10.01,0,11.21,0,15.63,11.71,6.27,44.03,0,8.13,0,141.21,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,6.03,0,41.16,34.51,0,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,25.71,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,497.81,0,10.01,0,11.21,0,15.63,10.78,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,6.03,0,41.16,34.51,0,19.9,0,1.37,3,0,0,0,0,0,0,66.47,0,25.71,122.44,0,0,0,115.97,402.81,0,90.29,127.65,0,0,0,0,0,19.06,13.12,0,500.39,0,0,0,0,0,49.88,0,497.81,0,10.01,0,0,0,15.63,10.84,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,6.03,0,42.1,34.51,0,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,402.81,0,91.08,124.27,0,0,0,0,0,19.06,13.12,0,413.82,0,0,0,0,0,49.88,0,432.05,0,10.01,0,0,0,15.63,11.45,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0.9,0,38.12,25.62,0,6.03,0,42.1,34.51,0,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,402.81,0,91.08,124.27,0,0,0,0,0,19.06,13.12,0,327.25,0,0,0,0,0,49.88,0,432.05,0,10.01,0,0,0,15.63,10.65,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0.9,0,38.12,20.71,0,6.03,0,33.54,34.51,0,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,333.3,0,91.08,124.27,0,0,0,0,0,19.06,13.12,0,248.37,0,0,0,0,0,49.88,0,432.05,0,10.01,0,0,0,15.63,11.74,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0.9,0,38.12,20.71,0,6.03,0,33.54,34.51,0,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,333.3,0,91.08,124.27,0,0,0,0,0,19.06,13.12,0,248.37,0,0,0,0,0,49.88,0,432.05,0,10.01,0,0,0,15.63,14.11,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,6.03,0,33.54,34.51,0,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,333.3,0,91.08,124.27,0,0,0,0,0,19.06,13.12,0,218.45,0,0,0,0,0,49.88,0,432.05,0,10.01,0,0,0,0,13.45,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,6.03,0,33.54,34.51,0,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,333.3,0,91.08,124.27,0,0,0,0,0,19.06,13.12,0,218.45,0,0,0,0,0,49.88,0,432.05,0,10.01,0,0,0,0,12.93,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,0,0,33.54,34.51,0,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,333.3,0,91.08,134.06,0,0,0,0,0,19.06,13.12,0,218.45,0,0,0,0,0,49.88,0,361.82,0,10.01,0,0,0,0,16.11,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,0,0,33.54,34.51,12.56,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,218.45,0,0,0,0,0,49.88,0,361.82,0,10.01,0,0,0,0,16.23,12.54,44.03,0,8.13,0,141.21,0,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,0,0,33.54,34.51,12.56,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,25.71,123.7,0,0,0,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,218.45,0,0,0,0,0,49.88,0,361.82,0,10.01,0,0,0,0,17.06,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,0,0,33.54,34.51,25.12,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,36.89,123.7,0,0,0,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,218.45,0,0,0,0,0,49.88,0,361.82,0,10.01,0,0,0,0,18.96,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,0,0,33.54,34.51,25.12,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,68.18,123.7,0,18.16,0,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,248.37,0,0,0,0,0,49.88,0,387.79,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

20,04:45-05:00,0,0,0,0,0,0,0,0,0.9,0,36.6,20.71,0,0,0,33.54,34.51,25.12,15.89,0,1.75,3,0,0,0,0,0,0,66.47,0,68.18,123.7,0,18.16,1.05,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,232.98,0,0,26.58,0,0,49.88,0,432.05,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

21,05:00-05:15,0,0,0,0,0,0,0,0,0.9,0,36.6,25.62,0,0,0,42.1,34.51,25.12,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,68.18,123.7,0,18.16,2.1,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,232.98,0,0,53.15,0,0,49.88,0,432.05,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

22,05:15-05:30,0,0,0,0,0,0,0,0,0.9,0,36.6,25.62,0,0,0,42.1,34.51,25.12,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,68.18,123.7,0,18.16,2.1,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,311.86,0,0,53.15,0,0,49.88,0,475.33,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

23,05:30-05:45,0,0,0,0,0,0,0,0,0.9,0,36.6,25.62,0,0,0,42.1,34.51,25.12,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,68.18,123.7,0,18.16,2.1,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,398.43,0,0,53.15,0,0,49.88,0,480.14,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

24,05:45-06:00,0,0,0,0,0,0,0,0,0.9,0,36.6,25.62,0,0,0,42.1,34.51,25.12,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,68.18,123.7,0,18.16,2.1,116.51,333.3,0,91.08,134.28,0,0,0,0,0,19.06,13.12,0,481.03,0,0,53.15,0,0,49.88,0,499.38,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

25,06:00-06:15,0,0,0,0,0,0,0,0,0.9,0,36.6,25.62,0,0,0,42.1,38.24,25.12,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,38.56,123.7,0,18.16,2.1,116.51,333.3,0,91.08,134.28,0,0,0,0,0,38.11,13.12,0,481.03,0,0,53.15,0,0,49.88,0,490.17,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

26,06:15-06:30,0,0,0,0,0,0,0,0,0.9,0,36.6,25.62,0,0,0,42.1,38.24,25.12,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,38.56,123.7,0,18.16,2.1,116.51,333.3,0,91.08,134.28,0,0,0,0,0,38.11,13.12,0,477.18,0,0,53.15,0,0,49.88,0,513.3,0,10.01,0,0,0,0,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

27,06:30-06:45,0,0,0,0,0,0,0,0,0.9,0,36.6,25.62,0,0,0,42.1,38.24,25.12,19.9,0,1.75,3,0,0,0,0,0,0,66.47,0,38.56,123.7,0,18.16,2.1,116.51,333.3,0,91.08,134.28,0,0,0,0,0,38.11,13.12,0,450.46,0,0,53.15,0,0,49.88,0,513.3,0,10.01,0,11.36,0,3.95,19.24,18.81,44.03,0,8.13,0,141.21,0,0,0,0,0,0

