Block,Time,BSIUL,CHAMERA2,CHAMERA3,CHAMERA1,URI,URI2,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,TANDA2,KOTESHWR,NAPP,PARBATI3,RAPPB,RAPPC,RIHAND2,SINGRAULI,DADRT2,DHAULIGNGA,DULHASTI,JHAJJAR,KOLDAM,RAMPUR,RIHAND3,SALAL,RIHAND1,NJPC,SEWA2,KISHANGANGA,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,13.0416,39.51012,29.062808,42.66,44.16,32.41932,0.87998,13.1943,67.536,19.414,40.8435,26.39091,0,0,35.496,38.7684,0,0,52.029,118.125,103.96875,686.779958,36.5917,49.436556,653.1525,0,0,123.665625,85.988,92,153.6034,15.804048,0,0,59.73,0,0,0,80.008,0,0,0,33.6,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.171,98.34375,25.578,10.0009,11.398,348.975

2,00:15-00:30,13.0416,39.51012,29.062808,42.66,44.16,32.41932,0.87998,13.1943,67.536,19.414,40.8435,26.39091,0,0,35.496,38.7684,0,0,52.029,118.125,103.96875,686.779958,36.5917,49.436556,653.1525,0,0,123.665625,85.988,92,153.6034,15.804048,0,0,59.73,0,0,0,80.008,0,0,0,33.6,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.171,98.34375,25.578,10.0009,11.398,348.975

3,00:30-00:45,13.0416,39.51012,29.062808,42.66,44.16,31.6122,0.87998,13.1943,67.536,19.414,40.8435,26.39091,0,0,35.496,38.7684,0,0,52.029,118.125,103.96875,686.779958,36.5917,49.436556,653.1525,0,0,123.665625,85.988,92,153.6034,10.5307,0,0,59.73,0,0,0,80.008,0,0,0,33.6,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.171,98.34375,24.99,10.0009,11.398,371.25

4,00:45-01:00,13.0416,39.51012,29.062808,42.66,44.16,31.6122,0.87998,13.1943,67.536,19.414,40.8435,26.39091,0,0,35.496,38.7684,0,0,52.029,118.125,103.96875,686.779958,36.5917,49.436556,653.1525,0,0,123.665625,85.988,92,153.6034,10.5307,0,0,59.73,0,0,0,80.008,0,0,0,33.6,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.171,98.34375,24.99,10.0009,11.398,376.875

5,01:00-01:15,13.0416,39.51012,29.062808,42.66,44.16,31.6122,0.87998,13.1943,67.536,19.414,40.8435,26.39091,0,0,35.496,38.7684,0,0,52.029,118.125,103.96875,686.779958,36.5917,49.436556,653.1525,0,0,123.665625,85.988,92,153.6034,10.55736,0,0,59.73,0,0,0,80.008,0,0,0,33.6,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.171,98.34375,24.99,10.0009,10.703,382.5

6,01:15-01:30,13.0416,39.51012,29.062808,42.66,44.16,31.6122,0.87998,13.1943,67.536,19.414,40.8435,26.39091,0,0,35.496,38.7684,0,0,52.029,118.125,103.96875,686.779958,36.5917,49.436556,653.1525,0,0,123.665625,85.988,92,153.6034,10.55736,0,0,59.73,0,0,0,80.008,0,0,0,33.6,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.171,98.34375,24.99,10.0009,10.703,388.125

7,01:30-01:45,13.0416,39.51012,29.062808,42.66,44.16,31.6122,0.87998,13.1943,67.536,19.414,40.8435,26.39091,0,0,35.496,38.7684,0,0,52.029,118.125,103.96875,686.779958,36.5917,49.436556,653.1525,0,0,123.665625,85.988,92,153.6034,10.55736,0,0,59.73,0,0,0,80.008,0,0,0,33.6,0,0,0,0,0,0,0,0,0,86.72,0,0,0,0,0,0,0,0,0,0,32.171,98.34375,24.99,10.0009,10.703,393.75

