Block,Time Block,BSIUL,BRBCL,CHAMERA3,DADRT2,CHAMERA2,CHAMERA1,DADRI_LF,DADRI_RF,RIHAND2,NLCIIST1,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,RSTPSU7,NTPL,RSTPSU1TO6,PARBATI3,RIHAND3,RAPPB,SASAN,TALST2,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALA,TEHRI,SALAL,SEWA2,SINGRAULI,UNCHAHAR1,TANDA2,DADRI_GF,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,ANTA_GF,UNCHAHAR2,AURY_CRF,URI,ANTA_CRF,AURY_RF,VALLURNTECL,ANTA_RF,UNCHAHAR4,AURY_LF,KKNPPU2,KUDGI,KOLDAM,NJPC,KISHANGANGA,MAPS,NAPP,KOTESHWR,KKNP,NLCEXP,KHSTPP-I,KHSTPP-II,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.57,19.27,0,606.79,0,0,0,0,114.45,0,0,88.66,0,0,0,49.53,0,0,0,0,119.82,0,403.57,0,0,0,0,0.68,0,0,0,25.76,0,100.36,20.09,0,0,32.02,0,25.35,0,0,0,40.85,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,41.06,6.18,0,0,44.17,142.43,0,0,0,15.41,15.88,535.34,0,0,0,0,0

2,00:15-00:30,12.57,16.52,0,604.02,0,0,0,0,114.45,0,0,88.66,0,0,0,49.53,0,0,0,0,119.82,0,403.57,0,0,0,0,0.68,0,0,0,68.31,0,100.37,20.09,0,0,32.02,0,25.35,0,0,0,40.85,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,41.06,6.18,0,0,44.17,142.43,0,0,0,15.41,15.88,535.34,0,0,0,0,0

3,00:30-00:45,12.57,14.21,0,593.46,0,0,0,0,114.45,0,0,88.66,0,0,0,49.53,0,0,0,0,119.82,0,403.57,0,0,0,0,0.68,0,0,0,68.31,0,100.37,20.09,0,0,32.02,0,25.35,0,0,0,40.85,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,41.06,6.18,0,0,44.17,142.43,0,0,0,15.41,15.88,535.34,0,0,0,0,0

4,00:45-01:00,12.57,12.58,0,593.31,0,0,0,0,114.45,0,0,88.66,0,0,0,49.53,0,0,0,0,119.82,0,403.57,0,0,0,0,0.68,0,0,0,68.31,0,100.37,20.09,0,0,32.02,0,25.35,0,0,0,40.85,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,41.06,6.18,0,0,44.17,142.43,0,0,0,15.41,15.88,535.34,0,0,0,0,0

5,01:00-01:15,12.57,12.25,0,576.21,0,0,0,0,114.45,0,0,88.66,0,0,0,49.53,0,0,0,0,119.82,0,403.57,0,0,0,0,0.68,0,0,0,68.31,0,100.37,20.09,0,0,32.02,0,25.35,0,0,0,40.85,0,33.52,0,0,0,0,0,0,0,0,0,0,0,0,41.06,6.18,0,0,44.17,142.43,0,0,0,15.41,15.88,535.34,0,0,0,0,0

