Block,Time,FSTPP I & II,KHSTPP-II,KOLDAM,NJPC,NNTPP,RIHAND1,SEWA2,TALA,UNCHAHAR4,ANTA_CRF,AURY_CRF,BSIUL,KGSU3AND4,KOTESHWR,NTPL,PARBATI3,RAMPUR,UNCHAHAR3,VALLURNTECL,AURY_RF,DADRI_CRF,CHAMERA3,DHAULIGNGA,KGSU1AND2,KISHANGANGA,NLCIIST1,RIHAND2,RSTPSU7,UNCHAHAR1,DULHASTI,KUDGI,NAPP,TANDA2,DADRI_GF,BRBCL,CHAMERA2,MAPS,NLCEXP,NLCTS2EXP,RAPPB,RIHAND3,SASAN,URI,CHAMERA1,JHAJJAR,NLCIIST2,TALST2,TANAKPUR,TEHRI,TelanganaSTPP,DADRI_LF,KKNP,RSTPSU1TO6,SALAL,UNCHAHAR2,URI2,ANTA_RF,AURY_LF,DADRT2,KHSTPP-I,KKNPPU2,RAPPC,SIMHST1,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,ANTA_GF,ANTA_LF,AURY_GF,DADRI_RF
1,00:00-00:15,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,0.88,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

2,00:15-00:30,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,0.88,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

3,00:30-00:45,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.11,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

4,00:45-01:00,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.11,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

5,01:00-01:15,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.11,0,654.3,0,0,5.76,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

6,01:15-01:30,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.11,0,654.3,0,0,5.76,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

7,01:30-01:45,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.11,0,654.3,0,0,5.76,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

8,01:45-02:00,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.11,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

9,02:00-02:15,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

10,02:15-02:30,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

11,02:30-02:45,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,44.83,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

12,02:45-03:00,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,45.05,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

13,03:00-03:15,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,45.05,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

14,03:15-03:30,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,9.29,42.39,4.31,45.05,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

15,03:30-03:45,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,41.83,42.39,4.31,45.05,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

16,03:45-04:00,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,1.54,0,654.3,0,0,0,0,0,23.57,0,0,41.83,42.39,4.31,45.05,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

17,04:00-04:15,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,0,0,23.57,0,0,41.83,42.39,4.31,45.05,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

18,04:15-04:30,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,0,0,23.57,0,0,41.83,42.39,4.31,45.05,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

19,04:30-04:45,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,0,0,23.57,0,0,41.83,42.39,4.31,45.25,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

20,04:45-05:00,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,0,0,23.57,0,0,41.83,42.39,4.31,45.25,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

21,05:00-05:15,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,0,0,23.57,0,0,9.29,42.39,4.31,45.25,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

22,05:15-05:30,15.99,148.3,0,0,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,0,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,45.25,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

23,05:30-05:45,15.99,148.3,0,20.83,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,16.48,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,0,0,23.57,0,0,2.33,42.39,4.31,45.25,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

24,05:45-06:00,15.99,148.3,0,46.41,0,92,0,0,0,0,0,0,0,8.88,0,0,0,26.39,0,71.46,2.19,0,0,0,0,0,118.75,0,20.56,16.48,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,15.56,0,23.57,0,0,2.33,42.39,4.31,45.25,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

25,06:00-06:15,14.47,148.3,0,70.17,0,92,0,0,0,0,0,0,0,8.88,0,3.82,0,26.39,0,70.59,2.19,0,9.14,0,0,0,118.75,0,20.56,16.48,0,44.53,0,0,20,0,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,15.56,0,23.57,0,0,2.33,42.39,4.31,45.25,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

26,06:15-06:30,14.47,148.3,0,70.17,0,92,0,0,0,0,0,0,0,8.88,0,16.55,0,26.39,0,70.59,2.19,0,18.27,0,0,0,118.75,0,20.56,32.95,0,44.53,0,0,20,2.67,0,0,0,0,124.32,418.77,2.21,0,654.3,0,0,0,31.12,0,23.57,0,0,2.33,42.39,4.31,45.47,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

27,06:30-06:45,14.47,148.3,0,93.56,0,92,0,0,0,0,0,1.1,0,8.88,0,16.55,0,26.39,0,70.59,2.19,9.67,27.41,0,0,0,118.75,0,20.56,32.95,0,44.53,0,0,20,8,0,0,0,0,124.32,418.77,26.49,12.01,654.3,0,0,0,46.68,0,23.57,0,0,2.33,42.39,4.31,45.47,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

28,06:45-07:00,14.47,148.3,0,93.56,0,92,0,0,0,0,0,13.04,0,9.86,0,16.55,0,26.39,0,70.59,2.19,19.38,27.41,0,0,0,118.75,0,20.56,32.95,0,44.53,0,0,20,26.34,0,0,0,0,124.32,418.77,26.49,12.25,654.3,0,0,0,62.24,0,23.57,0,0,2.33,42.39,4.31,45.47,0,683.14,33.99,0,53.93,0,0,125.96,0,0,0,0,67.41

