Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,NR/30092023/31122025/SH-07,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/20/3628,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,NR/2025/28774/A/82387,NR/2025/27356/A/82505,NR/2025/26566/A/82850,NR/2025/26861/A/82799,NR/2025/29711/C,NR/2025/27176/A/82878,NR/2025/29712/C,NR/2025/26889/A/82865,NR/2025/26572/A/82852,NR/2025/27725/A/82873,NR/2025/26571/A/82851,GNARE/NR/2024/12/20/3668,NR/2025/26085/A/82353,NR/2025/27088/A/82892,NR/2025/27728/A/82871,NR/2025/26785/A/82400,NR/2025/27167/A/82840,NR/2025/26860/A/82789,NR/2025/27726/A/82872,NR/2025/27727/A/82870,NR/2025/27187/A/82876,NR/2025/26565/A/82849,NR/2025/27185/A/82877,NR/2025/29451/A/82503,NR/2025/26952/A/82398,NR/2025/27506/A/82397,NR/2025/27168/A/82841,NR/2025/26777/A/82454,NR/2025/26975/A/82879,NR/2025/29710/C,NR/2025/29648/C,NR/2025/29681/C,NR/2025/27242/A/82523,NR/2025/29702/C,NR/2025/28719/A/82450,NR/2025/29703/C,NR/2025/27281/A/82941,NR/2025/29682/C,NR/2025/29162/A/82451,NR/2025/27499/A/82864,NR/2025/29631/C,NR/2025/29674/C,NR/2025/29687/C,NR/2025/29699/C,NR/2025/27500/A/82399,NR/2025/29632/C,NR/2025/29713/C,NR/2025/27100/A/82458,NR/2025/29714/C,NR/2025/27782/A/82869,NR/2025/29568/C,NR/2025/26445/A/82896,NR/2025/27157/A/82460,NR/2025/29646/C,NR/2025/29559/C,NR/2025/29647/C,NR/2025/26562/A/82848,Total
,,DELHI,PTC,PowerPulse,MANIKARAN,NDMC,INSTINCT,NVVNL,PTC,BAWANA_GAS,APPCPL,APPCPL,MANIKARAN,PUNJAB,SIMHAPURI,APPCPL,APPCPL,KEIPL,IEXL,BRPL,PowerPulse,PowerPulse,APPCPL,APPCPL,APPCPL,HPXL,PowerPulse,APPCPL,PowerPulse,SECI_Trader,ITCLH,NVVNL,APPCPL,IEXL,PTC,BRPL,APPCPL,APPCPL,APPCPL,PowerPulse,APPCPL,BRPL,PXIL,IEXL,PTC,INSTINCT,APPCPL,APPCPL,PowerPulse,APPCPL,GMRETL,NVVNL,DIAPL,NVVNL,MANIKARAN,APPCPL,DIAPL,HPXL,PXIL,APPCPL,INSTINCT,NVVNL,IEXL,BRPL,APPCPL,IVPL_Trader,APPCPL,APPCPL,IEXL,NVVNL,KEIPL,PowerPulse,MANIKARAN,PowerPulse,PowerPulse,
,,HIMACHAL_STATE,ODISHA_STATE,NA,MP_State,NA,NA,NA,TELANGANA_State,DELHI_UT,GOA_State,NA,MSEB_State,DELHI_UT,NA,GOA_State,CSEB_State,CSEB_State,NA,NA,NA,NA,NA,MSEB_State,NA,MSEB_State,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,KERALA_State,NA,KERALA_State,NA,NA,HIMACHAL_STATE,GoHP_Rampur_STATE,NA,Manipur_State,NA,NA,KERALA_State,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,CSEB_State,MSEB_State,HIMACHAL_STATE,JK_and_LADAKH_UT,NA,Manipur_State,NA,NA,MSEB_State,NA,NA,MSEB_State,NA,NA,NA,NA,CSEB_State,NA,CSEB_State,NA,NA,
,,CHANJUII,NBVL_OTCL,COASTGEN,BLAPOWER_MP,JIPL,SIMHAPURI,JHABUA_IPP,NAVABHARAT,BAWANA_GAS,GOA_Beneficiary,DBPL,AEML,BAWANA_GAS,SIMHAPURI,GOA_Beneficiary,CSPDCL,CSPDCL,TPSL_BKN2,TS1PL_BKN,MAHAN_ENERGEN,COASTGEN,RKM_POWER,AEML,JPL2,GRETAENERGY,APL_Raigarh_TPP,SKS_Raigarh,APL_Raigarh_TPP,APSEPL_FTG,ITCWIND,ILFS,RKM_POWER,MBMP,GoHP_Chamera1,JPL2,RKM_POWER,JPL2,KSEB,MAHAN_ENERGEN,KSEB,DADRT2,MBMP,NHCPL_HP,GoHP_Rampur,JPL2,Manipur_Ben,SKS_Raigarh,APL_Raipur_TPP,KSEB,GBHHPL,SORANG_HEP,GBHHPL,Kameng,CSEB_Beneficiary,AEML,GBHHPL,O2Z,MBMP,Manipur_Ben,JPL2,ILFS,A_A_Energy_MH_Bio,JPL2,TRN_ENERGY,TPC_MSEB,RKM_POWER,TRN_ENERGY,MBMP,JPNIGRIE_JNSTPP,CSEB_Beneficiary,MAHAN_ENERGEN,CSEB_Beneficiary,APL_Raigarh_TPP,APL_Raipur_TPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,MES_Delhi,BRPL,TPDDL,BRPL,NDMC,BYPL,NDMC,BYPL,TPDDL,NDMC,TPDDL,TPDDL,ITCLH,BRPL,NDMC,NDMC,BRPL,BRPL,NDMC,NDMC,BYPL,TPDDL,BYPL,BRPL,BRPL,MES_Delhi,BRPL,BRPL,BYPL,NDMC,TPDDL,BYPL,BRPL,TPDDL,DIAPL,TPDDL,BYPL,BYPL,DIAPL,BYPL,BRPL,BYPL,BRPL,BRPL,MES_Delhi,BRPL,NDMC,BYPL,NDMC,NDMC,NDMC,TPDDL,BYPL,TPDDL,BYPL,TPDDL,TPDDL,
,,North-North,East-West-North,South-West-North,West-North,East-North,South-West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,North-North,South-East-North,West-North,West-North,West-North,North-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,West-North,South-West-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

2,00:15-00:30,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

