Column1,Block,NR/2025/26335/A/70035,NR/2025/26236/A/69881,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,NR/2025/26289/A/70377,NR/2025/26588/C,NR/2025/26336/A/70034,NR/2025/26589/C,NR/2025/26085/A/69868,NR/2025/26265/A/70378,NR/2025/26590/C,NR/2025/26232/A/70380,NR/2025/26591/C,NR/2025/26629/C,NR/2025/26200/A/70534,NR/2025/26592/C,NR/2025/26631/C,NR/2025/26593/C,NR/2025/25858/A/70338,NR/2025/26291/A/70376,NR/2025/26620/C,NR/2025/26202/A/70417,NR/2025/26312/A/69880,NR/2025/25855/A/70337,NR/2025/26191/A/69926,NR/2025/26101/A/70052,NR/2025/26625/C,NR/2025/26286/A/70032,NR/2025/26197/A/70538,NR/2025/26233/A/70379,NR/2025/26199/A/70535,NR/2025/26153/A/69882,NR/2025/26002/A/70342,NR/2025/26198/A/70536,NR/2025/26201/A/70532,GNARE/NR/2024/12/20/3668,Total
,,BRPL,IEXL,PUNJAB,DELHI,BAWANA_GAS,PXIL,PXIL,HPXL,PowerPulse,IEXL,HPXL,PXIL,HPXL,PXIL,PXIL,PowerPulse,PowerPulse,IEXL,PowerPulse,NDMC,PXIL,HPXL,HPXL,BRPL,HPXL,ITCLH,HPXL,HPXL,HPXL,HPXL,NVVNL,APPCPL,HPXL,NVVNL,IEXL,PowerPulse,HPXL,TPDDL,NVVNL,IEXL,PowerPulse,PXIL,GMRETL,NVVNL,DIAPL,APPCPL,HPXL,APPCPL,IEXL,PowerPulse,APPCPL,APPCPL,SECI_Trader,
,,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,Meghalaya_State,CSEB_State,NA,NA,JK_and_LADAKH_UT,HIMACHAL_STATE,NA,MSEB_State,ODISHA_STATE,ODISHA_STATE,NA,NA,ODISHA_STATE,NA,NA,UTTARPRADESH_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,MP_State,GEB_State,GEB_State,NA,NA,GEB_State,NA,NA,NA,MP_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,GEB_State,NA,TAMILNADU_State,NA,NA,NA,NA,
,,TS1PL_BKN,TPSL_BKN2,BAWANA_GAS,CHANJUII,BAWANA_GAS,Meghalaya_Ben,SKSIPL,JPL,MAHAN_ENERGEN,O2ZTPL,KGEPL_HP,SINGOLI,GRETAENERGY,FACORPOWER,FACORPOWER,COASTGEN,APL_Raipur_TPP,VSL,COASTGEN,JIPL,LAPL_UP,SIMHAPURI,JPL,DADRT2,SIMHAPURI,ITCWIND,JPL,Ultratech_Sidhi_MP,PCBL_PALEJ,PCBL_PALEJ,Kameng,TRN_ENERGY,PCBL_MUNDRA,SORANG_HEP,MBMP,APL_Raipur_TPP,Ultratech_Sidhi_MP,JHAJJAR,JPNIGRIE_JNSTPP,MBMP,APL_Raipur_TPP,JPNIGRIE_JNSTPP,GBHHPL,JPNIGRIE_JNSTPP,GBHHPL,SKS_Raigarh,PCBL_MUNDRA,JPL2,SURYADEV_ALLOYSTN,COASTGEN,RKM_POWER,RKM_POWER,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,MES_Delhi,PUNJAB,TPDDL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,ITCLH,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,BRPL,TPDDL,NDMC,TPDDL,BRPL,TPDDL,TPDDL,NDMC,TPDDL,BRPL,TPDDL,TPDDL,DIAPL,NDMC,BRPL,NDMC,BRPL,BRPL,NDMC,NDMC,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,East-North,East-North,South-East-North,West-North,East-North,South-East-North,East-North,North-North,South-West-North,West-North,North-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.3799999999994

2,00:15-00:30,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.3799999999994

