Time,Block,NR/2024/18388/A/3884,NR/2024/18436/A/3893,NR/2024/18445/A/4057,NER/2024/1922/A/4028,NER/2024/1934/A/4027,WR/2024/21351/A/4031,WR/2024/21355/A/4058,NR/2024/18547/C,Total
,,ITCLH,IEXL,MANIKARAN,APPCPL,APPCPL,APPCPL,MANIKARAN,NVVNL,Total

,,ANDHRA PRADESH,MAHARASHTRA,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,ITCWIND,A_A_Energy_MH_Bio,BRPL,BRPL,BYPL,BRPL,BRPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,HIMACHAL PRADESH,MANIPUR,NAGALAND,GOA,GOA,DELHI,
,,ITCLH,MES (Delhi),HP,Manipur_Ben,Nagaland_Ben,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),
,,South-West-North,West-East-North,North-North,North-East-North East,North-East-North East,North-West,North-West,West-North,
1,00:00-00:15,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

2,00:15-00:30,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

3,00:30-00:45,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

4,00:45-01:00,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

5,01:00-01:15,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

6,01:15-01:30,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

7,01:30-01:45,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

8,01:45-02:00,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

9,02:00-02:15,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

10,02:15-02:30,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

11,02:30-02:45,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

12,02:45-03:00,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

13,03:00-03:15,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

14,03:15-03:30,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

15,03:30-03:45,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

16,03:45-04:00,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

17,04:00-04:15,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

18,04:15-04:30,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

19,04:30-04:45,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

20,04:45-05:00,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

21,05:00-05:15,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

22,05:15-05:30,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

23,05:30-05:45,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

