Column1,Block,NR/2024/24604/C,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NER/2024/2820/A/47498,NR/2024/24434/A/47457,NR/2024/24606/C,NR/2024/24605/C,NR/2024/24418/A/47437,NR/2024/24507/A/47517,NR/2024/24508/A/47516,WR/2024/25501/A/47490,NR/2024/24585/C,NR/2024/24586/C,NR/2024/24435/A/47325,NR/2024/24566/A/47478,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3925,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3514,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,Total
,,SJVNL,MANIKARAN,APPCPL,APPCPL,IEXL,SJVNL,SJVNL,ITCLH,NVVNL,NVVNL,APPCPL,NVVNL,NVVNL,IEXL,IEXL,DELHI,HPXL,PUNJAB,TPTCL,IEXL,IEXL,PXIL,HPXL,BAWANA_GAS,NDMC,NDMC,IEXL,NDMC,NDMC,
,,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,UTTARPRADESH_STATE,ANDHRA_PRADESH_STATE,NA,NA,DELHI_UT,NA,NA,KARNATAKA_STATE,TELANGANA_State,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,ODISHA_STATE,NA,NA,NA,DELHI_UT,NA,NA,MP_State,NA,NA,
,,TPSL_BKN2,BRPL,BYPL,BYPL,TESPL_BKN2,RSRPL_BKN,BCMLUH,ITCWIND,JITPL,TRN_ENERGY,BRPL,TRN_ENERGY,JITPL,NSLSUGARALAND,NSLKSLWPRTY,CHANJUII,JPNIGRIE_JNSTPP,BAWANA_GAS,BYPL,NBVLIPP,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,SKS_Raigarh,BAWANA_GAS,SKS_Raigarh,JPL2,JP_BINA,RKM_POWER,RKM_POWER,
,,DELHI_UT,MSEB_State,MSEB_State,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,AEML,AEML,Manipur_Ben,MES_Delhi,NDMC,NDMC,ITCLH,NDMC,NDMC,GOA_Beneficiary,NDMC,NDMC,MES_Delhi,MES_Delhi,TPDDL,BRPL,PUNJAB,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,HARYANA,NDMC,NDMC,BRPL,NDMC,NDMC,
,,North-North,North-West,North-West,North-East-North East,North-North,North-North,North-North,South-West-North,East-North,West-North,North-West,West-North,East-North,South-West-North,South-West-North,North-North,West-North,North-North,North-West,East-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

2,00:15-00:30,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

