Column1,Time,L_NR_2019_19,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/08/01/6475,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/5126,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/1196,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/6452,GNA/NR/2025/06/07/5932,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8128,GNA/NR/2025/07/01/2952,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/4452,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/6209,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6187,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/4125,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,0,0,0,12.01,0,0,19.5,58.5,0,20.71,10.71,99.99,0,70,24,0,8.72,19.2,23.22,0,24,-0,65.86,187.65,18.01,10.24,3.99,26.93,26.5,95.98,47.99,15.21,102.18,47.99,10.45,3.23,9.21,7.21,8.72,50,0,0,0,0,0,50,0,18,0,19.5

2,00:15-00:30,0,0,0,11.81,0,0,19.5,58.5,0,20.71,10.71,99.99,0,70,24,0,8.72,19.2,23.22,0,24,-0,65.86,211.41,18.01,7.86,3.99,26.93,26.5,95.98,47.99,15.21,102.18,47.99,10.45,3.23,9.21,7.21,8.72,51,0,0,0,0,0,51,0,18,0,19.5

3,00:30-00:45,0,0,0,9,0,0,19.5,58.5,0,20.71,10.71,99.99,0,70,24,0,8.72,19.2,24.23,0,24,-0,65.86,219.13,18.65,6.74,3.99,26.93,26.5,95.98,47.99,15.21,102.18,47.99,10.45,3.22,9.21,7.21,8.72,60,0,0,0,0,0,60,0,18,0,19.5

4,00:45-01:00,0,0,0,9,0,0,19.67,58.99,0,20.71,10.71,99.99,0,70,24,0,8.72,19.2,24.23,0,24,-0,65.86,203.93,18.65,6.74,3.99,26.93,26.5,95.98,47.99,15.21,102.18,47.99,10.45,3.22,9.21,7.21,8.72,61.33,0,0,0,0,0,61.34,0,18,0,19.67

5,01:00-01:15,0,0,0,8.6,0,0,19.33,58.01,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,165.54,18.65,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,47.99,10.45,3.13,9.21,6.98,8.72,61,0,0,0,0,0,61,0,17.67,0,19.33

6,01:15-01:30,0,0,0,8.4,0,0,19.17,57.49,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.65,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,47.99,10.45,3.13,9.21,6.98,8.72,60.67,0,0,0,0,0,60.66,0,17,0,19.17

7,01:30-01:45,0,0,0,8,0,0,19,57,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.65,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,47.99,10.45,3.13,9.21,6.98,8.72,60.33,0,0,0,0,0,60.34,0,16.67,0,19

8,01:45-02:00,0,0,0,7.6,0,0,18.83,56.51,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.65,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,47.99,10.45,3.13,9.21,6.98,8.72,59.33,0,0,0,0,0,59.34,0,16,0,18.83

9,02:00-02:15,0,0,0,7.2,0,0,19.83,59.51,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.7,8.72,59.67,0,0,0,0,0,59.66,0,15.67,0,19.83

10,02:15-02:30,0,0,0,6.8,0,0,20,60,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.7,8.72,59.67,0,0,0,0,0,59.66,0,15.33,0,20

11,02:30-02:45,0,0,0,6.8,0,0,20,60,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.7,8.72,51.67,0,0,0,0,0,51.66,0,15.33,0,20

12,02:45-03:00,0,0,0,6.8,0,0,20,60,0,20.71,10.71,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.7,8.72,51.33,0,0,0,0,0,51.34,0,15,0,20

13,03:00-03:15,0,0,0,6.8,0,0,16.58,49.71,0,20.71,10.48,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.52,8.72,41.33,0,0,0,0,0,41.34,0,14.67,0,16.58

14,03:15-03:30,0,0,0,6.8,0,0,16.29,48.88,0,20.71,10.48,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.52,8.72,40,0,0,0,0,0,40,0,14,0,16.29

15,03:30-03:45,0,0,0,5.82,0,0,15.87,47.59,0,20.71,10.48,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.52,8.72,38.33,0,0,0,0,0,38.34,0,13.67,0,15.87

16,03:45-04:00,0,0,0,5.82,0,0,15.44,46.33,0,20.71,10.48,52.79,0,70,24,0,8.72,19.2,24.23,0,24,-0,38.39,149.26,18.47,6.13,2.02,26.93,26.93,95.98,47.99,15.21,53.75,95.98,10.45,3.13,9.21,6.52,8.72,36.67,0,0,0,0,0,36.66,0,13,0,15.44

