Block,Time,SASAN,RIHAND3,CHAMERA1,AURY_LF,JHAJJAR,ANTA_LF,RAPPB,TANAKPUR,AURY_CRF,UNCHAHAR3,ANTA_GF,DADRT2,SALAL,URI2,UNCHAHAR4,TEHRI,AURY_RF,RIHAND1,SINGRAULI,DADRI_LF,UNCHAHAR1,RIHAND2,AURY_GF,CHAMERA3,KISHANGANGA,KOLDAM,CHAMERA2,UNCHAHAR2,URI,BSIUL,DADRI_RF,SINGRAULI_HYDRO,RAPPC,DADRI_GF,TANDA2,DADRI_CRF,ANTA_RF,NAPP,DHAULIGNGA,KOTESHWR,PARBATI3,ANTA_CRF,SEWA2,RAMPUR,DULHASTI,NJPC,FSTPP I & II,BRBCL,TALA,KHSTPP-I,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,385.277062,125.970622,40.660253,0.000000,407.527868,0.000000,0.000000,6.178904,0.000000,26.663325,0.000000,663.825454,80.710661,36.552984,2.238104,0.000000,37.420192,93.533398,144.694340,0.000000,21.831161,57.291663,0.000000,33.601710,8.046226,8.947402,46.787784,43.321421,35.145950,6.290616,60.256046,1.086435,65.266898,0.000000,5.168948,0.000000,0.000000,45.985202,41.999311,0.000000,4.121286,19.294000,0.000000,6.507399,57.086511,173.609779,20.065760,14.470452,4.254327,42.745857,143.065010,0,0,0,0,0

2,00:15-00:30,385.277062,125.970622,40.660253,0.000000,407.527868,0.000000,0.000000,6.178904,0.000000,26.663325,0.000000,663.825454,80.710661,36.552984,2.238104,0.000000,37.420192,93.533398,144.694340,0.000000,21.831161,57.291663,0.000000,33.601710,8.046226,8.947402,46.787784,43.321421,35.145950,6.290616,45.846991,1.086435,65.266898,0.000000,5.168948,0.000000,0.000000,45.985202,41.999311,0.000000,4.121286,42.123243,0.000000,6.507399,57.086511,173.609779,20.065760,14.470452,4.254327,42.745857,143.065010,0,0,0,0,0

3,00:30-00:45,385.277062,125.970622,40.660253,0.000000,407.527868,0.000000,0.000000,6.178904,0.000000,26.663325,0.000000,663.825454,80.710661,36.552984,2.238104,0.000000,37.420192,93.533398,144.694340,0.000000,21.831161,57.291663,0.000000,33.601710,8.046226,8.947402,46.787784,43.321421,35.145950,6.290616,45.846991,1.086435,65.266898,0.000000,5.168948,0.000000,0.000000,45.985202,41.999311,0.000000,4.121286,42.123243,0.000000,6.507399,57.086511,173.609779,20.065760,14.470452,4.254327,42.745857,143.065010,0,0,0,0,0

4,00:45-01:00,385.277062,125.970622,40.660253,0.000000,407.527868,0.000000,0.000000,6.178904,0.000000,26.663325,0.000000,663.825454,80.710661,36.552984,2.238104,0.000000,37.420192,93.533398,144.694340,0.000000,21.831161,57.291663,0.000000,33.601710,8.046226,8.947402,46.787784,43.321421,35.145950,6.290616,45.846991,1.086435,65.266898,0.000000,5.168948,0.000000,0.000000,45.985202,41.999311,0.000000,4.121286,42.123243,0.000000,6.507399,57.086511,173.609779,20.065760,14.470452,4.254327,42.745857,143.065010,0,0,0,0,0

5,01:00-01:15,385.277062,125.970622,40.660253,0.000000,407.527868,0.000000,0.000000,6.178904,0.000000,26.663325,0.000000,663.825454,80.710661,36.552984,2.238104,0.000000,37.420192,93.533398,144.694340,0.000000,21.831161,57.291663,0.000000,33.601710,8.046226,8.947402,46.787784,43.321421,35.145950,6.290616,45.846991,1.086435,65.266898,0.000000,5.168948,0.000000,0.000000,45.985202,41.999311,0.000000,4.121286,42.751948,0.000000,6.507399,57.086511,173.609779,20.065760,14.470452,4.254327,42.745857,143.065010,0,0,0,0,0

