Column1,Block,NR/2025/27356/A/82215,NR/2025/26571/A/82547,NR/2025/27782/A/82591,GNA/NR/2025/06/16/8791,NR/2025/27167/A/82203,NR/2025/26565/A/82544,NR/2025/26562/A/82543,NR/2025/27725/A/82621,NR/2025/26952/A/82148,GNA/NR/2025/06/01/7786,NR/2025/26889/A/82570,NR/2025/27100/A/82195,GNA/NR/2025/06/01/7663,NR/2025/27168/A/82204,NR/2025/26566/A/82546,NR/2025/26085/A/82106,NR/2025/26975/A/82632,NR/2025/27088/A/82682,NR/2025/27281/A/82660,NR/2025/26445/A/82691,NR/2025/27157/A/82186,NR/2025/27185/A/82630,NR/2025/26777/A/82183,NR/2025/27176/A/82631,NR/2025/26860/A/82487,NR/2025/27500/A/82069,NR/2025/27727/A/82598,NR/2025/26785/A/82070,NR/2025/27242/A/82273,GNA/NR/2025/06/01/2569,NR/2025/27499/A/82569,NR/2025/28719/A/82173,NR/2025/29162/A/82174,NR/2025/26861/A/82551,NR/2025/27506/A/82068,NR/2025/27187/A/82629,NR/2025/26572/A/82548,GNA/NR/2025/06/01/4973,NR/2025/29567/C,NR/2025/29557/C,NR/2025/29594/C,NR/2025/29558/C,NR/2025/29596/C,NR/2025/29562/C,NR/2025/29597/C,NR/2025/27726/A/82618,NR/2025/29542/C,NR/2025/29595/C,NR/2025/28774/A/82064,NR/2025/29603/C,NR/2025/29486/C,GNARE/NR/2024/12/20/3668,NR/2025/29600/C,NR/2025/29484/C,NR/2025/29597/C/Alternate/1,NR/2025/29509/C,NR/2025/29593/C,NR/2025/29598/C,NR/2025/29556/C,NR/2025/29599/C,NR/2025/27728/A/82614,NR/2025/29566/C,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,Total
,,BRPL,PowerPulse,APPCPL,APPCPL,PTC,PowerPulse,PowerPulse,APPCPL,PXIL,INSTINCT,HPXL,IVPL_Trader,SIMHAPURI,PTC,PowerPulse,ITCLH,APPCPL,NVVNL,MANIKARAN,NVVNL,KEIPL,APPCPL,INSTINCT,APPCPL,BRPL,IEXL,APPCPL,IEXL,GMRETL,PTC,HPXL,DIAPL,DIAPL,PowerPulse,IEXL,APPCPL,PowerPulse,APPCPL,APPCPL,PowerPulse,APPCPL,PowerPulse,APPCPL,APPCPL,NVVNL,APPCPL,BRPL,APPCPL,IEXL,NVVNL,IEXL,SECI_Trader,APPCPL,MANIKARAN,NVVNL,PXIL,INSTINCT,NVVNL,PowerPulse,APPCPL,APPCPL,APPCPL,BAWANA_GAS,PUNJAB,DELHI,NDMC,PTC,MANIKARAN,NVVNL,MANIKARAN,APPCPL,KEIPL,APPCPL,PowerPulse,
,,NA,NA,NA,GOA_State,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,MSEB_State,MSEB_State,NA,GoHP_Rampur_STATE,NA,ANDHRA_PRADESH_STATE,Manipur_State,NA,CSEB_State,NA,CSEB_State,KERALA_State,NA,MSEB_State,NA,MSEB_State,NA,NA,HIMACHAL_STATE,TELANGANA_State,JK_and_LADAKH_UT,HIMACHAL_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,KERALA_State,NA,NA,MSEB_State,NA,NA,NA,NA,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,NA,KERALA_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,ODISHA_STATE,MSEB_State,NA,MP_State,CSEB_State,CSEB_State,GOA_State,NA,
,,TS1PL_BKN,APL_Raigarh_TPP,TRN_ENERGY,GOA_Beneficiary,GoHP_Chamera1,MAHAN_ENERGEN,APL_Raipur_TPP,SKS_Raigarh,MBMP,SIMHAPURI,GRETAENERGY,TPC_MSEB,SIMHAPURI,GoHP_Rampur,MAHAN_ENERGEN,ITCWIND,Manipur_Ben,ILFS,CSEB_Beneficiary,JPNIGRIE_JNSTPP,CSEB_Beneficiary,KSEB,JPL2,AEML,JPL2,A_A_Energy_MH_Bio,JPL2,MBMP,GBHHPL,NAVABHARAT,O2Z,GBHHPL,GBHHPL,COASTGEN,NHCPL_HP,KSEB,APL_Raigarh_TPP,DBPL,AEML,APL_Raigarh_TPP,SKS_Raigarh,APL_Raipur_TPP,JPL2,Manipur_Ben,Kameng,RKM_POWER,JPL2,RKM_POWER,TPSL_BKN2,ILFS,MBMP,APSEPL_FTG,RKM_POWER,CSEB_Beneficiary,Kameng,MBMP,JPL2,SORANG_HEP,MAHAN_ENERGEN,TRN_ENERGY,RKM_POWER,KSEB,BAWANA_GAS,BAWANA_GAS,CHANJUII,JIPL,NBVL_OTCL,AEML,JHABUA_IPP,BLAPOWER_MP,CSPDCL,CSPDCL,GOA_Beneficiary,COASTGEN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,TPDDL,NDMC,BRPL,BRPL,TPDDL,TPDDL,NDMC,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,TPDDL,ITCLH,BYPL,BRPL,BYPL,TPDDL,BYPL,BYPL,BRPL,BYPL,BRPL,MES_Delhi,NDMC,NDMC,BRPL,BRPL,BYPL,DIAPL,DIAPL,BRPL,MES_Delhi,BYPL,TPDDL,BRPL,BYPL,TPDDL,NDMC,TPDDL,NDMC,BYPL,TPDDL,NDMC,BRPL,NDMC,MES_Delhi,BRPL,NDMC,TPDDL,NDMC,BYPL,TPDDL,BRPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,BYPL,HARYANA,PUNJAB,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-East-North,North-North,West-North,South-West-North,North East-East-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,North East-East-North,West-North,West-North,West-North,North-North,South-West-North,West-North,North-North,West-North,West-North,North East-East-West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,North-North,North-North,North-North,East-North,East-West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,
1,00:00-00:15,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,67.93,24.18,0,0,0,0,0,0,0,0,96.77,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

2,00:15-00:30,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,67.92,24.18,0,0,0,0,0,0,0,0,96.78,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

