Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01062024/30062024/IEPL01,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01102023/06022042/L_NR_2012_07,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/R2,NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,18.34,58.33,0,72.5,0,26.01,0,0,0,0,0,0,0,58.33,0,24.16,24.17,0,0,0,30.880000,0.000000,24.120000,9.440000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,13.080000,261.970000,30.880000,38.600000,24.120000,6.960000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,15.610000,100.520000,24.120000,24.120000,0.000000

2,00:15-00:30,0,17.34,57.33,0,71.5,0,26.21,0,0,0,0,0,0,0,57.33,0,23.84,23.83,0,0,0,30.880000,0.000000,24.120000,9.440000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,13.080000,261.970000,30.880000,38.600000,24.120000,6.960000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,15.610000,100.520000,24.120000,24.120000,0.000000

3,00:30-00:45,0,16.66,55,0,70.5,0,26.41,0,0,0,0,0,0,0,55,0,23.5,23.5,0,0,0,30.880000,0.000000,24.120000,9.440000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,13.080000,261.970000,30.880000,38.600000,24.120000,7.240000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,15.610000,100.520000,24.120000,24.120000,0.000000

4,00:45-01:00,0,16,54.33,0,70,0,26.61,0,0,0,0,0,0,0,54.33,0,23.34,23.33,0,0,0,30.880000,0.000000,24.120000,9.440000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,13.080000,261.970000,30.880000,38.600000,24.120000,7.240000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,15.610000,100.520000,24.120000,24.120000,0.000000

5,01:00-01:15,0,15.34,52.67,0,69.5,0,26.41,0,0,0,0,0,0,0,52.67,0,23.16,23.17,0,0,0,30.880000,0.000000,24.120000,9.210000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,12.990000,261.970000,30.880000,38.600000,24.120000,7.240000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,15.330000,100.520000,24.120000,24.120000,0.000000

6,01:15-01:30,0,15,51.67,0,57.82,0,25.81,0,0,0,0,0,0,0,51.67,0,19.27,19.27,0,0,0,30.880000,0.000000,24.120000,9.210000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,12.990000,261.970000,30.880000,38.600000,24.120000,7.240000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,15.330000,100.520000,24.120000,24.120000,0.000000

7,01:30-01:45,0,15,48.99,0,57.32,0,25.61,0,0,0,0,0,0,0,48.99,0,19.09,19.11,0,0,0,30.880000,0.000000,24.120000,9.210000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,12.990000,261.970000,30.880000,38.600000,24.120000,7.240000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,15.330000,100.520000,24.120000,24.120000,0.000000

8,01:45-02:00,0,14.34,49.82,0,56.43,0,24.01,0,0,0,0,0,0,0,49.82,0,18.8,18.81,0,0,0,30.880000,0.000000,24.120000,9.210000,0.000000,38.600000,10.320000,0.000000,100.230000,48.240000,272.830000,29.010000,29.280000,12.990000,261.970000,30.880000,38.600000,24.120000,7.240000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

9,02:00-02:15,0,14,48.91,0,56,0,23.01,0,0,0,0,0,0,0,48.91,0,18.66,18.67,0,0,0,22.950000,0.000000,24.120000,9.060000,0.000000,38.600000,10.090000,0.000000,100.230000,48.240000,272.830000,24.660000,29.280000,12.800000,261.970000,22.950000,38.600000,24.120000,7.050000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

10,02:15-02:30,0,13.66,48.33,0,56,0,23.21,0,0,0,0,0,0,0,48.33,0,18.66,18.67,0,0,0,22.950000,0.000000,24.120000,9.060000,0.000000,38.600000,10.090000,0.000000,100.230000,48.240000,272.830000,24.660000,29.280000,12.800000,261.970000,22.950000,38.600000,24.120000,7.050000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

11,02:30-02:45,0,18.66,51.67,0,67.5,0,23.41,0,0,0,0,0,0,0,51.67,0,22.5,22.5,0,0,0,22.950000,0.000000,24.120000,9.060000,0.000000,38.600000,8.540000,0.000000,100.230000,48.240000,272.830000,24.660000,29.280000,12.800000,261.970000,22.950000,38.600000,24.120000,7.050000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

12,02:45-03:00,0,18.66,51,0,66.5,0,23.01,0,0,0,0,0,0,0,51,0,22.16,22.17,0,0,0,22.950000,0.000000,24.120000,9.060000,0.000000,38.600000,8.540000,0.000000,100.230000,48.240000,272.830000,24.660000,29.280000,12.800000,261.970000,22.950000,38.600000,24.120000,7.050000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

13,03:00-03:15,0,18.34,55,0,71.5,0,14.06,0,0,0,0,0,0,0,55,0,23.84,23.83,0,0,0,22.950000,0.000000,24.120000,8.830000,0.000000,0.000000,8.540000,0.000000,100.230000,48.240000,272.830000,24.660000,28.260000,12.710000,261.970000,22.950000,38.600000,24.120000,6.870000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

14,03:15-03:30,0,18.34,55,0,70.5,0,14.64,0,0,0,0,0,0,0,55,0,23.5,23.5,0,0,0,22.950000,0.000000,24.120000,8.830000,0.000000,0.000000,8.540000,0.000000,100.230000,48.240000,272.830000,24.660000,28.260000,12.710000,261.970000,22.950000,38.600000,24.120000,6.870000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

15,03:30-03:45,0,24.66,54.33,0,69.5,0,15.06,0,0,0,0,0,0,0,54.33,0,23.16,23.17,0,0,0,22.950000,0.000000,24.120000,8.830000,0.000000,0.000000,8.230000,0.000000,100.230000,48.240000,272.830000,24.660000,28.260000,12.710000,261.970000,22.950000,38.600000,24.120000,6.870000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

16,03:45-04:00,0,24.34,53.33,0,69,0,15.28,0,0,0,0,0,0,0,53.33,0,23,23,0,0,0,22.950000,0.000000,24.120000,8.830000,0.000000,0.000000,8.230000,0.000000,100.230000,48.240000,272.830000,24.660000,28.260000,12.710000,261.970000,22.950000,38.600000,24.120000,6.870000,0.000000,24.120000,48.240000,87.030000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

17,04:00-04:15,0,21.66,45,0,67.5,0,15.48,0,0,0,0,0,0,0,45,0,22.5,22.5,0,0,0,30.880000,0.000000,24.120000,8.670000,0.000000,0.000000,7.910000,0.000000,100.230000,48.240000,272.830000,24.660000,28.260000,12.520000,261.970000,15.390000,38.600000,24.120000,6.730000,0.000000,24.120000,48.240000,76.510000,48.240000,24.120000,13.450000,100.520000,24.120000,24.120000,0.000000

