Column1,Time,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/06022042/L_NR_2012_02,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2025/02/01/5886,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143
1,00:00-00:15,0,10.8,0,0,0,0,0,14.67,43.99,0,30,11.33,0,14.67,30,59.36,70.04,26.99,0,25.74,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

2,00:15-00:30,0,10.8,0,0,0,0,0,14.5,43.5,0,30.34,11,0,14.5,30.33,59.36,70.04,26.99,0,25.74,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

3,00:30-00:45,0,11,0,0,0,0,0,14.33,43.01,0,30.66,10.67,0,14.33,30.67,59.36,70.04,26.99,0,25.74,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

4,00:45-01:00,0,11,0,0,0,0,0,14.33,43.01,0,30.66,10.67,0,14.33,30.67,59.36,70.04,26.99,0,25.74,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

5,01:00-01:15,0,10.6,0,0,0,0,0,14.33,43.01,0,30.34,10.33,0,14.33,30.33,59.36,70.04,26.99,0,25.74,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

6,01:15-01:30,0,10.4,0,0,0,0,0,14.17,42.49,0,30.66,10.67,0,14.17,30.67,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

7,01:30-01:45,0,10.2,0,0,0,0,0,14.17,42.49,0,31,10.67,0,14.17,31,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

8,01:45-02:00,0,9.8,0,0,0,0,0,14.17,42.49,0,30.34,10.67,0,14.17,30.33,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

9,02:00-02:15,0,9.4,0,0,0,0,0,16.67,49.99,0,30,10.67,0,16.67,30,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

10,02:15-02:30,0,8.8,0,0,0,0,0,16.67,49.99,0,30,11,0,16.67,30,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

11,02:30-02:45,0,8.2,0,0,0,0,0,16.67,49.99,0,30,11.33,0,16.67,30,59.36,70.04,26.99,0,26.75,0.92,52.81,26.99,0,0,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

12,02:45-03:00,0,7.6,0,0,0,0,0,16.67,49.99,0,30,11.67,0,16.67,30,59.36,70.04,26.99,0,26.75,0.92,52.81,26.99,0,0,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

13,03:00-03:15,0,7.2,0,0,0,0,0,16.67,49.99,0,30,11.33,0,16.67,30,59.36,70.04,26.99,0,26.75,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

14,03:15-03:30,0,7.2,0,0,0,0,0,16.67,49.99,0,30,11.33,0,16.67,30,59.36,70.04,26.99,0,26.75,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

15,03:30-03:45,0,7.2,0,0,0,0,0,16.5,49.5,0,30,11.33,0,16.5,30,59.36,70.04,26.99,0,26.75,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

16,03:45-04:00,0,7.2,0,0,0,0,0,16.5,49.5,0,30,11.33,0,16.5,30,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

17,04:00-04:15,0,7.2,0,0,0,0,0,16,48,0,34.34,11,0,16,34.33,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

18,04:15-04:30,0,7.2,0,0,0,0,0,15.33,46.01,0,32.66,10.33,0,15.33,32.67,59.36,70.04,26.99,0,26.24,0.92,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

19,04:30-04:45,0,7.2,0,0,0,0,0,17,51,0,41.66,10.33,0,17,41.67,59.36,70.04,26.99,0,26.24,0,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

20,04:45-05:00,0,7.2,0,0,0,0,0,16.67,49.99,0,39.66,10.33,0,16.67,39.67,59.36,70.04,26.99,0,26.24,0,52.81,26.99,0,0.62,0,0,134.41,0,0,0,0,0,8.64,271.47,23.04,1.39,0,75,8.64,0,0,1.25,23.04,23.04

