Block,Time,L_NR_2018_61,L_NR_2021_14,L_NR_2021_12,L_NR_2021_13,L_NR_2021_16,L_NR_2021_15,L_NR_2021_17,L_NR_2019_05,L_NR_2020_06,L_NR_2022_10,L_NR_2022_09,L_NR_2019_07,L_NR_2020_07,L_NR_2020_05,L_NR_2019_06,L_NR_2022_08,LT-35,L_NR_2020_02,LT_MEJA_Delhi,SH-06,L_NR_2012_04,L_NR_2019_11,L_NR_2023_04,SH-07,LT-59,L_NR_2012_01,L_NR_2012_02,L_NR_2019_19,LT-36,LT-31,L_NR_2012_07,LT-05
1,00:00-00:15,17.32,0,0,0,0,0,0,0,26.28,57.74,57.74,0,26.27,78.83,0,23.97,0.000000,6.700000,3.200000,0.000000,272.110000,5.700000,0.000000,0.000000,5.450000,101.350000,261.810000,0.000000,0.000000,0.000000,87.270000,115.760000

2,00:15-00:30,17.21,0,0,0,0,0,0,0,26.83,58.22,58.22,0,26.83,80.49,0,24.11,0.000000,6.700000,3.200000,0.000000,272.110000,5.700000,0.000000,0.000000,5.450000,101.350000,261.810000,0.000000,0.000000,0.000000,87.270000,115.760000

3,00:30-00:45,16.95,0,0,0,0,0,0,0,27.37,58.68,58.68,0,27.37,82.11,0,24.32,0.000000,6.700000,3.200000,0.000000,272.110000,5.700000,0.000000,0.000000,5.450000,101.350000,261.810000,0.000000,0.000000,0.000000,87.270000,115.760000

4,00:45-01:00,16.44,0,0,0,0,0,0,0,28.13,59.93,59.93,0,28.14,84.39,0,24.42,0.000000,6.700000,3.200000,0.000000,272.110000,5.700000,0.000000,0.000000,5.450000,101.350000,261.810000,0.000000,0.000000,0.000000,87.270000,115.760000

5,01:00-01:15,15.84,0,0,0,0,0,0,0,28.69,61.88,61.88,0,28.7,86.07,0,24.81,0.000000,6.560000,3.200000,0.000000,272.110000,5.700000,0.000000,0.000000,5.450000,101.350000,261.810000,0.000000,0.000000,0.000000,87.270000,115.760000

