Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9072,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/2024/23731/C,NR/2024/23639/A/41519,NR/2024/23640/A/41518,NR/2024/23382/A/41632,NR/2024/23727/C,NR/2024/23694/A/41513,NR/2024/23383/A/41489,NR/2024/23384/A/41483,Total
,,APPCPL,NDMC,NDMC,DELHI,NDMC,PUNJAB,BAWANA_GAS,PTC,PTC,NDMC,NDMC,NVVNL,SJVNL,SJVNL,NVVNL,TPDDL,DIAPL,ITCLH,IEXL,
,,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,
,,BYPL,TRN_ENERGY,RKM_POWER,CHANJUII,RKM_POWER,BAWANA_GAS,BAWANA_GAS,BYPL,BRPL,JPL2,SKS_Raigarh,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,JITPL,JHAJJAR,GBHHPL,ITCWIND,NSLSUGAR,
,,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,AEML,NDMC,NDMC,TPDDL,NDMC,PUNJAB,HARYANA,HP,HP,NDMC,NDMC,MES_Delhi,NDMC,NDMC,NDMC,TPDDL,DIAPL,ITCLH,MES_Delhi,
,,North-West,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,East-North,North-North,North-North,South-West-North,South-West-North,
1,00:00-00:15,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.58,6.75,569.78

2,00:15-00:30,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.58,6.75,569.78

3,00:30-00:45,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.58,6.75,569.78

4,00:45-01:00,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.58,6.75,569.78

5,01:00-01:15,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.53,6.75,569.7299999999999

6,01:15-01:30,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.53,6.75,569.7299999999999

7,01:30-01:45,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.53,6.75,569.7299999999999

8,01:45-02:00,200,12.41,37.23,4.41,37.23,1.78,1.78,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.53,6.75,569.7299999999999

9,02:00-02:15,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.86

10,02:15-02:30,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.86

11,02:30-02:45,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.86

12,02:45-03:00,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.86

13,03:00-03:15,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

14,03:15-03:30,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

15,03:30-03:45,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

16,03:45-04:00,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

17,04:00-04:15,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

18,04:15-04:30,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

19,04:30-04:45,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

20,04:45-05:00,0,12.41,37.23,4.41,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.43,6.75,419.81

21,05:00-05:15,0,12.41,37.23,4.33,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.78000000000003

22,05:15-05:30,0,12.41,37.23,4.33,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.78000000000003

23,05:30-05:45,0,12.41,37.23,4.33,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.78000000000003

24,05:45-06:00,0,12.41,37.23,4.33,37.23,26.87,26.87,47.56,142.69,37.23,12.41,0,0,0,24.83,0,2.89,0.48,6.75,419.78000000000003

25,06:00-06:15,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,0,0,0,24.83,0,2.89,0.53,6.75,229.57999999999996

26,06:15-06:30,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,0.05,0,0,24.83,0,2.89,0.53,6.75,229.62999999999997

27,06:30-06:45,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,0.06,0,0,24.83,0,2.89,0.53,6.75,229.63999999999996

28,06:45-07:00,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,0.21,0,0,24.83,0,2.89,0.53,6.75,229.79

29,07:00-07:15,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,0.52,0,0,24.83,0,2.89,0.58,6.75,230.15

30,07:15-07:30,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,0.74,0,0,24.83,0,2.89,0.58,6.75,230.36999999999998

31,07:30-07:45,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,1.09,0,0,24.83,0,2.89,0.58,6.75,230.72

32,07:45-08:00,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,1.9,0,0,24.83,0,2.89,0.58,6.75,231.53

33,08:00-08:15,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,3.33,0,0,24.83,0,2.89,0.96,6.75,233.34

34,08:15-08:30,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,4.42,0,0,24.83,0,2.89,0.96,6.75,234.42999999999998

35,08:30-08:45,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.49,0,0,24.83,0,2.89,0.96,6.75,235.49999999999997

36,08:45-09:00,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.92,0,0,24.83,0,2.89,0.96,6.75,235.92999999999998

37,09:00-09:15,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.95,42.41,10.6,24.83,0,2.89,0.87,6.75,288.87999999999994

38,09:15-09:30,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.87,42.41,10.6,24.83,0,2.89,0.87,6.75,288.79999999999995

