Block,Time Block,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR3,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TALA,SINGRAULI,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,CHAMERA1,BSIUL,BRBCL,SIMHST1,RSTPSU1TO6,RSTPSU7,SIMHST2,SALAL,SEWA2,RIHAND3,RIHAND2,SASAN,RAMPUR,NTPL,NLCTS2EXP,PARBATI3,RAPPC,RIHAND1,PARBATI2,NNTPP,RAPPB,RAPPD,KHSTPP-I,KGSU3AND4,KGSU1AND2,KHSTPP-II,KKNP,KISHANGANGA,KOTESHWR,KKNPPU2,KOLDAM,NLCIIST2,FSTPP I & II,DULHASTI,JHAJJAR,DHAULIGNGA,AURY_LF,DADRI_GF,DADRI_RF,AURY_GF,DADRI_CRF,DADRI_LF,AURY_CRF,AURY_RF,KUDGI,MAPS,NAPP,NLCEXP,NJPC,NLCIIST1,URI2,ANTA_LF,URI,ANTA_GF,VALLURNTECL,ANTA_CRF,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,7.36,33.84,47.16,21.66,0,1.11,5.56,0,34.9,19.06,130.97,28.61,16.42,1.74,3.05,40.72,6.3,16.11,0,0,0,0,0,12.18,89.89,117.95,398.03,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,20.09,56.7,181.56,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,7.36,33.84,47.16,21.66,0,1.11,5.56,0,34.9,19.06,130.97,28.61,16.42,1.77,3.05,40.72,6.3,14.25,0,0,0,0,0,6.09,89.89,117.95,399.97,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,20.09,56.7,181.56,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,7.36,33.84,47.16,21.66,0,1.11,5.56,0,34.9,19.06,130.97,28.61,16.42,1.77,3.05,40.72,6.3,11.46,0,0,0,0,13.48,6.09,89.89,117.95,399.97,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,20.09,56.7,181.56,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,7.36,33.84,47.16,21.66,0,1.11,5.56,0,34.9,19.06,130.97,28.61,16.42,1.77,3.05,40.72,6.3,9.62,0,0,0,0,25.82,6.09,89.89,117.95,399.97,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,20.09,56.7,181.56,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,7.36,33.84,47.16,18.14,0,1.11,5.56,0,29.24,19.06,130.97,28.61,13.65,1.77,3.05,40.72,6.3,8.55,0,0,0,0,51.64,6.09,89.89,117.95,399.97,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,17.67,56.7,181.56,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,7.36,33.84,47.16,18.14,0,1.11,5.56,0,29.24,19.06,130.97,28.61,13.65,1.77,3.05,40.72,6.3,7.78,0,0,0,0,64.55,6.09,89.89,117.95,399.97,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,14.15,56.7,181.56,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,7.36,33.84,47.16,18.14,0,1.11,5.56,0,29.24,19.06,130.97,28.61,13.65,1.77,3.05,40.72,6.3,9.05,0,0,0,0,76.33,6.09,89.89,117.95,399.97,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,14.15,56.7,181.56,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,7.36,33.84,47.16,18.14,0,1.11,5.56,0,29.24,19.06,130.97,28.61,13.65,1.77,3.05,40.72,6.3,9.09,0,0,0,0,76.33,5.39,89.89,117.95,399.97,6.74,0,0,41.5,66.24,91.76,39.93,0,0,19.19,43.99,0,0,143.27,0,0,10.08,0,9.26,0,14.15,56.7,242.54,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,7.36,33.84,47.16,13.19,0,1.11,11.14,0,23.79,14.09,126.18,28.61,10.38,0.97,2.95,22.9,12.6,9.43,0,0,0,0,81.38,5.03,48.48,93.83,399.97,6.74,0,0,38.55,66.24,62.75,39.93,0,0,19.19,35.29,0,0,114.96,0,0,20.14,0,9.26,0,12.83,56.7,232.79,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,7.36,33.84,47.16,13.19,0,1.11,11.14,0,23.79,14.09,126.18,28.61,10.38,0.97,2.95,22.9,12.6,9.48,0,0,0,0,81.38,0,48.48,93.83,399.97,6.74,0,0,38.55,66.24,62.75,39.93,0,0,19.19,35.29,0,0,114.96,0,0,20.14,0,9.26,0,10.17,56.7,232.79,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,7.36,33.84,47.16,13.19,0,1.11,11.14,0,23.79,14.09,126.99,28.61,10.38,0.97,2.94,22.9,12.6,10.33,0,0,0,0,81.38,0,85.52,115.66,399.97,6.74,0,0,38.55,66.24,45.94,39.93,0,0,19.19,25.78,0,0,95.95,0,0,20.14,0,9.26,0,10.17,56.7,232.79,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,7.36,33.84,47.16,13.19,0,1.11,11.14,0,23.79,14.09,126.99,28.61,10.38,0.97,2.94,22.9,12.6,15.71,0,0,0,0,81.38,0,89.89,117.95,399.97,6.74,0,0,38.55,66.24,45.94,39.93,0,0,19.19,24.65,0,0,95.95,0,0,20.14,0,9.26,0,10.17,56.7,232.79,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,7.36,33.84,47.16,13.19,0,1.11,5.56,0,23.79,14.09,126.99,27.45,10.38,0.97,2.94,22.9,12.6,18.02,0,0,0,0,81.38,0,89.89,117.95,399.97,6.74,0,0,38.55,66.24,45.94,39.93,0,0,19.19,29.73,0,0,97.7,0,0,20.14,0,9.26,0,10.17,56.7,232.79,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,7.36,33.84,47.16,13.19,0,1.11,5.56,0,23.79,14.09,126.99,27.45,10.38,0.97,2.94,22.9,12.6,18.31,0,0,0,0,81.38,0,89.89,117.95,399.97,6.74,0,0,38.55,66.24,45.94,39.93,0,0,19.19,24.65,0,0,78.8,0,0,20.14,0,9.26,0,10.17,56.7,232.79,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,7.36,33.84,47.16,13.19,0,1.11,5.56,0,23.79,14.09,126.99,28.61,10.38,0.97,2.94,22.9,12.6,18.67,0,0,0,0,81.38,0,89.89,117.95,399.97,6.74,0,0,38.55,66.24,45.94,39.93,0,0,19.19,24.65,0,0,95.95,0,0,20.14,0,9.26,0,10.17,56.7,232.79,31.72,0,0,0,0,0,0,0,0,0,0,24.26,0,174.76,0,0,0,0,0,0,0,0,0,0,0,0,0

