Block,Time,BSIUL,CHAMERA1,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SEWA2,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,RIHAND2,RIHAND3,DULHASTI,KOLDAM,SALAL,NJPC,RAPPC,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TAPS-II,LARA-I,GADARWARA-I,KSTPS7,KSTPS I&II,KHARGONE-I,VSTPS I,SOLAPUR,SIPAT II,VSTPS V,SIPAT I,VSTPS IV,MOUDA_II,VSTPS III,MOUDA,VSTPS II,KAPS,SASAN,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,19.6614,0,140.279438,0.6405,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,36.950153,27.350811,18.108732,30.949448,22.310403,691.093984,0,667.076637,6.337881,9.137237,46.492646,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,64.950987,0,31.745157,0,0,0,54.378006,0,0,0,88.222364,0,0,3.03,3.57,3.78,1.72,1.8,0.22,2.02,2.18,1.61,0,1.85,5.91,1.94,0,9.33,0.25,1.85,0.44,0,147.515625,27.922,20.73185,12.089,1.371098,4.258125,4.2939,1.341844,2.969333,3.542468,2.395424,1.771234,1.870228,1.32753,5.238558,2.683687,3.51169,1.959684,1.938104,1.942962,0.829559,275.625,0,0,0.020067,0,0,0,0.018728,0,0

2,00:15-00:30,19.6614,0,140.279438,0.6405,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,36.950153,27.350811,18.108732,30.949448,22.310403,691.093984,0,667.076637,6.337881,9.137237,46.492646,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,64.950987,0,31.745157,0,0,0,54.378006,0,0,0,88.222364,0,0,3.03,3.57,3.78,1.72,1.8,0.22,2.02,2.18,1.61,0,1.85,5.91,1.94,0,9.33,0.25,1.85,0.44,0,147.515625,27.922,20.73185,12.089,1.371098,4.258125,4.2939,1.341844,2.969333,3.542468,2.395424,1.771234,1.870228,1.32753,5.238558,2.683687,3.51169,1.959684,1.938104,1.942962,0.829559,275.625,0,0,0.020215,0,0,0,0.018728,0,0

3,00:30-00:45,19.6614,0,140.279438,0.6405,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,36.950153,27.350811,18.108732,30.949448,22.310403,691.093984,0,667.076637,6.337881,9.137237,46.492646,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,64.950987,0,30.500248,0,0,0,54.378006,0,0,0,88.222364,0,0,3.03,3.57,3.78,1.72,1.8,0.23,2.02,2.18,1.61,0,1.85,5.91,1.94,0,9.33,0.25,1.85,0.44,0,147.515625,30.957,20.73185,12.089,1.371098,4.258125,4.2939,1.341844,2.969333,3.542468,2.395424,1.771234,1.870228,1.32753,5.238558,2.683687,3.51169,1.959684,1.938104,1.942962,0.829559,275.625,0,0,0.020215,0,0,0,0.018728,0,0

4,00:45-01:00,19.6614,0,140.279438,0.6405,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,35.410564,27.350811,18.108732,30.949448,22.310403,691.093984,0,667.076637,6.337881,9.137237,46.492646,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,64.950987,0,30.500248,0,0,0,54.378006,0,0,0,88.222364,0,0,3.03,3.57,3.78,1.72,1.8,0.23,2.02,2.18,1.61,0,1.85,5.91,1.94,0,9.33,0.25,1.85,0.44,0,147.515625,30.957,20.73185,12.089,1.371098,4.258125,4.2939,1.341844,2.969333,3.542468,2.395424,1.771234,1.870228,1.32753,5.238558,2.683687,3.51169,1.959684,1.938104,1.942962,0.829559,275.625,0,0,0.020215,0,0,0,0.018728,0,0

5,01:00-01:15,19.6614,0,140.279438,0.6405,4.233847,22.444045,44.326064,2.392833,52.992,1.074768,0,34.640769,27.350811,18.108732,30.949448,22.310403,691.093984,0,667.076637,6.337881,9.137237,46.492646,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,64.950987,0,30.500248,0,0,0,54.378006,0,0,0,88.222364,0,0,3.03,3.57,3.78,1.72,1.8,0.23,2.02,2.18,1.61,0,1.85,5.91,1.94,0,9.33,0.25,1.85,0.44,0,147.515625,32.778,20.73185,12.089,1.371098,4.258125,4.2939,1.341844,2.969333,3.542468,2.395424,1.771234,1.870228,1.32753,5.238558,2.683687,3.51169,1.959684,1.938104,1.942962,0.829559,275.625,0,0,0.020215,0,0,0,0.018728,0,0

6,01:15-01:30,19.6614,0,140.279438,0.6405,4.233847,22.444045,44.326064,2.392833,52.992,1.074768,0,34.640769,27.350811,18.108732,30.949448,22.310403,691.093984,0,667.076637,6.337881,9.137237,46.492646,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,64.950987,0,30.500248,0,0,0,54.378006,0,0,0,88.222364,0,0,3.03,3.57,3.78,1.72,1.8,0.23,2.02,2.18,1.61,0,1.85,5.91,1.94,0,9.33,0.25,1.85,0.44,0,147.515625,32.778,20.73185,12.089,1.371098,4.258125,4.2939,1.341844,2.969333,3.542468,2.395424,1.771234,1.870228,1.32753,5.238558,2.683687,3.51169,1.959684,1.938104,1.942962,0.829559,275.625,0,0,0.020215,0,0,0,0.018728,0,0

7,01:30-01:45,19.6614,0,140.279438,0.6405,4.233847,22.444045,44.326064,2.392833,48.576,1.074768,0,34.640769,27.350811,18.108732,30.949448,11.155202,691.093984,0,667.076637,6.337881,9.137237,46.492646,0,0,0,95.888555,122.432091,128.451291,37.821176,0,83.664,0,64.950987,0,31.745157,0,0,0,54.378006,0,0,0,88.222364,0,0,3.03,3.57,3.78,1.72,1.8,0.23,2.02,2.18,1.61,0,1.85,5.91,1.94,0,9.33,0.25,1.85,0.44,0,147.515625,33.992,20.73185,12.089,1.371098,4.258125,4.2939,1.341844,2.969333,3.542468,2.395424,1.771234,1.870228,1.32753,5.238558,2.683687,3.51169,1.959684,1.938104,1.942962,0.829559,275.625,0,0,0.020215,0,0,0,0.018728,0,0

