Column1,Block,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/2024/22042/A/31047,NR/2024/21940/A/31343,NR/2024/22423/C,NR/2024/22052/A/31088,NR/2024/22279/A/31052,NR/2024/21943/A/31339,NR/2024/22419/C,NR/2024/22424/C,NR/2024/21956/A/31347,NR/2024/21918/A/31307,NR/2024/22425/C,NR/2024/21814/A/31355,NR/2024/21954/A/31342,NR/2024/22440/C,NR/2024/22435/C,NR/2024/21974/A/31354,NR/2024/21968/A/31351,NR/2024/21938/A/31327,NR/2024/21860/A/31452,NR/2024/21970/A/31352,NR/2024/21909/A/31294,NR/2024/22080/A/31086,NR/2024/21983/A/31074,NR/2024/21971/A/31353,NR/2024/21966/A/31085,NR/2024/22010/A/31302,NR/2024/22014/A/31048,NR/2024/21961/A/31323,NR/2024/21658/A/31035,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,GNA/NR/2024/08/09/3684,GNA/NR/2024/08/09/6800,NR/30092023/26122029/SH-06,NR/2024/22426/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22058/A/31087,Total
,,DELHI,BAWANA_GAS,IEXL,APPCPL,SJVNL,SJVNL,IEXL,APPCPL,TPDDL,NVVNL,APPCPL,MANIKARAN,NVVNL,NVVNL,APPCPL,IEXL,IEXL,NVVNL,NVVNL,PTC,TPDDL,NVVNL,AEL,DIAPL,TPTCL,NVVNL,INSTINCT,MANIKARAN,IEXL,PTC,ITCLH,JITPL,DELHI,DELHI,APPCPL,TPTCL,AEL,INSTINCT,HPXL,PXIL,PUNJAB,NVVNL,SECI_Trader,SECI_Trader,SJVNL,
,,MSEB_State,DELHI_UT,MSEB_State,UTTARAKHAND_STATE,NA,NA,KARNATAKA_STATE,MSEB_State,NA,NA,KERALA_State,MSEB_State,NA,NA,Manipur_State,MP_State,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,GOA_State,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,NA,Arunachal_State,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,NA,
,,MSEB_Beneficiary,BAWANA_GAS,A_A_Energy_MH_Bio,UTTARAKHAND,TPSL_BKN2,RSRPL_BKN,NSLSUGAR,AEML,JHAJJAR,SORANG_HEP,KSEB,AEML,Kameng,JPNIGRIE_JNSTPP,Manipur_Ben,Continuum_WFDPL_MP,SINGOLI,RKM_POWER,JPL2,HP,JPL2,TRN_ENERGY,APL_Raigarh_TPP,GBHHPL,SIMHAPURI,RKM_POWER,JPL2,GOA_Beneficiary,NHCPL_HP,HP,ITCWIND,JITPL,CHANJUII,SKS_Raigarh,Arunachal_Ben,SIMHAPURI,APL_Raigarh_TPP,JPL2,MAHAN_ENERGEN,SKS_Raigarh,BAWANA_GAS,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,TPSL_BKN2,
,,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,HARYANA,MES_Delhi,BYPL,NDMC,NDMC,MES_Delhi,BRPL,TPDDL,TPDDL,BYPL,BYPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,NDMC,NDMC,BYPL,TPDDL,NDMC,BRPL,DIAPL,BRPL,NDMC,BRPL,BRPL,MES_Delhi,BRPL,ITCLH,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,MES_Delhi,TPDDL,BYPL,NDMC,
,,West-North,North-North,West-North,North-North,North-North,North-North,South-East-West-North,West-North,North-North,North-North,South-West-North,West-North,North East-East-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,South-East-North,West-North,West-North,West-North,North-North,North-North,South-West-North,East-North,North-North,West-North,North East-East-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.63,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,33.7,32,0,0,0,0,1606.4200000000005

2,00:15-00:30,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.63,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,33.7,32,0,0,0,0,1606.4200000000005

3,00:30-00:45,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.63,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,33.7,32,0,0,0,0,1606.4200000000005

