Block,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01122023/15122023/HP-15,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,WR/01102023/24112044/L_NR_2020_07,NR/08122023/15122023/HP-19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/06022042/L_NR_2012_02,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/30042040/GNA_LT_35,NR/01102023/02012046/L_NR_2021_17,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,0.000000,0.000000,25.950000,57.250000,1.240000,1.370000,0.000000,46.140000,96.130000,24.030000,1.850000,192.260000,7.33,127.830000,22,0,48.06,0,32.710000,25.950000,20,7,0,0,7.34,0,0,71.520000,9.51,113.430000,20,0,0.000000,0,0,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,25.950000,57.250000,1.240000,1.370000,0.000000,46.140000,96.130000,24.030000,1.850000,192.260000,7.33,127.830000,22,0,48.06,0,32.710000,25.950000,19.51,7,0,0,7.34,0,0,71.520000,9.18,113.430000,19.51,0,0.000000,0,0,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,25.950000,57.250000,1.240000,1.370000,0.000000,46.140000,96.130000,24.030000,1.850000,192.260000,7.33,127.830000,22,0,48.06,0,32.710000,25.950000,18.67,7.01,0,0,7.34,0,0,71.520000,9.2,113.430000,18.67,0,0.000000,0,0,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,25.950000,57.250000,1.240000,1.370000,0.000000,46.140000,96.130000,24.030000,1.850000,182.650000,7.33,127.830000,22,0,48.06,0,32.710000,25.950000,18.33,7.01,0,0,7.34,0,0,71.520000,9.01,113.430000,18.33,0,0.000000,0,0,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,25.950000,57.250000,1.240000,1.370000,0.000000,46.140000,96.130000,24.030000,1.850000,173.030000,11.66,127.830000,34.97,0,48.06,0,32.710000,25.950000,18.65,7.01,0,0,11.65,0,0,71.520000,8.84,113.430000,18.65,0,0.000000,0,0,0,0,0,0,0

