Block,Time,NLCEXP,NLCIIST1,RAPPB,UNCHAHAR1,UNCHAHAR3,URI,VALLURNTECL,ANTA_RF,DADRI_CRF,KOLDAM,MAPS,NTPL,RAPPC,RAPPD,RIHAND1,SIMHST1,ANTA_LF,DADRI_RF,CHAMERA1,DADRT2,JHAJJAR,KHSTPP-II,SINGRAULI_HYDRO,TALST2,TelanganaSTPP,UNCHAHAR2,URI2,DADRI_LF,KKNP,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,TEHRI,ANTA_CRF,BRBCL,DHAULIGNGA,DULHASTI,KKNPPU2,KUDGI,PARBATI2,SEWA2,TANAKPUR,TANDA2,AURY_CRF,CHAMERA3,KGSU3AND4,NAPP,NNTPP,RIHAND3,RSTPSU7,SIMHST2,AURY_LF,DADRI_GF,CHAMERA2,FSTPP I & II,KGSU1AND2,KHSTPP-I,KOTESHWR,RSTPSU1TO6,SINGRAULI,TEHRIPSP,UNCHAHAR4,AURY_RF,BSIUL,KISHANGANGA,PARBATI3,RIHAND2,SALAL,SASAN,TALA,ANTA_GF,AURY_GF
1,00:00-00:15,0,0,0,22.41,18.69,35.33,0,52.09,0,8.63,0,0,65.43,38.75,48.09,0,0,105.4,28.1,689.39,444.85,148.3,0,0,0,44.52,36.96,0,0,175.8,0,0,5.68,82.67,0,18.75,30.7,37.42,0,0,0,18.87,13.11,5.73,0,0,0,24.36,0,130.84,0,0,0,0,0,20.8,0,34.29,45.08,0,113.75,207.96,3.23,82.34,0,6.97,44.61,125.27,84.83,236.25,19.58,0,0

2,00:15-00:30,0,0,0,22.41,14.93,35.33,0,52.09,0,8.63,0,0,65.43,38.75,48.09,0,0,105.4,28.1,689.39,444.85,148.3,0,0,0,44.52,36.96,0,0,175.8,0,0,5.68,82.67,0,18.75,30.7,37.42,0,0,0,18.87,13.11,5.73,0,0,0,24.36,0,130.84,0,0,0,0,0,20.8,0,34.29,45.08,0,113.75,207.96,3.23,82.34,0,6.97,44.61,125.27,84.83,236.25,19.58,0,0

3,00:30-00:45,0,0,0,22.41,0,13.25,0,52.09,0,8.63,0,0,65.43,38.75,48.09,0,0,105.4,28.1,689.39,444.85,148.3,0,0,0,44.52,26.5,0,0,175.8,0,0,5.68,82.67,0,18.75,30.7,37.42,0,0,0,18.87,13.11,5.73,0,0,0,24.36,0,130.84,0,0,0,0,0,20.8,0,34.29,45.08,0,113.75,207.96,3.23,82.34,0,6.97,44.61,125.27,84.83,236.25,19.58,0,0

4,00:45-01:00,0,0,0,22.41,0,13.25,0,52.09,0,8.63,0,0,65.43,38.75,48.09,0,0,105.4,28.1,689.39,444.85,148.3,0,0,0,44.52,26.5,0,0,175.8,0,0,5.68,82.67,0,18.75,30.7,37.42,0,0,0,18.87,13.11,5.73,0,0,0,24.36,0,130.84,0,0,0,0,0,20.8,0,34.29,45.08,0,113.75,207.96,3.23,82.34,0,6.97,44.61,125.27,84.83,236.25,19.58,0,0

5,01:00-01:15,0,0,0,22.41,0,13.25,0,52.34,0,8.63,0,0,65.43,38.75,48.09,0,0,105.4,28.1,689.39,444.85,148.3,0,0,0,44.52,36.96,0,0,175.8,0,0,5.68,82.67,0,18.75,30.7,37.42,0,0,0,18.87,13.11,5.73,0,0,0,24.36,0,130.84,0,0,0,0,0,20.8,0,34.29,45.08,0,113.75,207.96,3.23,82.34,0,6.97,46.09,125.27,84.83,236.25,19.58,0,0

