Block,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/15082037/GNA_NR_2012_01,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/31102037/L_NR_2019_11,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/05012040/L_NR_2020_02,NR/01072024/31072024/R2,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_02,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/14082046/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/19072037/LT-05,NR/01102023/02012046/L_NR_2021_17,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,0.000000,10.390000,81.930000,30.280000,0.000000,86.940000,0.000000,0.000000,81.930000,100.420000,12.420000,32.770000,10.580000,14.340000,8.340000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,16.66,15.5,0,261.700000,0,0,0,0,33.67,26.81,0,15.5,0,0,115.220000,0,14.030000,0,61.450000,33.67,0,46.5,0,0,13.730000,0

2,00:15-00:30,0.000000,10.390000,81.930000,30.280000,0.000000,86.940000,0.000000,0.000000,81.930000,100.420000,12.420000,32.770000,10.580000,14.340000,8.340000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,16.34,15.66,0,261.700000,0,0,0,0,33.33,26.61,0,15.67,0,0,115.220000,0,14.030000,0,61.450000,33.33,0,47,0,0,13.730000,0

3,00:30-00:45,0.000000,10.390000,81.930000,29.260000,0.000000,86.940000,0.000000,0.000000,81.930000,100.420000,12.420000,32.770000,10.580000,14.340000,8.340000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,16.34,15.66,0,261.700000,0,0,0,0,33.33,26.61,0,15.67,0,0,115.220000,0,14.030000,0,61.450000,33.33,0,47,0,0,13.730000,0

4,00:45-01:00,0.000000,10.390000,81.930000,29.260000,0.000000,86.940000,0.000000,0.000000,81.930000,100.420000,12.420000,32.770000,10.580000,14.340000,8.340000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,14.66,15.66,0,261.700000,0,0,0,0,33.33,26.01,0,15.67,0,0,115.220000,0,14.030000,0,61.450000,33.33,0,47,0,0,13.730000,0

5,01:00-01:15,0.000000,10.390000,81.930000,29.260000,0.000000,76.430000,0.000000,0.000000,81.930000,60.730000,12.420000,32.770000,10.580000,14.340000,8.150000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,15.34,15.84,0,261.700000,0,0,0,0,33.67,26.01,0,15.83,0,0,115.220000,0,15.960000,0,61.450000,33.67,0,47.5,0,0,13.730000,0

6,01:15-01:30,0.000000,10.390000,81.930000,29.260000,0.000000,76.430000,0.000000,0.000000,81.930000,65.550000,12.420000,32.770000,10.580000,14.340000,8.150000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,14.34,15.84,0,261.700000,0,0,0,0,31.67,28.01,0,15.83,0,0,115.220000,0,15.960000,0,61.450000,31.67,0,47.5,0,0,13.730000,0

7,01:30-01:45,0.000000,10.390000,81.930000,29.260000,0.000000,76.010000,0.000000,0.000000,81.930000,70.360000,12.420000,32.770000,10.580000,14.340000,8.150000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,13,16,0,261.700000,0,0,0,0,31.67,35.22,0,16,0,0,115.220000,0,25.030000,0,61.450000,31.67,0,48,0,0,13.730000,0

8,01:45-02:00,0.000000,10.390000,81.930000,28.760000,0.000000,76.010000,0.000000,0.000000,81.930000,75.180000,12.420000,32.770000,10.580000,14.340000,8.150000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,12,16,0,261.700000,0,0,0,0,31,35.02,0,16,0,0,115.220000,0,25.030000,0,61.450000,31,0,48,0,0,13.730000,0

9,02:00-02:15,0.000000,10.390000,81.930000,28.760000,0.000000,76.010000,0.000000,0.000000,81.930000,70.360000,12.420000,32.770000,10.580000,14.340000,7.970000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,10.34,10,0,261.700000,0,0,0,0,31.67,34.62,0,10,0,0,85.000000,0,25.030000,0,61.450000,31.67,0,30,0,0,5.780000,0

10,02:15-02:30,0.000000,10.390000,81.930000,28.760000,0.000000,76.010000,0.000000,0.000000,81.930000,53.010000,12.420000,32.770000,10.580000,14.340000,7.970000,20.480000,163.860000,0.000000,132.300000,30.840000,0.000000,0.000000,10.34,10,0,227.080000,0,0,0,0,32,34.42,0,10,0,0,70.270000,0,25.030000,0,61.450000,32,0,30,0,0,5.780000,0

11,02:30-02:45,0.000000,10.390000,81.930000,28.760000,0.000000,57.540000,0.000000,0.000000,81.930000,53.010000,12.420000,32.770000,10.580000,14.340000,7.970000,20.480000,163.860000,0.000000,132.300000,25.900000,0.000000,0.000000,10.34,10,0,227.080000,0,0,0,0,45,35.02,0,10,0,0,70.270000,0,25.900000,0,61.450000,45,0,30,0,0,5.780000,0

