Column1,Time,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/5280,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/04/01/8964,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/2569,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,0,0,70.37,2.62,5.54,201.12,0,25.23,4.98,100.55,272.91,0,0,26.7,26.7,69.09,11.82,20.51,4.48,11.9,9.07,11.89,20.51,41.02,4.3,0,41.02,20.51,41.02,17.37,53.33,22.67,22.67,67.99,0,41.67,41.67,32.41,28.67,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,77.07,2.62,5.54,201.12,0,25.23,4.98,100.55,272.91,0,0,26.7,26.7,69.09,11.82,20.51,4.48,11.9,9.07,11.89,20.51,41.02,4.3,0,41.02,20.51,41.02,17.37,53.33,22.67,22.67,67.99,0,41.67,41.67,31.61,29,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,86.43,2.62,5.54,201.12,0,25.74,4.98,100.55,272.91,0,0,26.7,26.7,69.09,11.82,20.51,4.48,11.9,9.07,11.89,20.51,41.02,4.3,0,41.02,20.51,41.02,17.37,53.33,22.83,22.83,68.51,0,36.67,36.67,31.41,20,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,78.35,2.62,5.54,201.12,0,25.74,4.98,100.55,272.91,0,0,26.7,26.7,69.09,11.82,20.51,4.48,11.9,9.07,11.89,20.51,41.02,4.3,0,41.02,20.51,41.02,17.37,53.33,23,23,69,0,36.67,36.67,31.01,20.33,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,75.79,2.62,5.39,201.12,0,25.74,4.98,100.55,272.91,0,0,26.7,26.7,69.09,11.73,20.51,4.48,11.9,9.07,11.89,20.51,41.02,4.3,0,41.02,20.51,41.02,17.37,53.33,23.5,23.5,70.5,0,36.67,36.67,30.61,21.66,0,0,0,0,0,0,0,0,0,0

