Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,30.970000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.580000,3.490000,30.970000,0,0,0,7.01,0,8.03,0,26.68,0,24.09,0,0,0,9.45,0,26.68,8.03,0,0

2,00:15-00:30,30.970000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.580000,3.490000,30.970000,0,0,0,7.01,0,8.21,0,26.73,0,24.63,0,0,0,9.46,0,26.73,8.21,0,0

3,00:30-00:45,30.970000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.580000,3.490000,30.970000,0,0,0,7.01,0,8.28,0,26.79,0,24.84,0,0,0,9.42,0,26.79,8.27,0,0

4,00:45-01:00,30.970000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.580000,3.490000,30.970000,0,0,0,7.01,0,8.37,0,26.84,0,25.12,0,0,0,7,0,26.84,8.37,0,0

5,01:00-01:15,30.000000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.580000,3.400000,30.970000,0,0,0,7.01,0,8.58,0,26.9,0,25.75,0,0,0,7,0,26.9,8.59,0,0

6,01:15-01:30,30.000000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.580000,3.400000,30.970000,0,0,0,7.01,0,8.71,0,26.95,0,26.14,0,0,0,7,0,26.95,8.72,0,0

7,01:30-01:45,30.000000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.580000,3.400000,30.970000,0,0,0,7.01,0,9.16,0,37.18,0,27.48,0,0,0,7,0,37.18,9.15,0,0

8,01:45-02:00,30.000000,3.160000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,1.950000,3.400000,30.970000,0,0,0,7.01,0,9.32,0,36.74,0,27.96,0,0,0,7,0,36.74,9.32,0,0

9,02:00-02:15,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,9.87,0,36.36,0,29.62,0,0,0,7,0,36.36,9.87,0,0

10,02:15-02:30,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,10.57,0,35.93,0,31.7,0,0,0,7.47,0,35.93,10.55,0,0

11,02:30-02:45,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,11.07,0,41.99,0,33.2,0,0,0,7.44,0,41.99,11.05,0,0

12,02:45-03:00,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,11.42,0,41.18,0,34.25,0,0,0,7.53,0,41.18,11.41,0,0

13,03:00-03:15,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,11.68,0,40.66,0,35.05,0,0,0,7.76,0,40.66,11.68,0,0

14,03:15-03:30,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,11.64,0,40.07,0,34.91,0,0,0,7.84,0,40.07,11.63,0,0

15,03:30-03:45,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,11.6,0,39.8,0,34.81,0,0,0,7.93,0,39.8,11.6,0,0

16,03:45-04:00,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,2.110000,0,0,0,7.01,0,11.57,0,39.48,0,34.7,0,0,0,8.03,0,39.48,11.55,0,0

17,04:00-04:15,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,30.970000,0,0,0,7.01,0,14.17,0,39.15,0,42.52,0,0,0,9.6,0,39.15,14.18,0,0

18,04:15-04:30,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,30.970000,0,0,0,7.01,0,13.75,0,38.88,0,41.25,0,0,0,9.56,0,38.88,13.75,0,0

19,04:30-04:45,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.350000,3.400000,30.970000,0,0,0,7.01,0,13.37,0,46.15,0,40.12,0,0,0,9.52,0,46.15,13.38,0,0

20,04:45-05:00,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.270000,3.400000,30.970000,0,0,0,7.01,0,12.94,0,45.82,0,38.82,0,0,0,9.39,0,45.82,12.94,0,0

21,05:00-05:15,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.190000,3.400000,30.970000,0,0,0,7.01,0,12.29,0,45.44,0,36.88,0,0,0,9.27,0,45.44,12.3,0,0

22,05:15-05:30,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.190000,3.400000,30.970000,0,0,0,7.01,0,11.67,0,45.15,0,35.01,0,0,0,9.19,0,45.15,11.66,0,0

23,05:30-05:45,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.190000,3.400000,30.970000,0,0,0,7.01,0,11.17,0,44.07,0,33.5,0,0,0,9.05,0,44.07,11.16,0,0

24,05:45-06:00,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.190000,3.400000,30.970000,0,0,0,7.01,0,10.75,0,43.66,0,32.26,0,0,0,8.86,0,43.66,10.75,0,0

25,06:00-06:15,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.190000,3.400000,2.110000,0,0,0,7.01,1.45,12.44,0,43.22,0,37.33,0,0,0,8.62,0,43.22,12.44,0,0

26,06:15-06:30,29.040000,3.080000,0.000000,101.380000,0.000000,111.310000,30.970000,0.000000,74.220000,0.000000,272.220000,226.490000,3.190000,3.400000,2.110000,0,0,1.284756,7.01,3,12.09,0,42.74,0,36.27,0,0,0,8.49,0,42.74,12.09,0,0

27,06:30-06:45,29.040000,3.080000,0.010000,101.380000,0.000000,111.310000,30.970000,0.010000,74.220000,0.010000,272.220000,226.490000,3.190000,3.400000,2.110000,1,0.23,9.275549,7.01,8,11.8,4,41.74,0,35.41,1.48,0.64,0.05,8.29,2,41.74,11.81,3,0.32

28,06:45-07:00,29.040000,3.080000,0.170000,101.380000,0.000000,111.310000,30.970000,0.170000,74.220000,0.170000,272.220000,226.490000,3.190000,3.400000,2.110000,7.64,2.01,18.697093,7.01,15,11.51,7,40.82,0.33,34.52,5.47,2.34,0.4,8.01,3,40.82,11.49,15,1.08

29,07:00-07:15,29.040000,3.080000,0.730000,101.380000,0.000000,111.310000,30.970000,0.710000,74.220000,0.710000,272.220000,226.490000,3.190000,3.400000,2.110000,19.35,10.85,27.515191,7.01,19.35,13.34,4,40.93,2.33,40.03,12.29,5.27,2.17,7.77,2,40.93,13.35,19.35,2.55

