Time,Block,NR/2023/12485/D,NR/2023/10613/A,NR/2023/12503/C,NR/2023/11941/F,NR/2023/11958/F,NR/2023/12481/D,NR/2023/11963/F,NR/2023/12504/C,NR/2023/10434/A,NR/2023/11955/F,NR/2023/10611/A,NR/2023/11952/F,NR/2023/11330/A,NR/2023/12497/C,NR/2023/12484/D,NR/2023/11959/F,NR/2023/11642/A,NR/2023/12482/D,NR/2023/11476/A,NR/2023/12506/C,NR/2023/10236/A,NR/2023/10229/A,NR/2023/12499/C,NR/2023/10344/A,NR/2023/11862/F,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/10944/A,NR/2023/11643/A,NR/2023/11962/F,NR/2023/11956/F,NR/2023/11960/F,NR/2023/10487/A,NR/2023/12495/C,Total
,,TS1PL_BKN,APPCPL,HPXL,NVVNL,SHPPBPL,NVVNL,SHPPBPL,PXIL,NVVNL,SHPPBPL,APPCPL,KEIPL,APPCPL,HPXL,NVVNL,SHPPBPL,MANIKARAN,TS1PL_BKN,IEXL,GBHHPL,NVVNL,NVVNL,HPXL,BYPL,APPCPL,SHPPBPL,HPXL,SHPPBPL,IEXL,APPCPL,MANIKARAN,SHPPBPL,SHPPBPL,SHPPBPL,TPTCL,TPDDL,Total

,,NA,NAGALAND,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,MEGHALAYA,MANIPUR,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,
,,TS1PL_BKN,Nagaland_Ben,MAHAN ENERGEN,SKS Raigarh,SHPPBPL,SOLAPUR_SOLAR,SHPPBPL,JSWEL,SEIL,SHPPBPL,Arunachal_Ben,Meghalaya_Ben,HP,Teesta_III,KAMENG,SHPPBPL,HP,TS1PL_BKN,JSPL_DCPP,GBHHPL,ILFS,JPNIGRIE_JNSTPP,JSWEL MSEB,Meghalaya_Ben,Manipur_Ben,SHPPBPL,B_S_ISPAT_MH,SHPPBPL,NAVABHARAT,HP,HP,SHPPBPL,SHPPBPL,SHPPBPL,APNRL,CHANJUII,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,BYPL,NDMC,AISHER,MES (Delhi),UHL,BRPL,TPDDL,BAL184,BYPL,BYPL,BRPL,BRPL,TPDDL,BMDRC,BRPL,BYPL,BRPL,DIAPL,BRPL,BRPL,BRPL,BYPL,STT,BAL234,NDMC,JHPL-DL,BRPL,BYPL,BRPL,MHIL,BAL224,MAX-HPTL,TPDDL,TPDDL,
,,North-North,North East-East-North,West-North,West-North,North-North,West-North,North-North,South-West-North,South-West-North,North-North,North East-East-North,North East-East-North,North-North,East-North,North East-East-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North East-East-North,North East-East-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,East-North,North-North,
1,00:00-00:15,0,12.620000,72.250000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,288.990000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.690000,1251.82

2,00:15-00:30,0,12.620000,67.430000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,310.180000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.690000,1268.19
