Block,Time Block,RAMPUR,NNTPP,RAPPC,NAPP,NTPL,PARBATI3,RAPPB,NLCEXP,RIHAND2,NLCIIST1,NJPC,NLCIIST2,RIHAND1,NLCTS2EXP,KUDGI,MAPS,KOTESHWR,KGSU1AND2,KKNP,KGSU3AND4,KHSTPP-II,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,BSIUL,CHAMERA1,DHAULIGNGA,BRBCL,CHAMERA3,DADRT2,CHAMERA2,FSTPP I & II,DULHASTI,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,AURY_LF,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,TEHRI,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,SASAN,TALST2,ANTA_LF,UNCHAHAR2,URI,ANTA_GF,ANTA_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,95.32,0,0,0,42.72,235.66,0,0,0,19.28,0,546.79,0,17.28,15.89,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,18.56,34.06,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

2,00:15-00:30,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,95.32,0,0,0,42.72,235.66,0,0,0,19.28,0,522.69,0,17.28,15.89,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,34.06,0,0,14.94,0,0,18.15,19.33,0,0,0,0,0,0

3,00:30-00:45,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,95.32,0,0,0,42.72,235.66,0,0,0,18.19,0,498.58,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,2.66,0,0,14.94,0,0,18.15,19.33,0,0,0,0,0,0

4,00:45-01:00,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,95.32,0,0,0,42.72,235.66,0,0,0,16.25,0,498.58,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,1.28,0,0,14.94,0,0,18.15,19.33,0,0,0,0,0,0

5,01:00-01:15,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,91.36,0,0,0,37.66,235.66,0,0,0,15.31,0,498.58,0,15.08,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,1.28,0,0,14.94,0,0,18.15,19.33,0,0,0,0,0,0

6,01:15-01:30,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,91.36,0,0,0,37.66,235.66,0,0,0,14.43,0,474.48,0,15.08,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,1.28,0,0,14.94,0,0,18.15,19.33,0,0,0,0,0,0

7,01:30-01:45,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,91.36,0,0,0,37.66,235.66,0,0,0,13.56,0,450.38,0,15.08,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,13.45,0,134.67,119.86,0,401.31,0,0,20.43,1.28,0,0,14.94,0,0,18.15,19.33,0,0,0,0,0,0

8,01:45-02:00,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,91.36,0,0,0,37.66,235.66,0,0,0,15.74,0,426.28,0,15.08,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,67.22,0,134.67,119.86,0,401.31,0,0,20.43,1.28,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

9,02:00-02:15,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,95.32,0,0,0,42.72,235.66,0,0,0,15.28,0,402.17,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,67.22,0,134.67,119.86,0,401.31,0,0,20.43,1.28,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

10,02:15-02:30,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,95.32,0,0,0,36.83,235.66,0,0,0,14.52,0,402.17,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,67.22,0,134.67,119.86,0,401.31,0,0,20.43,2.66,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

11,02:30-02:45,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,82.17,0,0,0,36.83,235.66,0,0,0,14.93,0,402.17,0,17.28,15.89,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,67.22,0,134.67,119.86,0,401.31,0,0,20.43,34.06,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

12,02:45-03:00,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,82.17,0,0,0,36.83,235.66,0,0,0,16.38,0,402.17,0,17.28,15.89,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,12.32,0,134.67,119.86,0,401.31,0,0,20.43,34.06,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

13,03:00-03:15,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,82.17,0,0,0,36.83,235.66,0,0,0,15.26,0,402.17,0,17.28,15.89,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,12.32,0,134.67,119.86,0,401.31,0,0,20.43,2.66,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

14,03:15-03:30,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,82.17,0,0,0,36.83,235.66,0,0,0,14.7,0,402.17,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,12.32,0,134.67,119.86,0,401.31,0,0,20.43,1.07,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

15,03:30-03:45,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,82.17,0,0,0,36.83,235.66,0,0,0,16.85,0,426.28,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,1.07,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

16,03:45-04:00,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,82.17,0,0,0,36.83,235.66,0,0,0,19.28,0,426.28,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,1.07,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

17,04:00-04:15,0,0,50.77,40.77,0,0,0,0,114.5,0,0,0,88.7,0,0,0,8.55,0,0,0,82.17,0,0,0,36.83,235.66,0,0,0,19.28,0,450.38,0,17.28,15.89,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,2.25,0,134.67,119.86,0,401.31,0,0,20.43,1.07,0,0,14.94,0,0,4.41,19.33,0,0,0,0,0,0

