Block,Time,BRBCL,JHAJJAR,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,MAPS,NNTPP,RSTPSU1TO6,SINGRAULI,DADRI_RF,CHAMERA2,KOTESHWR,PARBATI3,RAPPC,SALAL,UNCHAHAR1,UNCHAHAR3,ANTA_GF,FSTPP I & II,RAPPB,SASAN,SINGRAULI_HYDRO,TALST2,TANAKPUR,UNCHAHAR2,ANTA_RF,DADRI_GF,CHAMERA3,DADRT2,NLCIIST1,NLCIIST2,NTPL,RAMPUR,RIHAND3,TANDA2,ANTA_LF,AURY_RF,DADRI_CRF,BSIUL,DHAULIGNGA,KHSTPP-II,KUDGI,NLCEXP,NLCTS2EXP,SIMHST2,URI2,VALLURNTECL,DULHASTI,KGSU1AND2,RSTPSU7,SEWA2,TALA,TEHRI,DADRI_LF,CHAMERA1,KHSTPP-I,NJPC,RIHAND1,AURY_CRF,KGSU3AND4,NAPP,RIHAND2,SIMHST1,TelanganaSTPP,UNCHAHAR4,URI,ANTA_CRF,AURY_GF,AURY_LF
1,00:00-00:15,15,654.31,0,0,0,0,0,0,0,132.75,66.85,12.66,8.87,0,51.64,26.14,20.56,0,0,14.3,0,405,0,0,13.06,42.4,42.74,0,9.68,341.57,0,0,0,0,124.32,0,0,69.5,0,0,9.11,148.3,0,0,0,0,26.9,0,32.96,0,0,0,9.11,46.69,21.92,0,44.92,46.78,45,0,0,41.44,118.76,0,0,0,5.19,0,0,0

2,00:15-00:30,15,654.31,0,0,0,0,0,0,0,132.75,66.85,12.66,8.87,0,51.64,26.14,20.56,0,0,14.3,0,405,0,0,13.06,42.4,42.74,0,9.68,341.57,0,0,0,0,124.32,0,0,69.5,0,0,9.11,148.3,0,0,0,0,26.9,0,32.96,0,0,0,9.11,29.87,21.92,0,44.92,46.78,45,0,0,41.44,118.76,0,0,0,5.19,0,0,0

3,00:30-00:45,15,654.31,0,0,0,0,0,0,0,132.75,66.85,12.66,8.87,0,51.64,12.78,20.56,0,0,14.3,0,405,0,0,13.06,42.4,42.74,0,9.68,341.57,0,0,0,0,124.32,0,0,69.5,0,0,9.11,148.3,0,0,0,0,26.9,0,32.96,0,0,0,9.11,14.93,21.92,0,44.92,46.78,45,0,0,41.44,118.76,0,0,0,5.19,0,0,0

4,00:45-01:00,15,654.31,0,0,0,0,0,0,0,132.75,66.85,12.66,8.87,0,51.64,12.78,20.56,0,0,14.3,0,405,0,0,13.06,42.4,42.74,0,9.68,341.57,0,0,0,0,124.32,0,0,69.5,0,0,9.11,148.3,0,0,0,0,26.9,0,32.96,0,0,0,9.11,14.93,21.92,0,44.92,46.78,45,0,0,41.44,118.76,0,0,0,5.19,0,0,0

5,01:00-01:15,15,654.31,0,0,0,0,0,0,0,102,66.85,12.66,8.87,0,51.64,12.78,20.56,0,0,14.3,0,405,0,0,11.53,42.4,42.74,0,0,341.57,0,0,0,0,124.32,0,0,69.5,0,0,9.11,148.3,0,0,0,0,26.9,0,32.96,0,0,0,9.11,14.93,21.92,0,44.92,46.78,45,0,0,41.44,118.76,0,0,0,5.19,0,0,0

6,01:15-01:30,15,654.31,0,0,0,0,0,0,0,102,66.85,12.66,8.87,0,51.64,12.78,20.56,0,0,14.3,0,405,0,0,11.53,42.4,42.74,0,0,341.57,0,0,0,0,124.32,0,0,69.5,0,0,9.11,148.3,0,0,0,0,26.9,0,32.96,0,0,0,9.11,14.93,21.92,0,44.92,46.78,45,0,0,41.44,118.76,0,0,0,5.19,0,0,0

7,01:30-01:45,15,654.31,0,0,0,0,0,0,0,102,66.85,2.4,8.87,0,51.64,12.78,20.56,0,0,14.3,0,405,0,0,11.53,42.4,42.74,0,0,341.57,0,0,0,0,124.32,0,0,69.5,0,0,9.11,148.3,0,0,0,0,5.38,0,32.96,0,0,0,6.76,14.93,21.92,0,44.92,46.78,45,0,0,41.44,118.76,0,0,0,5.19,0,0,0

