Block,Time,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/01032024/22032024/HP-56,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/23072042/L_NR_2012_04,WR/01102023/30052048/L_NR_2022_10,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/25072045/L_NR_2021_15,NR/16032024/22032024/HP-63,NR/01102023/30042040/GNA_LT_35,NR/01032024/31032024/NVVN/OA/16997,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/22102023/11042047/L_NR_2021_17,NR/01032024/31032024/SJVN010324NR1589,WR/01102023/01102023/L_NR_2022_09,NR/01102023/31052040/LT-31,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/26072023/25122043/L_NR_2023_10,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/01102023/06022042/L_NR_2012_07,L_NR_2019_19,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,NR/01012024/31032024/ ChanjuII,WR/01102023/01102023/L_NR_2020_06,NR/01032024/22032024/HP-59,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/01032024/31032024/SJVN010324NR1588
1,00:00-00:15,1.550000,1.460000,30.900000,9.66,0,0,76.750000,32.5,0,0,271.550000,36.67,130.630000,0.000000,33.120000,0,78.790000,0.000000,48.280000,48.28,0,0,36.67,0.000000,48.28,0,26.070000,1.390000,0,0,87.090000,0,0,100.050000,0,0,26.070000,0.000000,7.41,10.83,0.000000,10.84,32.860000,193.100000,0,0,0

2,00:15-00:30,1.550000,1.460000,30.900000,10,0,0,76.750000,33.5,0,0,271.550000,38.33,130.630000,0.000000,33.120000,0,78.790000,0.000000,48.280000,48.28,0,0,38.33,0.000000,48.28,0,26.070000,1.390000,0,0,87.090000,0,0,100.050000,0,0,26.070000,0.000000,7.41,11.17,0.000000,11.16,32.860000,193.100000,0,0,0

3,00:30-00:45,1.550000,1.460000,25.710000,10.66,0,0,76.750000,35.5,0,0,271.550000,40,130.630000,0.000000,33.120000,0,78.790000,0.000000,48.280000,48.28,0,0,40,0.000000,48.28,0,25.710000,1.390000,0,0,87.090000,0,0,100.050000,0,0,26.070000,0.000000,7.41,11.83,0.000000,11.84,32.860000,193.100000,0,0,0

4,00:45-01:00,1.550000,1.460000,25.710000,11.66,0,0,76.750000,38.5,0,0,271.550000,42,130.630000,0.000000,33.120000,0,78.790000,0.000000,48.280000,48.28,0,0,42,0.000000,48.28,0,25.710000,1.390000,0,0,87.090000,0,0,100.050000,0,0,26.070000,0.000000,7.41,12.83,0.000000,12.84,32.860000,193.100000,0,0,0

5,01:00-01:15,1.480000,1.420000,25.710000,12,0,0,76.750000,39.5,0,0,271.550000,43.67,130.630000,0.000000,35.200000,0,78.790000,0.000000,48.280000,48.28,0,0,43.67,0.000000,48.28,0,25.710000,1.390000,0,0,63.320000,0,0,100.050000,0,0,26.070000,0.000000,7.41,13.17,0.000000,13.16,32.860000,193.100000,0,0,0

