Block,Time Block,SIMHST1,SINGRAULI_HYDRO,RAMPUR,RSTPSU1TO6,SIMHST2,TALA,RAPPC,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,NTPL,PARBATI3,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,BRBCL,BSIUL,KUDGI,MAPS,KKNPPU2,KOTESHWR,KOLDAM,NAPP,NLCEXP,NJPC,KHSTPP-II,KKNP,KISHANGANGA,KGSU1AND2,KHSTPP-I,KGSU3AND4,AURY_RF,ANTA_RF,DADRI_LF,AURY_LF,ANTA_LF,DADRI_GF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,DADRI_RF,FSTPP I & II,DHAULIGNGA,DULHASTI,CHAMERA3,DADRT2,CHAMERA2,JHAJJAR,CHAMERA1,TANDA2,TALST2,TANAKPUR,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,ANTA_CRF,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,3.42,0,0,9.94,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,20.36,0,0,0,0,19.32,12.59,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,3.86,1.75,0,0,0,0,0,0,0,0,4.89,20.09,39.01,51.95,30.98,662.52,42.7,399.62,27.14,2.7,0,10.77,0,9.56,1.56,34.81,26.12,0,0,41.57,39.45,32.84,0,0,0,0,0

2,00:15-00:30,0,0,3.42,0,0,9.94,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,20.36,0,0,0,0,19.32,12.59,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,639.17,42.7,399.62,27.14,2.7,0,10.77,0,9.56,1.56,34.81,26.12,0,0,41.57,39.45,32.84,0,0,0,0,0

3,00:30-00:45,0,0,3.42,0,0,9.94,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,14.93,0,0,0,0,19.32,12.59,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,624.68,42.7,399.62,0,2.7,0,10.77,0,9.56,1.56,34.81,26.12,0,0,41.57,38.39,32.84,0,0,0,0,0

4,00:45-01:00,0,0,3.42,0,0,10.08,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,14.93,0,0,0,0,19.32,12.59,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,610.97,42.7,374.89,0,2.7,0,10.77,0,9.56,1.56,34.81,26.12,0,0,41.57,38.39,32.84,0,0,0,0,0

5,01:00-01:15,0,0,3.42,0,0,10.08,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,14.93,0,0,0,0,19.32,6.3,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,326.61,0,2.7,0,10.77,0,9.56,1.56,34.81,26.12,0,0,41.57,38.39,32.84,0,0,0,0,0

6,01:15-01:30,0,0,3.42,0,0,10.08,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,14.93,0,0,0,0,19.32,6.3,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,288.43,0,2.7,0,10.77,0,9.56,1.56,34.81,26.12,0,0,41.57,38.39,32.84,0,0,0,0,0

7,01:30-01:45,0,0,3.42,0,0,10.22,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,6.3,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,172.54,0,2.7,0,10.77,0,9.28,1.56,31.39,22.6,0,0,35.92,38.39,32.84,0,0,0,0,0

8,01:45-02:00,0,0,3.42,0,0,10.22,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,6.3,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,117.5,0,2.7,0,10.77,0,9.11,1.56,31.39,23.51,0,0,36.98,38.39,32.84,0,0,0,0,0

9,02:00-02:15,0,0,3.42,0,0,10.22,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,6.3,0,0,0,27.99,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,131.98,0,2.7,0,4.69,0,9.56,1.56,31.39,26.12,0,0,41.57,38.39,32.84,0,0,0,0,0

10,02:15-02:30,0,0,3.42,0,0,10.22,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,6.3,0,0,0,18.66,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,131.98,0,2.7,0,4.69,0,9.56,1.56,31.39,26.12,0,0,41.57,38.39,32.84,0,0,0,0,0

11,02:30-02:45,0,0,3.42,0,0,10.39,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,6.3,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,117.5,0,2.7,0,4.69,0,9.11,1.56,31.39,23.51,0,0,36.98,44.78,32.84,0,0,0,0,0

12,02:45-03:00,0,0,3.42,0,0,10.39,58.16,0,80.8,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,6.3,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,117.5,0,2.7,0,4.69,0,9.11,1.56,31.39,23.51,0,0,36.98,44.78,32.84,0,0,0,0,0

13,03:00-03:15,0,0,3.42,0,0,10.39,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,6.3,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,117.5,0,2.7,0,10.77,0,8.83,1.56,34.81,21.21,0,0,33.22,38.39,32.84,0,0,0,0,0

14,03:15-03:30,0,0,3.42,0,0,10.39,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,117.5,0,2.7,0,10.77,0,8.83,1.56,34.81,19.99,0,0,31.32,38.39,32.84,0,0,0,0,0

15,03:30-03:45,0,0,3.42,0,0,10.39,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,117.5,0,2.7,0,12.5,0,8.83,1.56,34.81,19.99,0,0,31.32,38.39,32.84,0,0,0,0,0

16,03:45-04:00,0,0,3.42,0,0,10.39,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,16.29,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,586.83,42.7,117.5,0,2.7,0,12.5,0,8.83,1.56,34.81,19.99,0,0,31.32,38.39,32.84,0,0,0,0,0

17,04:00-04:15,0,0,3.42,0,0,10.39,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,17.37,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,20.09,39.01,51.95,30.98,558.23,42.7,117.5,12.71,2.7,0,12.5,0,8.83,1.56,34.81,19.99,0,0,31.32,38.39,32.84,0,0,0,0,0

18,04:15-04:30,0,0,3.42,0,0,10.39,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,17.37,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,17.31,39.01,51.95,30.98,558.23,42.7,117.5,13.57,2.7,0,12.5,0,8.83,1.56,34.81,19.99,0,0,31.32,38.39,32.84,0,0,0,0,0

19,04:30-04:45,0,0,3.42,0,0,10.39,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,17.37,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,17.31,39.01,51.95,30.98,558.23,42.7,117.5,13.57,2.7,0,10.77,0,8.81,1.56,31.39,20,0,0,31.33,38.39,32.84,0,0,0,0,0

20,04:45-05:00,0,0,3.42,0,0,10.25,58.16,0,76.3,0,86.52,123.22,0,117.54,330.81,87.43,0,17.37,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,17.31,39.01,51.95,30.98,558.23,42.7,117.5,13.57,2.7,0,10.77,0,7.81,1.56,31.39,20,0,0,31.33,38.39,32.84,0,0,0,0,0

21,05:00-05:15,0,0,3.42,0,0,9.82,58.16,0,76.3,0,86.52,123.22,0,117.54,349.73,87.43,0,17.37,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,17.31,39.01,51.95,30.98,558.23,42.7,117.5,13.57,2.7,0,12.5,0,7.81,1.56,31.39,20,0,0,31.33,38.39,32.84,0,0,0,0,0

22,05:15-05:30,0,0,3.42,0,0,9.41,58.16,0,76.3,0,86.52,123.22,0,117.54,364.89,87.43,0,17.37,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,17.31,39.01,51.95,30.98,509.95,42.7,117.5,13.57,2.7,0,12.5,0,7.81,1.56,31.39,20,0,0,31.33,38.39,32.84,0,0,0,0,0

23,05:30-05:45,0,0,3.42,0,0,8.97,58.16,0,76.3,0,86.52,123.22,0,117.54,370.8,87.43,0,17.37,0,0,0,0,19.32,12.59,0,0,0,9.33,5.17,43.32,0,161.37,95.48,0,1.39,0,42.79,0,0,0,0,0,0,0,0,0,0,0,0,17.31,39.01,51.95,30.98,509.95,42.7,117.5,13.57,2.7,0,12.5,0,7.81,1.56,31.39,20,0,0,31.33,38.39,32.84,0,0,0,0,0

