Block,Time,RIHAND3,UNCHAHAR1,DADRT2,AURY_CRF,DADRI_LF,ANTA_LF,KOLDAM,ANTA_GF,TANAKPUR,KOTESHWR,RAPPC,SEWA2,UNCHAHAR3,UNCHAHAR4,RIHAND2,DHAULIGNGA,KISHANGANGA,DULHASTI,RAMPUR,CHAMERA2,DADRI_CRF,UNCHAHAR2,SINGRAULI_HYDRO,RIHAND1,NAPP,DADRI_GF,DADRI_RF,TANDA2,SINGRAULI,AURY_RF,ANTA_CRF,CHAMERA3,URI,NJPC,ANTA_RF,SALAL,PARBATI3,AURY_LF,JHAJJAR,CHAMERA1,BSIUL,RAPPB,AURY_GF,BRBCL,FSTPP I & II,KHSTPP-II,KHSTPP-I,URI2,TEHRI,TALA,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.621759,19.331490,664.322252,13.148702,0.000000,0.000000,0.000000,0.000000,12.886758,25.751461,49.345649,10.212134,25.527144,0.000000,99.943274,35.395151,0.000000,47.819981,0.000000,38.218139,20.313300,41.003944,0.000000,88.991600,36.880827,0.000000,0.000000,0.000000,134.754563,0.000000,0.000000,28.112454,32.036976,147.939346,0.000000,83.176192,0.000000,0.000000,631.792092,0.000000,6.307570,0.000000,0.000000,15.931094,13.782404,142.691864,30.825433,22.120603,43.876728,24.172827,400.462200,9.69,0,0,0,0,0

2,00:15-00:30,119.621759,19.331490,664.322252,13.148702,0.000000,0.000000,0.000000,0.000000,12.886758,25.751461,49.345649,10.212134,25.527144,0.000000,106.835627,35.395151,0.000000,47.819981,0.000000,38.218139,33.524006,41.003944,0.000000,88.991600,36.880827,0.000000,0.000000,0.000000,134.754563,0.000000,0.000000,28.112454,32.036976,147.939346,0.000000,83.176192,0.000000,0.000000,631.792092,0.000000,6.307570,0.000000,0.000000,15.520985,13.784025,142.691864,30.825433,22.120603,43.876728,24.172827,400.462200,9.69,0,0,0,0,0

3,00:30-00:45,119.621759,19.331490,664.322252,1.354037,0.000000,0.000000,0.000000,0.000000,11.771557,25.751461,49.345649,10.212134,25.527144,0.000000,114.262312,35.395151,0.000000,47.819981,0.000000,38.218139,19.819103,41.003944,0.000000,88.991600,36.880827,0.000000,0.000000,0.000000,134.754563,0.000000,0.000000,28.112454,32.036976,147.939346,0.000000,83.176192,0.000000,0.000000,631.792092,0.000000,6.307570,0.000000,0.000000,15.477502,13.784025,142.691864,30.825433,31.749572,43.876728,24.172827,400.462200,29.02,0,0,0,0,0

4,00:45-01:00,119.621759,19.331490,664.322252,0.000000,0.000000,0.000000,0.000000,0.000000,11.771557,25.751461,49.345649,10.212134,25.527144,0.000000,114.262312,35.395151,0.000000,47.819981,0.000000,38.218139,2.069261,41.003944,0.000000,88.991600,36.880827,0.000000,0.000000,0.000000,134.754563,0.000000,0.000000,28.112454,32.036976,147.939346,0.000000,83.176192,0.000000,0.000000,631.792092,0.000000,6.307570,0.000000,0.000000,16.629036,13.784025,142.691864,30.825433,31.749572,43.876728,24.172827,400.462200,29.02,0,0,0,0,0

5,01:00-01:15,119.621759,12.778420,664.322252,0.000000,0.000000,0.000000,0.000000,0.000000,11.771557,25.751461,49.345649,10.212134,24.052508,0.000000,114.262312,35.395151,0.000000,47.819981,0.000000,38.218139,0.000000,41.003944,0.592142,88.991600,36.880827,0.000000,0.000000,0.000000,134.754563,0.000000,0.000000,28.112454,32.036976,147.939346,0.000000,83.176192,0.000000,0.000000,625.577189,0.000000,6.307570,0.000000,0.000000,15.408898,13.784025,142.691864,30.825433,31.749572,43.876728,24.172827,400.462200,29.02,0,0,0,0,0

