Column1,Time,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/5590,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/09/01/7205,NR/01102023/31052040/LT-31,GNA/NR/2025/09/01/2909,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/4314,GNA/NR/2025/07/01/2952,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/8128,GNA/NR/2025/09/01/6485,GNA/NR/2025/07/01/1044,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/9239,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9418,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,GNARE/WR/2025/08/25/1832,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/06/07/5932,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,GNARE/SR/2025/01/13/4532,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,0,36.86,258.06,85.95,14.6,0,20.48,0,0,20.48,8.53,23.22,64.29,12.67,20.48,0,0,271.04,12.29,15.27,20.48,0,28.98,0,100.4,28.67,19.27,0,0,0,0,16.8,12.61,0,0,50.37,16.8,0,44.71,44.7,-0,0,0,0,0,0,0,44.16,0,0,0,0,0,0

2,00:15-00:30,0,36.86,258.06,85.95,14.6,0,20.48,0,0,20.48,8.53,23.22,64.29,12.67,20.48,0,0,271.04,12.29,15.27,20.48,0,28.98,0,100.4,28.67,19.27,0,0,0,0,16.34,12.93,0,0,49.03,16.34,0,43.05,43.04,-0,0,0,0,0,0,0,44.79,0,0,0,0,0,0

3,00:30-00:45,0,36.86,258.06,85.95,14.6,0,20.48,0,0,20.48,8.53,23.73,64.29,12.67,20.48,0,0,271.04,12.29,15.27,20.48,0,28.98,0,100.4,28.67,19.27,0,0,0,0,15.89,12.85,0,0,47.66,15.89,0,41.14,41.13,-0,0,0,0,0,0,0,44.1,0,0,0,0,0,0

4,00:45-01:00,0,36.86,258.06,85.95,14.6,0,20.48,0,0,20.48,8.53,23.73,64.29,12.67,20.48,0,0,271.04,12.29,15.27,20.48,0,28.98,0,100.4,28.67,19.27,0,0,0,0,15.46,12.6,0,0,46.38,15.46,0,39.19,39.19,-0,0,0,0,0,0,0,44.03,0,0,0,0,0,0

5,01:00-01:15,0,36.86,258.06,85.95,14.6,0,20.48,0,0,20.48,8.53,23.73,64.29,12.67,20.48,0,0,271.04,12.29,15.27,20.48,0,28.98,0,100.4,28.67,19.27,0,0,0,0,14.6,12.14,0,0,43.77,14.6,0,37.55,37.54,-0,0,0,0,0,0,0,44.28,0,0,0,0,0,0

6,01:15-01:30,0,36.86,258.06,85.95,14.6,0,20.48,0,0,20.48,8.53,23.73,64.29,12.67,20.48,0,0,271.04,12.29,15.27,20.48,0,28.98,0,100.4,28.67,19.27,0,0,0,0,13.5,11.56,0,0,40.52,13.5,0,36.03,36.04,-0,0,0,0,0,0,0,44.48,0,0,0,0,0,0

