Column1,Time,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2024/10/15/7089,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5428,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/4503,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/5474,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/9061,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5444
1,00:00-00:15,0,7,0,0,13.33,0,21.5,0,6.66,0,0,7.16,0,0,13.33,0,0,0,7.17,271.33,2.16,0,1.99,0,0,69.96,87.2,26.17,0,8.72,29.28,184.86,26.87,8.72,26.87,3.48,57.29,261.61,52.78,26.17,2.67,0,17.45,26.17

2,00:15-00:30,0,7,0,0,13.33,0,21.5,0,6.66,0,0,7.16,0,0,13.33,0,0,0,7.17,230.3,2.16,0,1.99,0,0,69.96,87.2,26.17,0,8.72,29.28,184.86,26.87,8.72,26.87,3.48,57.29,261.61,52.78,26.17,2.67,0,17.45,26.17

3,00:30-00:45,0,7,0,0,13.33,0,21.5,0,6.66,0,0,7.16,0,0,13.33,0,0,0,7.17,230.3,2.16,0,1.99,0,0,69.96,87.2,26.17,0,8.72,29.28,184.86,26.87,8.72,26.87,3.48,57.29,261.61,52.78,26.17,2.67,0,17.45,26.17

4,00:45-01:00,0,7,0,0,13.33,0,21.5,0,6.66,0,0,7.16,0,0,13.33,0,0,0,7.17,230.3,2.16,0,1.99,0,0,69.96,87.2,26.17,0,8.72,29.28,184.86,26.87,8.72,26.87,3.48,57.29,261.61,52.78,26.17,2.67,0,17.45,26.17

5,01:00-01:15,0,7,0,0,13.33,0,21.5,0,6.66,0,0,7.16,0,0,13.33,0,0,0,7.17,230.3,2.16,0,1.99,0,0,69.96,87.2,26.17,0,8.72,29.28,175.26,26.87,8.72,26.87,3.48,57.29,261.61,52.78,26.17,2.59,0,17.45,26.17

