Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/SR/2025/02/01/7432,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/2143,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/02/01/5886,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2025/02/01/6460,GNA/WR/2025/01/01/8625,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,192.02,0,0.92,75,0,7,0,0,0,0,0,0,0,0,0,0,69.34,0,19.33,24.5,24.5,73.5,69.33,0,0

2,00:15-00:30,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,230.42,0,0.92,75,0,6.8,0,0,0,0,0,0,0,0,0,0,69.34,0,19.33,24.67,24.67,73.99,69.33,0,0

3,00:30-00:45,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6.6,0,0,0,0,0,0,0,0,0,0,69.66,0,19.67,25,25,75,69.67,0,0

4,00:45-01:00,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6.2,0,0,0,0,0,0,0,0,0,0,70.34,0,20,25.33,25.33,76.01,70.33,0,0

5,01:00-01:15,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,75,0,25,32.17,32.16,96.5,75,0,0

6,01:15-01:30,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,75,0,25,32.33,32.34,97,75,0,0

7,01:30-01:45,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.75,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,75,0,25.33,32.5,32.5,97.5,75,0,0

8,01:45-02:00,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.75,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,75,0,25.67,32.67,32.67,97.99,75,0,0

9,02:00-02:15,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.75,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,75,0,25.67,32.67,32.67,97.99,75,0,0

10,02:15-02:30,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.75,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,75,0,26,33.17,33.17,99.49,75,0,0

11,02:30-02:45,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31.33,33.67,33.67,100.99,76.67,0,0

12,02:45-03:00,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31.33,34.33,34.33,103.01,76.67,0,0

13,03:00-03:15,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.19,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31.33,34.67,34.67,103.99,76.67,0,0

14,03:15-03:30,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.19,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31.33,34.83,34.83,104.51,76.67,0,0

15,03:30-03:45,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.19,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,230.42,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31.33,35,35,105,76.67,0,0

16,03:45-04:00,0,70.04,26.99,1.11,0,0,52.81,0,134.41,59.36,1.19,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,230.42,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31,35,35,105,76.67,0,0

17,04:00-04:15,0,70.04,26.99,1.07,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,192.02,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31,35,35,105,76.67,0,0

18,04:15-04:30,0,70.04,26.99,1.07,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,192.02,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,76.66,0,31,34.83,34.83,104.51,76.67,0,0

19,04:30-04:45,0,70.04,26.99,1.07,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,230.42,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,78.34,0,31,34.67,34.67,103.99,78.33,0,0

20,04:45-05:00,0,70.04,26.99,1.07,0,0,52.81,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,78.34,0,31,34.33,34.33,103.01,78.33,0,0

21,05:00-05:15,0,70.04,26.99,1.07,0,0,81.61,0,134.41,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,78.34,0,31,32.5,32.5,97.5,78.33,0,0

22,05:15-05:30,0,70.04,26.99,1.07,0,0,100.02,0,142.09,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,26.24,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,77,0,30.67,31.5,31.5,94.5,77,0,0

23,05:30-05:45,0,65.9,26.99,1.07,0,0,100.02,0,162.26,59.36,1.29,0,0,23.04,26.99,23.04,23.04,8.64,0,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,80,0,30.67,33.83,33.83,101.47,80,0,0

24,05:45-06:00,0,65.9,26.99,1.07,0,0,100.02,0,168.67,60.4,1.29,0,0,23.04,26.99,23.04,23.04,8.64,0,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,80,0,30.67,32.73,32.73,98.2,80,0,0

25,06:00-06:15,0,65.9,26.99,1.07,0,0,100.02,0,216.68,84.4,1.29,0,0,23.04,26.99,23.04,23.04,8.64,0,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,80,0.68,30.67,31.78,31.78,95.33,80,0,0

26,06:15-06:30,0,74.37,26.99,1.07,0,0,100.02,0,259.8,86.6,1.29,0,0,23.04,26.99,23.04,23.04,8.64,0,8.64,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,0,0,80,0.98,30.33,30.78,30.78,92.34,80,0,0.63

27,06:30-06:45,0,82.84,32,1.07,0,0,100.02,0,259.8,86.6,1.29,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,1,0,80,2.58,30.33,29.71,29.71,89.14,80,0,3.12

28,06:45-07:00,0,114.85,32,1.07,0,0,100.02,0,259.8,86.6,1.29,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,0,0,0,0,0,0,0,0,4,0,79,6.45,30.33,28.69,28.69,86.05,79,0.23,8.77

29,07:00-07:15,0,114.85,32,1.02,0,0,100.02,0,259.8,86.6,1.19,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,0,0,2,5,1,0,0,10,10,0,76.66,13.88,30,29.5,29.5,88.5,76.67,3.38,18.21

30,07:15-07:30,0,114.85,32,1.02,0,0,100.02,0,259.8,86.6,1.19,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,1,0.11,3,5,4,1,0.52,10,15,0.1,74.34,25.18,30,28.67,28.67,85.99,74.33,9.98,27.32

31,07:30-07:45,0.12,114.85,32,1.02,0.15,0.15,100.02,0,259.8,86.6,1.19,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,2,0.95,5,5,7,3,4.75,10,24,0.19,72.34,24.5,30,33.33,33.33,100.01,72.33,17.03,24.5

32,07:45-08:00,0.48,114.85,32,1.02,0.62,0.62,100.02,0,259.8,86.6,1.19,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,3,3.01,7,7,18,7,15.05,13,24.83,2.14,70,24.83,29.67,32.5,32.5,97.5,70,25.23,24.84

33,08:00-08:15,1.08,114.85,32,1.02,1.38,1.38,100.02,0,259.8,86.6,1.29,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,7,5.76,13,10,25,10,28.82,20,25.5,6.73,65.66,25.5,29.67,30.5,30.5,91.5,65.67,35.44,25.5

34,08:15-08:30,1.91,114.85,32,1.02,2.47,2.47,100.02,0,259.8,86.6,1.29,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0.92,75,0,6,10,8.74,19,14,39,16,43.7,27,27.07,10.69,61,27.07,29,28.17,28.17,84.49,61,47.06,27.06

35,08:30-08:45,2.99,65.9,32,1.02,3.87,3.87,100.02,0,259.8,86.6,1.29,0,0,36.48,32,43.2,36.48,13.44,0,13.44,271.47,0,0,75,0,6,16,12.51,27,18,63,27,62.53,37,28.57,22.33,69.66,28.57,27.67,32.02,32.02,96.07,69.67,59.06,28.56

