Block,Time,KGSU1AND2,KHSTPP-II,KKNP,PARBATI3,RAPPC,RIHAND2,TALST2,URI2,ANTA_LF,KHSTPP-I,NAPP,NJPC,RIHAND1,RIHAND3,SINGRAULI_HYDRO,TANAKPUR,VALLURNTECL,DHAULIGNGA,KISHANGANGA,NLCIIST2,RAMPUR,ANTA_GF,AURY_CRF,AURY_LF,DADRI_RF,KOLDAM,MAPS,UNCHAHAR1,UNCHAHAR3,AURY_GF,DADRI_LF,DULHASTI,NLCTS2EXP,NTPL,RSTPSU1TO6,SEWA2,TEHRI,UNCHAHAR2,URI,CHAMERA2,CHAMERA3,NLCIIST1,NNTPP,RAPPB,SASAN,SIMHST2,ANTA_CRF,AURY_RF,CHAMERA1,FSTPP I & II,JHAJJAR,KKNPPU2,NLCEXP,RSTPSU7,SINGRAULI,TALA,TelanganaSTPP,UNCHAHAR4,DADRI_CRF,BRBCL,BSIUL,DADRT2,KGSU3AND4,KOTESHWR,KUDGI,SALAL,SIMHST1,TANDA2,ANTA_RF,DADRI_GF
1,00:00-00:15,0,98.87,0,17.56,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,11.58,70.87,43.71,49.13,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.44,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

2,00:15-00:30,0,98.87,0,17.56,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,5.79,70.87,43.71,49.13,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.44,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

3,00:30-00:45,0,98.87,0,3.94,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,5.79,70.87,43.71,44.16,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.44,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

4,00:45-01:00,0,98.87,0,3.94,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,5.79,70.87,43.71,44.16,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.49,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

5,01:00-01:15,0,98.87,0,3.94,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,5.79,70.87,43.71,44.16,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.47,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

6,01:15-01:30,0,98.87,0,17.56,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,5.79,70.87,43.71,44.16,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.47,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

7,01:30-01:45,0,98.87,0,17.56,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,0,70.87,43.71,49.13,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.53,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

8,01:45-02:00,0,98.87,0,17.56,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,0,70.87,43.71,49.13,44.22,32.08,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.53,0,1.62,0,20.01,6.52,686.07,0,38.64,0,83.67,0,1.41,48.13,0

9,02:00-02:15,0,98.87,0,15.46,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,0,70.87,43.71,49.13,44.22,21.37,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.61,0,1.62,0,20.01,6.52,686.07,0,28.98,0,83.67,0,1.41,48.13,0

10,02:15-02:30,0,98.87,0,15.46,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,0,70.87,43.71,44.16,29.48,21.37,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.61,0,1.62,0,20.01,6.52,686.07,0,28.98,0,83.67,0,1.41,48.13,0

11,02:30-02:45,0,98.87,0,3.94,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,0,70.87,43.71,44.16,29.48,21.37,0,0,0,416.25,0,0,78.06,42.15,14.3,413.81,0,0,0,141.78,10.68,0,1.62,0,20.01,6.52,686.07,0,28.98,0,83.67,0,1.41,48.13,0

12,02:45-03:00,0,98.87,0,3.94,60.23,121.71,0,36.35,0,33.69,45.1,167.1,0,127.6,0,12.94,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,0,70.87,43.71,44.16,29.48,21.37,0,0,0,416.25,0,0,78.06,28.1,14.3,413.81,0,0,0,141.78,10.64,0,1.62,0,20.01,6.52,686.07,0,28.98,0,83.67,0,1.41,48.13,0

13,03:00-03:15,0,98.87,0,3.94,60.23,121.71,0,33.98,0,34.29,45.1,167.1,0,127.6,0,11.53,0,40.4,2.88,0,3.54,0,0,0,97.42,5.35,0,20.96,27.05,0,0,53.79,0,0,0,0,70.87,43.71,44.16,29.48,21.37,0,0,0,416.25,0,0,78.06,28.1,14.3,413.81,0,0,0,141.78,10.58,0,1.62,0,20.01,6.52,686.07,0,28.98,0,74.37,0,1.41,48.13,0

