Column1,Time,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/07/16/7255,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/SR/2025/07/16/9521,GNA/NR/2025/07/01/2952,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/1192,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8139,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8128,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/2997,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/3109,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/8154,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,0,0,0,0,30.01,0,0,15,12.67,0,0,0,0,0,45,30,30,0,15,0,163.44,0,0,35,8.51,-0,49.03,30,10.73,100.16,134.84,86.72,1.53,43.7,5.95,6.15,26.58,81.72,270.39,115.33,0,15.24,5.66,19.23,130.08,20.74,24.73,14.54

2,00:15-00:30,0,0,0,0,31.21,0,0,15.5,13.33,0,0,0,0,0,46.5,31.34,31.33,0,15.5,0,163.44,0,0,35,8.51,-0,49.03,30,10.73,100.16,134.84,86.72,1.53,43.7,5.95,6.15,26.58,81.72,270.39,115.33,0,15.24,5.66,19.23,130.08,20.74,25.23,14.54

3,00:30-00:45,0,0,0,0,31.41,0,0,16.17,14,0,0,0,0,0,48.49,32.34,32.33,0,16.17,0,163.44,0,0,35,8.51,-0,49.03,30,10.73,100.16,134.84,86.72,1.53,43.7,5.95,6.15,26.26,81.72,270.39,115.33,0,15.24,5.66,19.23,130.08,20.74,25.23,14.54

4,00:45-01:00,0,0,0,0,32.41,0,0,16.67,14.33,0,0,0,0,0,49.99,33.34,33.33,0,16.67,0,163.44,0,0,35,8.51,-0,49.03,30,10.73,100.16,134.84,86.72,1.53,43.7,5.95,6.15,26.26,81.72,270.39,115.33,0,15.24,5.66,19.23,130.08,20.74,25.23,14.54

5,01:00-01:15,0,0,0,0,28.01,0,0,12.5,12,0,0,0,0,0,37.5,34.34,34.33,0,12.5,0,163.44,0,0,35,8.51,-0,49.03,26.94,10.73,100.16,134.84,86.72,1.53,43.7,5.95,5.87,26.94,81.72,270.39,115.33,0,15.24,5.66,19.23,130.08,20.74,25.23,14.54

