Block,Time Block,BRBCL,KISHANGANGA,KOTESHWR,KKNP,KKNPPU2,KOLDAM,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,JHAJJAR,KGSU1AND2,KGSU3AND4,TALST2,SINGRAULI,TALA,TANAKPUR,TANDA2,SINGRAULI_HYDRO,CHAMERA3,CHAMERA2,CHAMERA1,KHSTPP-II,KHSTPP-I,SALAL,SEWA2,RAPPB,RIHAND2,RIHAND1,RAMPUR,SASAN,RAPPC,RSTPSU1TO6,SIMHST1,NTPL,RSTPSU7,SIMHST2,RIHAND3,PARBATI3,BSIUL,NJPC,NLCIIST1,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,KUDGI,NLCEXP,MAPS,URI,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,TEHRI,UNCHAHAR1,ANTA_GF,DADRI_RF,AURY_LF,DADRI_LF,ANTA_CRF,AURY_GF,DADRI_GF,AURY_CRF,DADRI_CRF,ANTA_RF,AURY_RF,ANTA_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.46,0,8.55,0,0,0,8.78,20.05,31.77,327.59,402.67,0,0,0,134.62,0,12.22,0,0,0,1.93,0,142.93,42.71,12.32,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,57.85,0,0,41.08,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,14.46,0,8.55,0,0,0,8.78,20.05,31.77,327.59,402.67,0,0,0,134.62,0,12.22,0,0,0,1.93,0,142.93,42.71,12.32,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,57.85,0,0,41.08,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,14.46,0,8.55,0,0,0,8.78,20.05,31.77,327.59,402.67,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,12.32,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,57.85,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,14.46,0,8.55,0,0,0,8.78,20.05,31.77,327.59,402.67,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,12.32,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,57.85,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,14.46,0,8.55,0,0,0,1.27,20.05,31.77,327.59,402.67,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,2.25,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,57.85,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,14.46,0,8.55,0,0,0,1.27,20.05,31.77,327.59,402.67,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,2.25,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,57.85,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,14.46,0,8.55,0,0,0,1.27,20.05,31.77,327.59,402.67,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,16.81,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,70.55,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,14.46,0,8.55,0,0,0,1.27,20.05,31.77,327.59,402.67,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,76.51,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,84.93,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,25.43,0,40.87,14.39,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,14.46,0,8.55,0,0,0,1.27,20.05,31.77,292.41,349.32,0,0,0,134.62,0,12.22,0,0,0,1.93,0,142.93,42.71,76.51,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,89,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,22.83,0,36.27,14.39,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,14.46,0,8.55,0,0,0,1.27,16.79,31.77,290.88,349.32,0,0,0,134.62,0,12.22,0,0,0,1.93,0,142.93,42.71,76.51,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,94.23,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,18.88,0,30.48,14.39,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,14.46,0,8.55,0,0,0,1.27,17.27,31.77,254.18,349.32,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,76.51,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,95.35,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,19.36,0,30.67,14.39,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,14.46,0,8.55,0,0,0,1.27,17.27,31.77,251.61,349.32,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,16.81,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,100.58,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,19.36,0,30.67,14.39,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,14.46,0,8.55,0,0,0,8.78,17.27,31.77,249.61,349.32,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,12.32,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,101.71,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,19.36,0,30.67,14.39,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,14.46,0,8.55,0,0,0,8.78,17.27,31.77,251.61,349.32,0,0,0,134.62,0,7.4,0,0,0,1.93,0,142.93,42.71,12.32,0,0,114.46,88.67,0,403.61,50.02,0,0,0,0,0,101.71,0,0,22.54,0,40.25,0,0,0,0,0,0,2.13,0,0,4.4,19.36,0,30.67,14.39,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

