Block,Time,KHSTPP-II,FSTPP I & II,TALA,KHSTPP-I,BRBCL,SASAN,UNCHAHAR2,ANTA_LF,DADRI_LF,URI,DADRI_GF,AURY_RF,KOTESHWR,AURY_CRF,AURY_LF,RIHAND2,NJPC,UNCHAHAR3,BSIUL,UNCHAHAR1,SINGRAULI,DADRI_RF,JHAJJAR,TANAKPUR,NAPP,CHAMERA2,TANDA2,AURY_GF,DULHASTI,RAPPC,RAMPUR,RIHAND3,SEWA2,UNCHAHAR4,TEHRI,DHAULIGNGA,ANTA_CRF,RIHAND1,ANTA_GF,URI2,RAPPB,ANTA_RF,SINGRAULI_HYDRO,KISHANGANGA,DADRI_CRF,PARBATI3,DADRT2,CHAMERA3,SALAL,CHAMERA1,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,143.065010,9.788811,0.000000,44.761192,19.295736,403.987419,43.321421,0.000000,0.000000,33.548407,0.000000,28.941000,18.906020,0.000000,0.000000,119.989386,21.499663,26.663325,0.000000,21.831161,144.694340,28.941000,650.996760,0.247156,49.278909,46.787784,5.168948,0.000000,56.298335,33.200284,0.831996,125.970622,18.136955,0.000000,42.123971,0.000000,0.000000,93.629868,0.000000,36.552984,0.000000,21.889525,0.752147,5.364151,0.000000,0.000000,664.114864,22.378566,40.355330,27.106835,2.236851,0,0,0,0,0

2,00:15-00:30,143.065010,9.788811,0.000000,44.761192,19.295736,403.987419,43.321421,0.000000,0.000000,33.548407,0.000000,28.941000,18.906020,0.000000,0.000000,119.989386,21.499663,26.663325,0.000000,21.831161,144.694340,28.941000,650.996760,0.247156,49.278909,46.787784,5.168948,0.000000,56.298335,33.200284,0.831996,125.970622,18.136955,0.000000,42.123971,0.000000,0.000000,93.629868,0.000000,36.552984,0.000000,21.889525,0.752147,5.364151,0.000000,0.000000,664.114864,22.378566,76.574239,27.106835,0.000000,0,0,0,0,0

3,00:30-00:45,143.065010,9.788811,0.000000,44.761192,19.295736,403.987419,43.321421,0.000000,0.000000,33.548407,0.000000,28.941000,18.906020,0.000000,0.000000,119.989386,21.499663,26.663325,0.000000,21.831161,144.694340,28.941000,650.996760,0.247156,49.278909,46.787784,5.168948,0.000000,56.298335,33.200284,0.831996,125.970622,18.136955,0.000000,42.123971,0.000000,0.000000,93.629868,0.000000,36.552984,0.000000,21.889525,0.752147,5.364151,0.000000,0.000000,664.114864,22.378566,76.574239,27.106835,0.000000,0,0,0,0,0

4,00:45-01:00,143.065010,9.788811,0.000000,44.761192,19.295736,403.987419,43.321421,0.000000,0.000000,33.548407,0.000000,0.000000,18.906020,0.000000,0.000000,119.989386,21.499663,26.663325,0.000000,21.831161,144.694340,8.682300,650.996760,0.247156,49.278909,46.787784,5.168948,0.000000,56.298335,33.200284,0.831996,125.970622,18.136955,0.000000,42.123971,0.000000,0.000000,93.629868,0.000000,36.552984,0.000000,2.675374,0.752147,5.364151,0.000000,0.000000,664.114864,22.378566,76.574239,27.106835,0.000000,0,0,0,0,0

5,01:00-01:15,143.065010,9.788811,0.000000,44.761192,19.295736,403.987419,43.321421,0.000000,0.000000,33.548407,0.000000,0.000000,18.906020,0.000000,0.000000,119.989386,21.499663,26.663325,0.000000,21.831161,144.694340,0.000000,650.996760,0.247156,49.278909,46.787784,5.168948,0.000000,56.298335,33.200284,0.831996,125.970622,18.136955,0.000000,42.123971,0.000000,0.000000,93.629868,0.000000,36.552984,0.000000,0.000000,0.752147,5.364151,0.000000,0.000000,664.114864,22.378566,76.574239,27.106835,0.000000,0,0,0,0,0

