Block,Time Block,ANTA_LF,ANTA_CRF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,TANDA2,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,NLCEXP,NJPC,NAPP,NLCIIST1,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KHSTPP-I,JHAJJAR,KGSU1AND2,CHAMERA3,KGSU3AND4,KHSTPP-II,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,MAPS,KOTESHWR,KKNP,SIMHST2,SINGRAULI_HYDRO,SALAL,SEWA2,SINGRAULI,TALA,TALST2,SASAN,SIMHST1,CHAMERA1,BRBCL,BSIUL,RSTPSU1TO6,RSTPSU7,RAPPB,RIHAND3,RIHAND1,NLCIIST2,NLCTS2EXP,RAPPC,RIHAND2,NNTPP,RAMPUR,NTPL,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,19.77,3.07,0,15.66,34.99,0,15.4,0,0,0,0,41.44,0,1.8,0,14.05,15.83,312.13,33.48,231.73,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,388.68,0,0,19.21,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,19.77,3.07,0,15.66,34.99,0,15.4,0,0,0,0,41.44,0,1.8,0,14.05,15.83,312.13,33.48,231.73,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,388.68,0,0,19.21,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,14.89,9.84,0,11.72,3.18,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,312.13,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,388.68,0,0,17.34,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,14.89,9.84,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,312.13,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,388.68,0,0,14.4,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,14.89,3.07,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,312.13,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,12.27,0,117.01,0,0,388.68,0,0,13.29,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,14.89,3.07,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,297.72,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,53.56,0,117.01,0,0,388.68,0,0,12.93,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,3.07,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,283.32,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,53.56,0,117.01,0,0,388.68,0,0,13.72,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,3.07,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,276.6,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,53.56,0,117.01,0,0,399.77,0,0,13.11,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,3.07,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,263.15,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,53.56,0,117.01,0,0,399.77,0,0,12.91,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,9.84,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,256.43,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,12.27,0,117.01,0,0,399.77,0,0,13.77,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,257.39,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,399.77,0,0,15.87,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,250.66,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,399.77,0,0,16.76,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,248.74,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,399.77,0,0,17.85,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,247.78,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,399.77,0,0,17.37,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,249.7,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,399.77,0,0,17.16,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,254.51,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,117.01,0,0,399.77,0,0,17.92,0,0,0,0,119.4,77.57,0,0,50.94,99.23,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,272.75,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,18.82,0,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,290.04,33.48,230.41,0,0,0,65.71,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,19.21,0,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,306.37,38.75,230.41,0,0,0,78.31,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,19.21,0,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,14.89,2.71,0,11.72,1.38,0,11.53,0,0,0,0,41.44,0,1.8,0,14.05,15.83,312.13,38.75,230.41,0,0,0,78.31,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,19.21,0,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,19.77,2.71,0,15.66,1.38,14.94,15.4,0,0,0,20.01,41.44,0,1.8,0,14.05,15.83,312.13,38.75,231.73,0,0,0,78.31,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,19.21,0,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,19.77,2.71,0,15.66,1.38,29.9,15.4,0,0,0,38.28,41.44,0,1.8,0,14.05,15.83,360.15,38.75,231.73,0,0,0,78.31,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,19.21,0,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,19.77,9.84,0,15.66,1.38,29.9,15.4,0,0,0,44.56,41.44,0,1.8,7.62,15.41,15.83,408.17,38.75,231.73,0,0,0,78.31,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,19.21,1.06,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,19.77,9.84,0,15.66,1.38,44.84,15.4,0,0,0,67.39,41.44,0,1.8,10.15,15.41,15.83,456.19,38.75,231.73,0,9.3,0,78.31,0,0,0,0,0,8.52,0,0,0,1.34,0,134.15,0,0,399.77,0,0,19.21,6.26,0,0,0,119.4,88.14,0,0,50.94,114.06,0,0,0,0,0,0,0,0,0

