Time,Block,NR/2023/18105/A/1963,NR/2023/18062/A/1964,NER/2023/1764/C,NR/2023/17270/A,NR/2023/18177/C,NR/2023/17525/A,NR/2023/18074/A/1954,WR/2023/19446/A,NR/2023/18178/C,WR/2023/20256/A/2092,WR/2023/20577/A/2078,Total
,,IEXL,IEXL,PXIL,GMRETL,TPDDL,APPCPL,ITCLH,MANIKARAN,NVVNL,MANIKARAN,APPCPL,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,DELHI,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,DELHI,NA,DELHI,DELHI,
,,BSHP,SNJSUGARLTDAP,BYPL,BYPL,CHANJUII,BYPL,ITCWIND,BYPL,SOLAPUR_SOLAR,BRPL,BRPL,
,,DELHI,DELHI,ARUNACHAL PRADESH,RAJASTHAN,DELHI,HIMACHAL PRADESH,DELHI,MAHARASHTRA,DELHI,GOA,GOA,
,,MES (Delhi),MES (Delhi),Arunachal_Ben,RUVNL,TPDDL,HP,ITCLH,AEML,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,
,,North-North,South-East-North,North-East-North East,North-North,North-North,North-North,South-West-North,North-West,West-North,North-West,North-West,
1,00:00-00:15,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,182.68

2,00:15-00:30,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,182.68

3,00:30-00:45,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,182.68

4,00:45-01:00,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,182.68

5,01:00-01:15,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

6,01:15-01:30,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

7,01:30-01:45,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

8,01:45-02:00,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

9,02:00-02:15,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

10,02:15-02:30,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

11,02:30-02:45,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

12,02:45-03:00,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

13,03:00-03:15,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

14,03:15-03:30,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

15,03:30-03:45,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

16,03:45-04:00,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.340000,75.000000,0,0.000000,0.000000,182.59

17,04:00-04:15,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

18,04:15-04:30,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

19,04:30-04:45,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

20,04:45-05:00,0.960000,4.800000,40.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,182.63

21,05:00-05:15,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,142.63

22,05:15-05:30,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,142.63

23,05:30-05:45,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,142.63

24,05:45-06:00,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.380000,75.000000,0,0.000000,0.000000,142.63

25,06:00-06:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.380000,75.000000,0,0.000000,0.000000,182.98

