Block,Time,DADRI_GF,RIHAND2,ANTA_LF,RAMPUR,CHAMERA3,ANTA_RF,UNCHAHAR3,TEHRI,KOTESHWR,SEWA2,SINGRAULI,UNCHAHAR1,KOLDAM,NJPC,BRBCL,SALAL,SASAN,KHSTPP-II,CHAMERA2,KHSTPP-I,RAPPC,FSTPP I & II,TALA,UNCHAHAR4,RIHAND3,DULHASTI,AURY_RF,RAPPB,TANDA2,JHAJJAR,ANTA_GF,UNCHAHAR2,TANAKPUR,DADRI_RF,CHAMERA1,DADRT2,URI,AURY_LF,AURY_GF,NAPP,PARBATI3,ANTA_CRF,URI2,DHAULIGNGA,DADRI_LF,KISHANGANGA,BSIUL,AURY_CRF,RIHAND1,SINGRAULI_HYDRO,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,92.647651,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,8.542112,0.000000,120.890528,8.289045,0.000000,0.000000,19.252017,1.342249,403.108002,93.095937,0.000000,25.816932,52.526194,11.069900,0.000000,0.000000,44.462013,1.852524,0.000000,0.000000,0.000000,231.986600,0.000000,24.209390,1.726327,0.000000,0.000000,361.080886,5.313552,0.000000,0.000000,41.944717,0.000000,0.000000,23.825967,0.000000,0.000000,0.000000,0.000000,0.000000,60.860963,0.791825,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,92.647651,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,8.542112,0.000000,120.890528,8.289045,0.000000,0.000000,18.585217,1.342249,403.108002,78.827314,0.000000,25.816932,52.526194,11.069900,0.000000,0.000000,44.462013,1.852524,0.000000,0.000000,0.000000,231.986600,0.000000,24.209390,1.726327,0.000000,0.000000,361.080886,37.194864,0.000000,0.000000,41.944717,0.000000,0.000000,23.825967,0.000000,0.000000,0.000000,0.000000,0.000000,60.860963,0.791825,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,92.647651,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,8.542112,0.000000,120.890528,8.289045,0.000000,0.000000,19.252017,1.342249,403.108002,78.827314,0.000000,25.816932,52.526194,11.069900,0.000000,0.000000,44.462013,1.852524,0.000000,0.000000,0.000000,231.986600,0.000000,24.209390,1.726327,0.000000,0.000000,361.080886,37.194864,0.000000,0.000000,41.944717,0.000000,0.000000,23.825967,0.000000,0.000000,0.000000,0.000000,0.000000,60.860963,0.791825,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,92.647651,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,8.542112,0.000000,120.890528,8.289045,0.000000,0.000000,15.844494,1.342249,403.108002,78.827314,0.000000,25.816932,52.526194,11.069900,0.000000,0.000000,44.462013,1.852524,0.000000,0.000000,0.000000,231.986600,0.000000,24.209390,1.726327,0.000000,0.000000,361.080886,4.250842,0.000000,0.000000,41.944717,0.000000,0.000000,23.825967,0.000000,0.000000,0.000000,0.000000,0.000000,60.860963,0.791825,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,92.647651,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,8.542112,0.000000,120.890528,8.289045,0.000000,0.000000,14.671239,1.342249,403.108002,78.827314,0.000000,25.816932,52.526194,11.069900,0.000000,0.000000,44.462013,1.852524,0.000000,0.000000,0.000000,231.986600,0.000000,24.209390,1.726327,0.000000,0.000000,361.080886,2.125421,0.000000,0.000000,41.944717,0.000000,0.000000,23.825967,0.000000,0.000000,0.000000,6.276922,0.000000,60.860963,0.791825,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,92.647651,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,8.542112,0.000000,120.890528,8.289045,0.000000,0.000000,13.639270,1.342249,403.108002,78.827314,0.000000,25.816932,52.526194,11.069900,0.000000,0.000000,44.462013,1.852524,0.000000,0.000000,0.000000,231.986600,0.000000,24.209390,1.726327,0.000000,0.000000,361.080886,2.125421,0.000000,0.000000,41.944717,0.000000,0.000000,23.825967,0.000000,0.000000,0.000000,6.276922,0.000000,60.860963,0.791825,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,92.647651,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,8.542112,0.000000,120.890528,8.289045,0.000000,0.000000,14.064543,1.342249,403.108002,78.827314,0.000000,25.816932,52.526194,11.069900,0.000000,0.000000,44.462013,1.852524,0.000000,0.000000,0.000000,231.986600,0.000000,24.209390,0.000000,0.000000,0.000000,361.080886,2.125421,0.000000,0.000000,41.944717,0.000000,0.000000,4.532113,0.000000,0.000000,0.000000,6.276922,0.000000,60.860963,0.791825,0.000000,0,0,0,0,0

